訓練日期,20160310 - 20160610
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10749519.009999999776483
真實報酬,749519.009999999776483

夏普值報酬,0.066251901000000
夏普值風險,0.020117399933994
夏普值,3.293263603516173

預期報酬,12764.762461858745155
風險,118097.250368256252841
趨勢值,0.108086872658382
找到最佳解世代,64
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](5),DD[7](11),JNJ[12](2),JPM[13](9),MRK[17](10),NKE[19](29),PFE[20](1),PG[21](25),XOM[29](3),
Stock#,AXP[1](5),DD[7](11),JNJ[12](2),JPM[13](9),MRK[17](10),NKE[19](29),PFE[20](1),PG[21](25),XOM[29](3),
張數,18816,15902,10399,18794,21220,19048,37360,13393,13484,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,26.199999999953434,38.260000000009313,81.839999999850988,9.719999999972060,31.800000000046566,41.159999999916181,24.600000000093132,27.719999999972060,29.399999999906868,
20160310,1105466.199999999953434,1112701.199999999953434,1114230.699999999953434,1101526.060000000055879,1125540.600000000093132,1121587.399999999906868,1105507.000000000000000,1102003.760000000009313,1108144.520000000018626,9996708.439999999478459
20160311,1118825.560000000055879,1146413.440000000176951,1120158.129999999888241,1115245.679999999934807,1128935.800000000046566,1144445.000000000000000,1139504.600000000093132,1094905.469999999972060,1108279.359999999869615,10116714.039999999105930
20160314,1120895.320000000065193,1138621.459999999962747,1119638.179999999701977,1111111.000000000000000,1126389.399999999906868,1158350.040000000037253,1124560.600000000093132,1087137.530000000027940,1111245.839999999850988,10097950.369999999180436
20160315,1114497.879999999888241,1136713.219999999972060,1120678.079999999841675,1112614.520000000018626,1112384.200000000186265,1169588.359999999869615,1103639.000000000000000,1089012.550000000046566,1116774.279999999795109,10075903.089999999850988
20160316,1123341.399999999906868,1147208.540000000037253,1117038.429999999701977,1107352.199999999953434,1102198.600000000093132,1178350.439999999944121,1084959.000000000000000,1089414.340000000083819,1117448.479999999981374,10067312.429999999701977
20160317,1130491.479999999981374,1164064.660000000149012,1110071.099999999860302,1104157.219999999972060,1093498.400000000139698,1203493.799999999813735,1096167.000000000000000,1108298.469999999972060,1134033.799999999813735,10144276.929999999701977
