訓練日期,20150601 - 20150831
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9661591.359999999403954
真實報酬,-338408.640000000596046

夏普值報酬,-0.042540864000000
夏普值風險,0.024522330076274
夏普值,-1.734780661857198

預期報酬,1727.197976298499725
風險,259533.793307407235261
趨勢值,0.006655002241857
找到最佳解世代,44
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](14),BA[2](8),GS[8](15),HD[9](2),IBM[10](23),NKE[19](1),PG[21](16),UNH[23](10),WBA[27](4),
Stock#,AXP[1](14),BA[2](8),GS[8](15),HD[9](2),IBM[10](23),NKE[19](1),PG[21](16),UNH[23](10),WBA[27](4),
張數,13937,7907,5388,9972,6549,21855,14174,9243,12943,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,53.360000000102445,19.359999999869615,159.280000000027940,30.760000000009313,73.149999999906868,2.799999999813735,11.139999999897555,9.969999999972060,83.879999999888241,
20150601,1107626.750000000000000,1116883.109999999869615,1119839.560000000055879,1113604.000000000000000,1114581.969999999972060,1111985.199999999953434,1117631.039999999804422,1107875.949999999953434,1112923.020000000018626,10022951.599999999627471
20150602,1114873.989999999990687,1132697.109999999869615,1112404.120000000111759,1112806.239999999990687,1111111.000000000000000,1115919.099999999860302,1113237.100000000093132,1088373.219999999972060,1117453.069999999832362,10018875.950000001117587
20150603,1123375.560000000055879,1137125.029999999795109,1122425.800000000046566,1128462.280000000027940,1112879.229999999748543,1120290.099999999860302,1113520.579999999841675,1093919.020000000018626,1110852.139999999897555,10062850.740000000223517
20150604,1106093.680000000167638,1116408.689999999944121,1125550.840000000083819,1111509.879999999888241,1102793.769999999785796,1114170.699999999720603,1107709.239999999990687,1078205.919999999925494,1103474.629999999888241,9965918.349999997764826
20150605,1106511.790000000037253,1112771.469999999739230,1134063.879999999888241,1100640.400000000139698,1096375.750000000000000,1115044.899999999906868,1097503.959999999962747,1077096.760000000009313,1085872.149999999906868,9925882.060000000521541
20150608,1098428.330000000074506,1112059.839999999850988,1130507.800000000046566,1096252.719999999972060,1082884.809999999823049,1108488.399999999674037,1101472.679999999701977,1080609.099999999860302,1077718.060000000055879,9888422.739999998360872
