訓練日期,20171120 - 20180223
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11356112.120000001043081
真實報酬,1356112.120000001043081

夏普值報酬,0.126911212000000
夏普值風險,0.042687251923889
夏普值,2.973047134218934

預期報酬,25442.199589708012354
風險,321213.974942330969498
趨勢值,0.079206390675486
找到最佳解世代,39
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](1),CAT[3](9),CSCO[4](2),GS[8](7),JPM[13](3),TRV[22](12),UNH[23](11),WBA[27](24),XOM[29](25),
Stock#,BA[2](1),CAT[3](9),CSCO[4](2),GS[8](7),JPM[13](3),TRV[22](12),UNH[23](11),WBA[27](24),XOM[29](25),
張數,4236,8162,30950,4668,11321,8552,5293,15594,13847,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,177.640000000130385,17.939999999944121,6.000000000000000,33.639999999897555,68.060000000055879,35.160000000149012,110.300000000046566,38.500000000000000,27.719999999972060,
20171120,1121150.320000000065193,1117477.359999999869615,1129681.000000000000000,1111624.479999999981374,1120960.270000000018626,1109828.200000000186265,1112963.550000000046566,1103781.820000000065193,1115403.569999999832362,10042871.570000000298023
20171121,1131147.280000000260770,1123109.139999999897555,1134323.500000000000000,1111111.000000000000000,1120054.590000000083819,1117182.920000000158325,1125402.100000000093132,1109707.540000000037253,1119834.610000000102445,10091873.679999999701977
20171122,1123353.040000000037253,1126455.559999999823049,1128133.500000000000000,1103688.879999999888241,1116771.500000000000000,1111880.680000000167638,1118097.760000000009313,1112358.520000000018626,1123019.419999999925494,10063759.859999999403954
20171124,1126445.320000000065193,1121395.119999999878928,1129371.500000000000000,1101448.239999999757856,1113148.780000000027940,1110341.320000000298023,1124925.729999999981374,1095984.820000000065193,1127450.459999999962747,10050512.289999999105930
20171127,1125174.520000000018626,1119762.719999999972060,1141132.500000000000000,1097527.119999999878928,1108733.590000000083819,1115900.120000000111759,1124343.500000000000000,1082106.159999999916181,1123157.889999999897555,10037839.120000001043081
20171128,1135383.280000000260770,1134454.320000000065193,1167749.500000000000000,1117599.519999999785796,1147564.620000000111759,1137536.680000000167638,1144139.320000000065193,1126549.059999999823049,1130912.209999999962747,10241889.510000001639128
