訓練日期,20091027 - 20100129
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10965479.480000000447035
真實報酬,965479.480000000447035

夏普值報酬,0.087847948000000
夏普值風險,0.039602936729542
夏普值,2.218218022565725

預期報酬,24602.199896119142068
風險,231244.812950640043709
趨勢值,0.106390277828072
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
BA[2](1),CVX[5](20),DIS[6](15),DD[7](11),IBM[10](10),MMM[16](9),MRK[17](3),NKE[19](21),UNH[23](2),WMT[28](12),
Stock#,BA[2](1),CVX[5](20),DIS[6](15),DD[7](11),IBM[10](10),MMM[16](9),MRK[17](3),NKE[19](21),UNH[23](2),WMT[28](12),
張數,20708,13253,34904,28208,8325,13017,31230,62735,39510,20064,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,10.680000000051223,61.149999999906868,0.400000000023283,26.399999999906868,84.250000000000000,34.060000000055879,15.399999999906868,4.099999999976717,1.900000000023283,10.239999999874271,
20091027,988817.680000000051223,1015108.419999999925494,983246.080000000074506,998307.519999999902211,1004495.500000000000000,989326.060000000055879,1012804.299999999930151,1005018.799999999930151,1047016.900000000023283,1000601.919999999809079,10044743.179999999701977
20091028,977842.440000000060536,1005831.319999999948777,950785.359999999986030,976305.279999999911524,1011571.750000000000000,969279.880000000004657,1000936.899999999790452,981179.500000000000000,1022520.699999999953434,1001203.839999999850988,9897456.969999998807907
20091029,1010768.160000000149012,1033132.500000000000000,982198.960000000079162,1014386.079999999958090,1022977.000000000000000,982557.220000000088476,977826.699999999837019,999372.649999999906868,1045831.599999999976717,1011235.839999999850988,10080286.709999999031425
20091030,989853.079999999958090,1014445.770000000018626,955322.880000000004657,943301.919999999809079,1004162.500000000000000,957694.750000000000000,965959.299999999930151,975533.349999999976717,1025286.400000000023283,996789.759999999892898,9828349.709999999031425
20091102,999585.840000000083819,1015771.069999999948777,956719.040000000037253,956841.760000000009313,1003746.250000000000000,966936.820000000065193,976265.199999999953434,980552.150000000023283,1043856.100000000093132,1008828.159999999916181,9909102.390000000596046
20091103,996065.480000000097789,1016566.250000000000000,964048.880000000004657,958816.319999999948777,1008741.250000000000000,964073.080000000074506,957839.500000000000000,983061.549999999930151,1063216.000000000000000,1001203.839999999850988,9913632.149999998509884
20091104,995444.240000000107102,1010999.989999999874271,978359.520000000018626,950918.079999999958090,1009823.500000000000000,964203.250000000000000,1019362.599999999976717,983688.899999999906868,1101145.600000000093132,1010834.559999999939464,10024780.240000000223517
20091105,1030647.840000000083819,1023722.869999999878928,1012216.400000000023283,1000282.079999999958090,1024891.750000000000000,982296.880000000004657,1021548.699999999953434,1015683.750000000000000,1114579.000000000000000,1028892.159999999916181,10254761.429999999701977
20091106,1028784.119999999995343,1027566.239999999874271,996858.640000000013970,996332.959999999962747,1028138.500000000000000,981646.030000000027940,1017801.099999999976717,1012547.000000000000000,1132753.600000000093132,1028290.239999999874271,10250718.429999999701977
20091109,1063366.479999999981374,1029289.129999999888241,1012216.400000000023283,1040901.599999999860302,1049034.250000000000000,1004946.460000000079162,1044034.299999999930151,1024466.649999999906868,1150928.200000000186265,1043338.239999999874271,10462521.709999999031425
20091110,1042037.240000000107102,1038301.169999999925494,1016404.880000000004657,1042876.159999999916181,1056610.000000000000000,1015229.890000000013970,1049655.699999999953434,1011292.300000000046566,1144606.600000000093132,1049558.080000000074506,10466572.019999999552965
20091111,1049492.120000000111759,1040554.179999999934807,1022338.559999999939464,1073058.719999999972060,1058941.000000000000000,1014839.380000000004657,1037475.999999999883585,1018193.150000000023283,1160410.600000000093132,1062800.319999999832362,10538104.030000001192093
20091112,1041208.920000000041910,1026108.409999999916181,1013961.600000000093132,1148938.239999999757856,1051198.750000000000000,1005076.630000000004657,1029980.799999999813735,1005018.799999999930151,1136309.500000000000000,1068217.600000000093132,10526019.249999998137355
20091113,1049492.120000000111759,1032999.969999999855645,1062478.160000000149012,1143578.719999999972060,1057609.000000000000000,1006508.500000000000000,1033728.399999999906868,1010664.949999999953434,1148952.700000000186265,1067415.040000000037253,10613427.559999998658895
20091116,1086766.520000000018626,1041879.479999999864958,1071553.200000000186265,1159657.279999999795109,1067432.500000000000000,1015620.400000000023283,1055901.699999999953434,1036386.299999999930151,1151718.399999999906868,1066612.479999999981374,10753528.260000001639128
20091117,1087801.919999999925494,1044530.079999999958090,1077486.879999999888241,1181941.599999999860302,1070929.000000000000000,1025513.320000000065193,1070892.099999999860302,1018820.499999999883585,1144606.600000000093132,1076644.479999999981374,10799166.479999998584390
20091118,1077240.840000000316650,1045987.909999999916181,1070506.080000000074506,1159375.199999999953434,1066933.000000000000000,1012756.660000000032596,1097437.599999999860302,1010664.949999999953434,1140655.600000000093132,1086475.839999999850988,10768033.679999999701977
20091119,1065023.120000000111759,1025048.169999999925494,1054450.240000000223517,1128064.320000000065193,1061854.750000000000000,1005597.310000000055879,1103371.299999999813735,996863.250000000000000,1131173.200000000186265,1094300.799999999813735,10665746.460000000894070
20091120,1070614.280000000260770,1017493.959999999846332,1047469.440000000060536,1121858.560000000055879,1057026.250000000000000,997656.940000000060536,1138661.199999999953434,1002509.400000000023283,1128407.500000000000000,1089084.159999999683350,10670781.690000001341105
20091123,1089872.720000000204891,1043602.369999999878928,1063874.319999999832362,1123551.039999999804422,1067349.250000000000000,1011845.470000000088476,1137412.000000000000000,1011292.300000000046566,1148952.700000000186265,1097109.759999999776483,10794861.929999997839332
20091124,1076205.439999999944121,1047445.739999999874271,1055148.319999999832362,1124115.199999999953434,1065101.500000000000000,1010283.430000000051223,1131165.999999999767169,1011919.649999999906868,1167917.500000000000000,1100520.640000000130385,10789823.419999999925494
20091125,1096085.120000000111759,1055530.069999999832362,1068411.839999999850988,1145835.359999999869615,1059690.250000000000000,1014188.530000000027940,1142096.500000000000000,1030740.149999999906868,1167127.299999999813735,1102727.679999999701977,10882432.800000000745058
20091127,1086145.280000000260770,1036048.159999999916181,1059336.800000000279397,1107190.399999999906868,1046536.750000000000000,999088.810000000055879,1133352.099999999860302,1020075.200000000069849,1163176.300000000279397,1096106.560000000055879,10747056.360000001266599
20091130,1085316.959999999962747,1034325.270000000018626,1054799.279999999795109,1115934.879999999888241,1051948.000000000000000,1008070.540000000037253,1130853.699999999953434,1017565.799999999930151,1132753.600000000093132,1094501.439999999944121,10726069.469999998807907
20091201,1112444.439999999944121,1047843.329999999958090,1072600.319999999832362,1128064.320000000065193,1065184.750000000000000,1023560.770000000018626,1151777.800000000046566,1025721.350000000093132,1133938.899999999906868,1098514.239999999757856,10859650.220000000670552
20091202,1113686.919999999925494,1043469.839999999967404,1074694.560000000055879,1144424.959999999962747,1059107.500000000000000,1020697.030000000027940,1149279.399999999906868,1025094.000000000000000,1117739.799999999813735,1094902.719999999739230,10843096.729999996721745
20091203,1113479.840000000316650,1033265.029999999795109,1058638.719999999739230,1110293.279999999795109,1061938.000000000000000,1004295.610000000102445,1148342.500000000000000,1014429.050000000046566,1079810.200000000186265,1092294.399999999906868,10716786.630000000819564
20091204,1132324.120000000111759,1034722.859999999869615,1076439.760000000242144,1103805.439999999944121,1059440.500000000000000,1018484.140000000013970,1146156.399999999906868,1008782.899999999906868,1084946.500000000000000,1088281.600000000093132,10753384.219999998807907
20091207,1155931.240000000223517,1036048.159999999916181,1082024.399999999906868,1125525.599999999860302,1057692.250000000000000,1014188.530000000027940,1146156.399999999906868,1012547.000000000000000,1118134.899999999906868,1102125.759999999776483,10850374.240000000223517
20091208,1152617.959999999962747,1017361.429999999934807,1070855.120000000111759,1106344.159999999916181,1055694.250000000000000,1003774.930000000051223,1135225.899999999906868,996235.900000000023283,1124456.500000000000000,1091692.479999999981374,10754258.630000000819564
20091209,1148683.439999999944121,1021337.329999999958090,1071553.200000000186265,1099856.320000000065193,1068931.000000000000000,1038009.640000000013970,1160209.899999999906868,971769.250000000000000,1126036.899999999906868,1084870.719999999739230,10791257.699999999254942
20091210,1139157.760000000242144,1026108.409999999916181,1092495.600000000093132,1071366.239999999757856,1076839.750000000000000,1050245.620000000111759,1172389.599999999860302,983688.899999999906868,1197550.000000000000000,1097310.399999999906868,10907152.279999999329448
20091211,1151375.479999999981374,1030614.429999999934807,1106457.200000000186265,1070520.000000000000000,1079670.250000000000000,1064173.810000000055879,1157711.500000000000000,1001882.050000000046566,1204266.700000000186265,1096507.839999999850988,10963179.260000001639128
20091214,1160694.080000000074506,1023987.929999999934807,1110994.719999999739230,1104369.599999999860302,1081751.500000000000000,1066256.530000000027940,1179572.500000000000000,1006273.499999999883585,1222836.399999999906868,1084870.719999999739230,11041607.480000000447035
20091215,1152825.040000000037253,1025445.760000000009313,1123211.120000000111759,1075315.359999999869615,1069763.500000000000000,1076539.960000000195578,1186755.399999999906868,1009410.250000000000000,1237455.100000000093132,1083064.959999999962747,11039786.449999999254942
20091216,1141642.720000000204891,1032337.319999999948777,1131937.120000000111759,1095907.199999999953434,1071595.000000000000000,1063783.300000000046566,1178947.899999999906868,1004391.450000000069849,1272223.899999999906868,1069822.719999999739230,11062588.629999998956919
20091217,1127975.439999999944121,1017626.489999999874271,1114485.120000000111759,1063750.079999999841675,1060689.250000000000000,1047512.050000000046566,1164269.800000000046566,991844.449999999953434,1257210.100000000093132,1058586.879999999888241,10903949.660000000149012
20091218,1106646.200000000186265,1019216.849999999976717,1115183.200000000186265,1053313.120000000111759,1064935.000000000000000,1054020.550000000046566,1168017.399999999906868,1010664.949999999953434,1246147.299999999813735,1060392.640000000130385,10898537.210000000894070
20091221,1124455.080000000074506,1027168.649999999906868,1130890.000000000000000,1074469.120000000111759,1071095.500000000000000,1060008.370000000111759,1177074.099999999860302,1017565.799999999930151,1271038.600000000093132,1071427.839999999850988,11025193.059999998658895
20091222,1141021.479999999981374,1027036.119999999878928,1127748.640000000130385,1083777.760000000009313,1081751.500000000000000,1066907.379999999888241,1178947.899999999906868,1020702.549999999930151,1276965.100000000093132,1070224.000000000000000,11075082.429999999701977
20091223,1138122.359999999869615,1021072.270000000018626,1131937.120000000111759,1118755.679999999701977,1082334.250000000000000,1069901.290000000037253,1163332.899999999906868,1026348.699999999953434,1249308.100000000093132,1069822.719999999739230,11070935.389999996870756
20091224,1148890.520000000018626,1026240.939999999944121,1127050.560000000055879,1125243.520000000018626,1087079.500000000000000,1074587.409999999916181,1155213.099999999860302,1023211.949999999953434,1251678.700000000186265,1075440.640000000130385,11094636.839999999850988
20091228,1141849.800000000279397,1030746.959999999846332,1113787.040000000037253,1145271.199999999953434,1101565.000000000000000,1086302.710000000195578,1164582.099999999860302,1027603.399999999906868,1240220.799999999813735,1083064.959999999962747,11134993.969999998807907
20091229,1143299.359999999869615,1023325.279999999795109,1130191.919999999925494,1150630.719999999972060,1097735.500000000000000,1095154.270000000018626,1158648.399999999906868,1038268.349999999976717,1218885.399999999906868,1085673.279999999795109,11141812.479999998584390
20091230,1138122.359999999869615,1029156.599999999976717,1126701.520000000018626,1136526.719999999972060,1103729.500000000000000,1092160.360000000102445,1157399.199999999953434,1037640.999999999883585,1225207.000000000000000,1089485.439999999944121,11136129.699999999254942
20091231,1120934.720000000204891,1020409.619999999878928,1125654.399999999906868,1110011.199999999953434,1089826.750000000000000,1076149.450000000186265,1141159.599999999860302,1036386.299999999930151,1204266.700000000186265,1072431.040000000037253,10997229.779999997466803
20100104,1163386.120000000111759,1047843.329999999958090,1119371.680000000167638,1172350.879999999888241,1102730.500000000000000,1080705.399999999906868,1155837.699999999953434,1025094.000000000000000,1245752.200000000186265,1088080.959999999962747,11201152.769999999552965
