訓練日期,20110623 - 20110923
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10253344.339999999850988
真實報酬,253344.339999999850988

夏普值報酬,0.016634434000000
夏普值風險,0.033675500873716
夏普值,0.493962482173008

預期報酬,6430.961591202697491
風險,403873.193271896627266
趨勢值,0.015923219709393
找到最佳解世代,37
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AAPL[0](1),HD[9](16),KO[14](4),MSFT[18](5),UNH[23](21),V[25](3),WMT[28](10),XOM[29](18),
Stock#,AAPL[0](1),HD[9](16),KO[14](4),MSFT[18](5),UNH[23](21),V[25](3),WMT[28](10),XOM[29](18),
張數,27120,35785,37650,50709,24140,66952,23580,15660,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,39.199999999953434,29.949999999953434,20.000000000000000,23.150000000139698,30.800000000046566,6.159999999916181,24.199999999953434,18.800000000046566,
20110623,1283357.599999999860302,1275765.199999999953434,1223268.500000000000000,1248985.820000000065193,1234791.800000000046566,1260712.319999999832362,1256602.399999999906868,1228389.199999999953434,10011872.839999999850988
20110624,1264373.599999999860302,1255367.750000000000000,1222515.500000000000000,1232251.850000000093132,1218135.199999999953434,1227905.839999999850988,1235851.999999999767169,1202393.600000000093132,9858795.339999997988343
20110627,1286340.800000000046566,1259661.949999999953434,1227410.000000000000000,1277889.950000000186265,1231895.000000000000000,1236609.599999999860302,1233022.399999999906868,1220246.000000000000000,9973075.699999999254942
20110628,1298816.000000000000000,1290437.050000000046566,1243223.000000000232831,1308315.350000000093132,1249758.600000000093132,1260042.800000000046566,1238681.600000000093132,1247024.599999999860302,10136299.000000000000000
20110629,1294205.599999999860302,1287574.249999999767169,1255647.500000000000000,1299187.730000000214204,1244206.400000000139698,1448847.439999999944121,1241275.399999999906868,1256733.800000000046566,10327678.120000001043081
20110630,1300443.199999999953434,1296162.649999999906868,1266942.500000000000000,1318457.150000000139698,1245172.000000000000000,1410684.800000000046566,1253065.399999999906868,1274429.599999999860302,10365357.299999998882413
20110701,1330004.000000000000000,1314412.999999999767169,1282002.500000000000000,1319471.330000000074506,1282589.000000000000000,1472280.639999999897555,1261790.000000000000000,1284295.400000000139698,10546845.869999999180436
20110705,1353869.600000000093132,1309403.100000000093132,1285767.500000000000000,1319978.420000000158325,1275829.800000000046566,1478306.319999999832362,1258960.399999999906868,1277874.800000000046566,10559989.940000001341105
20110706,1362819.199999999953434,1308687.399999999906868,1290285.500000000232831,1335191.120000000111759,1282589.000000000000000,1476297.760000000009313,1266741.799999999813735,1277405.000000000000000,10600016.779999999329448
20110707,1383972.800000000046566,1325864.199999999953434,1294427.000000000000000,1357503.080000000074506,1270519.000000000000000,1509104.239999999757856,1284898.399999999906868,1289776.400000000139698,10716065.120000001043081
20110708,1393736.000000000000000,1310476.649999999906868,1292921.000000000232831,1365109.430000000167638,1257242.000000000000000,1501739.519999999785796,1275230.599999999860302,1290716.000000000000000,10687171.199999999254942
20110711,1371497.599999999860302,1301172.550000000046566,1282002.500000000000000,1350403.820000000065193,1229722.399999999906868,1471611.119999999878928,1270278.799999999813735,1282572.800000000046566,10559261.589999999850988
20110712,1370684.000000000000000,1292226.300000000046566,1277108.000000000000000,1345840.010000000009313,1241068.199999999953434,1468263.519999999785796,1271929.399999999906868,1282416.199999999953434,10549535.629999998956919
20110713,1387227.199999999953434,1292942.000000000000000,1281249.500000000000000,1350403.820000000065193,1248793.000000000000000,1485671.040000000037253,1273815.800000000046566,1291655.600000000093132,10611757.960000000894070
20110714,1386142.399999999906868,1286858.550000000046566,1274096.000000000232831,1342290.380000000121072,1261828.600000000093132,1472280.639999999897555,1264619.600000000093132,1287897.199999999953434,10576013.369999999180436
20110715,1413804.800000000046566,1285069.299999999813735,1271460.500000000232831,1358010.170000000158325,1254586.600000000093132,1485671.040000000037253,1264619.600000000093132,1299798.800000000046566,10633020.810000000521541
20110718,1448247.199999999953434,1277196.599999999860302,1263554.000000000000000,1348375.460000000195578,1254103.800000000046566,1474289.199999999953434,1257309.800000000046566,1294317.800000000046566,10617393.860000001266599
20110719,1460180.000000000000000,1292226.300000000046566,1304968.999999999767169,1396549.010000000009313,1242033.800000000046566,1493035.760000000009313,1272636.799999999813735,1309664.599999999860302,10771295.269999997690320
20110720,1498961.600000000093132,1302961.799999999813735,1296686.000000000000000,1372208.690000000176951,1243482.199999999953434,1483662.479999999981374,1270750.399999999906868,1304496.800000000046566,10773209.970000000670552
20110721,1500588.799999999813735,1314055.149999999906868,1305345.500000000000000,1374237.050000000279397,1258931.800000000046566,1473619.679999999934807,1284426.799999999813735,1331432.000000000000000,10842636.779999999329448
