訓練日期,20091130 - 20100304
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10738412.070000000298023
真實報酬,738412.070000000298023

夏普值報酬,0.065141207000000
夏普值風險,0.019135806423695
夏普值,3.404152694570413

預期報酬,9267.575373618745289
風險,135550.732710792712169
趨勢值,0.068369791798852
找到最佳解世代,58
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AAPL[0](14),BA[2](1),HD[9](3),JNJ[12](11),MCD[15](16),MRK[17](7),TRV[22](23),V[25](5),
Stock#,AAPL[0](14),BA[2](1),HD[9](3),JNJ[12](11),MCD[15](16),MRK[17](7),TRV[22](23),V[25](5),
張數,43614,23832,45273,19875,19654,34444,24201,62250,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,22.760000000009313,11.599999999860302,12.469999999972060,61.250000000000000,5.599999999860302,27.239999999990687,18.350000000093132,20.000000000000000,
20091130,1245638.599999999860302,1249046.719999999739230,1238681.750000000000000,1249006.250000000000000,1243121.099999999860302,1247244.479999999981374,1267908.739999999990687,1260582.500000000000000,10001230.139999998733401
20091201,1227320.719999999972060,1280266.639999999897555,1267656.469999999972060,1262322.500000000000000,1248820.759999999776483,1270321.959999999962747,1272990.950000000186265,1291085.000000000000000,10120785.000000000000000
20091202,1222523.180000000167638,1281696.559999999823049,1282596.559999999823049,1269676.250000000000000,1228380.599999999860302,1267566.439999999944121,1274201.000000000000000,1279880.000000000000000,10106520.589999999850988
20091203,1224267.739999999990687,1281458.239999999990687,1264487.359999999869615,1275241.250000000000000,1217963.979999999748543,1266533.120000000111759,1244917.790000000037253,1245642.500000000000000,10020511.980000000447035
20091204,1204641.439999999944121,1303145.359999999869615,1271278.309999999823049,1279216.250000000000000,1210495.459999999962747,1264122.040000000037253,1235237.390000000130385,1249377.500000000000000,10017513.750000000000000
20091207,1177164.619999999878928,1330313.839999999850988,1277616.530000000027940,1279415.000000000000000,1217177.819999999832362,1264122.040000000037253,1223862.920000000158325,1243775.000000000000000,10013447.770000001415610
20091208,1182834.439999999944121,1326500.719999999739230,1252716.380000000121072,1277030.000000000000000,1191234.539999999804422,1252066.640000000130385,1208132.270000000018626,1245020.000000000000000,9935534.990000000223517
20091209,1232554.400000000139698,1321972.639999999897555,1247283.620000000111759,1279613.750000000000000,1191038.000000000000000,1279621.839999999850988,1212488.450000000186265,1272410.000000000000000,10036982.699999999254942
20091210,1223831.599999999860302,1311009.919999999925494,1267203.739999999990687,1287365.000000000000000,1199882.299999999813735,1293055.000000000000000,1228461.110000000102445,1281125.000000000000000,10091933.669999999925494
20091211,1212928.099999999860302,1325070.799999999813735,1289840.239999999990687,1288955.000000000000000,1211871.239999999757856,1276866.320000000065193,1227009.050000000046566,1266185.000000000000000,10098725.750000000000000
20091214,1227320.719999999972060,1335795.199999999720603,1307043.979999999981374,1291141.249999999767169,1221305.159999999916181,1300977.120000000111759,1234753.370000000111759,1319097.500000000000000,10237434.300000000745058
20091215,1209875.119999999878928,1326739.039999999804422,1313834.929999999934807,1286768.750000000000000,1218553.599999999860302,1308899.239999999990687,1219990.760000000009313,1340885.000000000000000,10225546.439999999478459
20091216,1215108.800000000046566,1313869.760000000009313,1311118.550000000046566,1287961.250000000000000,1226808.279999999795109,1300288.239999999990687,1202808.050000000046566,1354580.000000000000000,10212542.930000001564622
20091217,1195482.500000000000000,1298140.639999999897555,1303874.870000000111759,1281402.500000000000000,1216981.279999999795109,1284099.560000000055879,1170862.730000000214204,1354580.000000000000000,10105424.080000000074506
20091218,1217725.640000000130385,1273593.679999999701977,1297083.919999999925494,1279415.000000000000000,1221894.779999999795109,1288232.839999999850988,1165054.489999999990687,1384460.000000000000000,10127460.349999999627471
20091221,1235171.239999999990687,1294089.199999999720603,1311118.550000000046566,1278620.000000000000000,1231525.239999999757856,1298221.599999999860302,1177881.020000000018626,1362050.000000000000000,10188676.849999997764826
20091222,1248255.439999999944121,1313154.799999999813735,1326058.639999999897555,1282595.000000000000000,1237617.979999999748543,1300288.239999999990687,1184415.290000000037253,1343375.000000000000000,10235760.390000000596046
20091223,1259158.939999999944121,1309818.319999999832362,1312929.469999999972060,1283389.999999999767169,1245283.039999999804422,1283066.239999999990687,1190223.530000000027940,1340885.000000000000000,10224754.539999999105930
20091224,1302336.800000000046566,1322210.959999999729916,1320625.880000000121072,1285973.750000000000000,1246462.279999999795109,1274110.800000000046566,1208616.290000000037253,1342752.500000000000000,10303089.259999999776483
20091228,1318473.979999999981374,1314108.079999999841675,1321078.609999999869615,1290743.750000000000000,1250196.539999999804422,1284444.000000000000000,1205954.180000000167638,1350222.500000000000000,10335221.640000000596046
20091229,1302772.939999999944121,1315776.319999999832362,1325153.179999999934807,1290743.750000000000000,1249803.459999999962747,1277899.640000000130385,1206922.219999999972060,1370142.500000000000000,10339214.009999999776483
20091230,1318473.979999999981374,1309818.319999999832362,1318814.959999999962747,1290147.500000000000000,1236045.659999999916181,1276521.880000000121072,1216360.610000000102445,1372010.000000000000000,10338192.910000000149012
20091231,1312804.160000000149012,1290037.760000000009313,1309760.359999999869615,1280210.000000000000000,1227201.359999999869615,1258611.000000000000000,1206680.210000000195578,1361427.500000000000000,10246732.349999999627471
20100104,1333302.739999999990687,1338893.359999999869615,1297989.380000000121072,1285576.250000000232831,1233883.719999999972060,1274799.679999999934807,1205470.160000000149012,1372010.000000000000000,10341925.289999999105930
20100105,1335919.580000000074506,1382744.239999999990687,1307496.709999999962747,1270670.000000000000000,1224449.799999999813735,1279966.279999999795109,1176912.980000000214204,1355825.000000000000000,10333984.589999999850988
20100106,1314548.719999999972060,1424688.559999999823049,1302969.409999999916181,1281005.000000000000000,1207743.899999999906868,1297188.279999999795109,1160214.290000000037253,1337772.500000000000000,10326130.660000000149012
20100107,1311931.879999999888241,1482362.000000000000000,1318362.229999999981374,1271862.500000000000000,1216588.199999999720603,1299254.919999999925494,1176912.980000000214204,1350222.500000000000000,10427497.209999999031425
20100108,1320654.680000000167638,1468062.799999999813735,1312024.010000000009313,1276234.999999999767169,1215408.959999999962747,1298566.040000000037253,1175218.910000000149012,1353957.500000000000000,10420127.900000000372529
20100111,1309315.040000000037253,1450665.439999999711290,1274900.149999999906868,1276433.750000000000000,1224842.879999999888241,1303732.640000000130385,1174734.890000000130385,1350222.500000000000000,10364847.289999999105930
20100112,1294050.140000000130385,1440179.359999999869615,1266751.010000000009313,1283191.250000000000000,1231525.239999999757856,1293399.439999999944121,1182237.200000000186265,1343997.500000000000000,10335331.140000000596046
20100113,1312368.020000000018626,1457576.719999999739230,1273541.959999999962747,1291340.000000000000000,1230149.459999999962747,1340932.159999999916181,1186351.370000000111759,1356447.500000000000000,10448707.189999999478459
20100114,1304953.640000000130385,1467109.520000000018626,1281238.370000000111759,1293923.750000000000000,1231328.699999999720603,1377442.800000000046566,1192643.630000000121072,1360805.000000000000000,10509445.410000000149012
20100115,1283146.640000000130385,1449473.839999999850988,1293462.080000000074506,1283191.250000000000000,1224056.719999999972060,1359531.919999999925494,1180785.140000000130385,1340885.000000000000000,10414532.589999999850988
20100119,1339844.839999999850988,1445422.399999999906868,1307496.709999999962747,1298892.500000000000000,1247641.519999999785796,1399142.520000000018626,1196273.780000000027940,1367030.000000000000000,10601744.269999997690320
20100120,1319346.260000000009313,1434698.000000000000000,1297536.649999999906868,1294917.500000000000000,1238404.139999999897555,1413264.560000000055879,1184173.280000000027940,1360805.000000000000000,10543145.389999998733401
20100121,1296230.839999999850988,1410866.000000000000000,1289387.510000000009313,1271465.000000000000000,1242138.399999999906868,1380542.760000000009313,1184657.300000000046566,1314117.500000000000000,10389405.310000000521541
20100122,1232118.260000000009313,1376786.239999999990687,1254980.030000000027940,1256161.250000000000000,1245872.659999999916181,1338865.520000000018626,1169168.660000000149012,1287350.000000000000000,10161302.620000001043081
20100125,1265264.900000000139698,1377024.559999999823049,1250452.729999999981374,1256558.750000000000000,1239976.459999999962747,1335076.679999999934807,1183205.239999999990687,1276767.500000000000000,10184326.819999998435378
20100126,1283146.640000000130385,1375356.319999999832362,1255432.760000000009313,1248012.500000000000000,1254127.339999999850988,1328876.760000000009313,1215634.580000000074506,1263072.500000000000000,10223659.399999998509884
20100127,1295358.560000000055879,1475927.359999999869615,1260412.790000000037253,1260931.250000000000000,1252555.019999999785796,1330943.399999999906868,1231849.250000000000000,1306025.000000000000000,10414002.629999998956919
20100128,1241713.339999999850988,1490941.520000000018626,1237776.290000000037253,1268086.250000000000000,1234866.419999999925494,1307865.919999999925494,1216602.620000000111759,1286105.000000000000000,10283957.359999999403954
20100129,1196790.920000000158325,1444230.799999999813735,1268109.199999999953434,1249403.750000000000000,1227004.819999999832362,1315099.159999999916181,1226283.020000000018626,1276767.500000000000000,10203689.169999999925494
20100201,1213364.239999999990687,1470446.000000000000000,1285312.939999999944121,1253975.000000000000000,1255699.659999999916181,1319232.439999999944121,1226767.040000000037253,1302290.000000000000000,10327087.320000000298023
