訓練日期,20150602 - 20150901
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9473259.070000000298023
真實報酬,-526740.929999999701977

夏普值報酬,-0.061374093000000
夏普值風險,0.022389514089906
夏普值,-2.741198078419608

預期報酬,1373.843313724448763
風險,230971.432839206478093
趨勢值,0.005948109239470
找到最佳解世代,26
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AXP[1](14),DIS[6](12),HD[9](2),IBM[10](23),JNJ[12](13),JPM[13](7),MCD[15](6),NKE[19](1),TRV[22](5),UNH[23](8),
Stock#,AXP[1](14),DIS[6](12),HD[9](2),IBM[10](23),JNJ[12](13),JPM[13](7),MCD[15](6),NKE[19](1),TRV[22](5),UNH[23](8),
張數,12583,9012,8954,5876,9996,15133,10392,19654,9900,8343,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,28.989999999990687,28.480000000097789,106.819999999948777,22.319999999948777,0.159999999916181,11.359999999986030,81.760000000009313,4.479999999981374,1.000000000000000,8.020000000018626,
20150602,1006543.159999999916181,998107.480000000097789,999283.679999999934807,996885.719999999972060,999400.239999999990687,999092.019999999902211,1000727.440000000060536,1003537.719999999972060,993268.000000000000000,982396.270000000018626,9979241.730000000447035
20150603,1014218.789999999920838,1001892.520000000135042,1013341.459999999962747,998472.239999999874271,1000499.799999999930151,1009382.460000000079162,1003117.599999999976717,1007468.519999999902211,1000000.000000000000000,987402.069999999948777,10035795.459999999031425
20150604,998615.869999999995343,994052.080000000074506,998119.659999999916181,989423.199999999953434,991903.239999999990687,1003783.250000000000000,1000935.280000000027940,1001965.399999999906868,992079.999999999883585,973218.970000000088476,9944096.950000001117587
20150605,998993.359999999986030,994052.080000000074506,988359.800000000046566,983664.719999999972060,985505.799999999930151,1020278.219999999972060,992933.440000000060536,1002751.560000000055879,983170.000000000000000,972217.810000000055879,9921926.790000000968575
20150608,991695.219999999972060,984949.960000000195578,984420.040000000037253,971560.159999999916181,979208.319999999832362,1012257.729999999981374,990647.199999999953434,996855.359999999986030,967825.000000000000000,975388.150000000023283,9854807.140000000596046
20150609,996225.099999999976717,978010.720000000088476,980838.439999999944121,973558.000000000000000,981707.319999999832362,1016646.300000000046566,984515.920000000041910,996069.199999999953434,968221.000000000000000,976055.589999999967404,9851847.589999999850988
20150610,1009059.760000000009313,991348.480000000097789,993821.739999999990687,992596.239999999874271,988404.639999999897555,1032989.940000000060536,990439.359999999986030,1015526.660000000032596,981883.000000000116415,989070.670000000041910,9985140.490000002086163
20150611,1010443.889999999897555,996935.920000000158325,996597.479999999981374,991773.599999999976717,992003.199999999837019,1036924.519999999902211,993453.040000000037253,1020833.239999999990687,991288.000000000000000,995494.779999999911524,10025747.669999999925494
20150612,1000754.979999999981374,990897.880000000121072,990419.219999999855645,981255.560000000055879,983106.759999999892898,1032838.609999999986030,987945.280000000027940,1019850.540000000037253,984754.000000000000000,981561.970000000088476,9953384.800000002607703
20150615,997231.739999999990687,992970.640000000130385,985136.359999999986030,976966.079999999841675,974510.199999999837019,1028904.029999999911524,980047.359999999986030,1015723.199999999953434,978022.000000000116415,992658.160000000032596,9922169.770000001415610
20150616,998615.869999999995343,1000901.200000000069849,987106.239999999990687,980374.159999999916181,983206.719999999855645,1034654.570000000065193,983476.719999999972060,1027515.599999999976717,984952.000000000000000,1014099.670000000041910,9994902.749999998137355
