訓練日期,20100831 - 20101201
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11775634.350000001490116
真實報酬,1775634.350000001490116

夏普值報酬,0.168863435000000
夏普值風險,0.041229266324699
夏普值,4.095717679527128

預期報酬,30951.562327336778253
風險,214736.693614850024460
趨勢值,0.144137277175606
找到最佳解世代,10
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AXP[1](28),CVX[5](17),DIS[6](10),GS[8](14),KO[14](1),UTX[24](7),WBA[27](11),XOM[29](3),
Stock#,AXP[1](28),CVX[5](17),DIS[6](10),GS[8](14),KO[14](1),UTX[24](7),WBA[27](11),XOM[29](3),
張數,31336,16942,38639,9146,44996,19116,45972,21186,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,6.959999999962747,19.239999999990687,28.349999999860302,107.640000000130385,11.119999999878928,4.760000000009313,21.319999999832362,26.000000000000000,
20100831,1249373.279999999795109,1255082.599999999860302,1257341.409999999916181,1252469.420000000158325,1257199.359999999869615,1246559.119999999878928,1235748.679999999701977,1252330.459999999962747,10006104.330000001937151
20100901,1286976.479999999981374,1300656.579999999841675,1294821.239999999757856,1278169.680000000167638,1289596.479999999981374,1287849.680000000167638,1272986.000000000000000,1290465.260000000009313,10301521.399999998509884
20100902,1281022.640000000130385,1312177.140000000130385,1310276.839999999618158,1278535.520000000251457,1290946.359999999869615,1289187.800000000046566,1301028.919999999925494,1293643.160000000149012,10356818.379999998956919
20100903,1309851.759999999776483,1321495.239999999990687,1339642.479999999981374,1347221.979999999981374,1294996.000000000000000,1304862.920000000158325,1301028.919999999925494,1299151.520000000018626,10518250.820000000298023
20100907,1256267.199999999953434,1305400.339999999850988,1307572.110000000102445,1328198.300000000279397,1296795.839999999850988,1299510.440000000176951,1309763.599999999860302,1282838.300000000046566,10386346.130000002682209
20100908,1255640.479999999981374,1308788.739999999990687,1307572.110000000102445,1349508.479999999981374,1301295.439999999944121,1308877.280000000027940,1318038.559999999823049,1287075.500000000000000,10436796.589999999850988
20100909,1275068.799999999813735,1310652.359999999869615,1316845.469999999739230,1364142.080000000074506,1311644.519999999785796,1311744.680000000167638,1320337.159999999683350,1293431.300000000046566,10503866.369999999180436
20100910,1259400.799999999813735,1335387.679999999934807,1319550.199999999720603,1375574.580000000074506,1316594.079999999841675,1316906.000000000000000,1331370.439999999944121,1296609.199999999953434,10551392.979999998584390
20100913,1291676.879999999888241,1342672.739999999990687,1324186.879999999888241,1411975.660000000149012,1305795.039999999804422,1314994.400000000139698,1335967.639999999664724,1292372.000000000000000,10619641.240000000223517
20100914,1265354.640000000130385,1347077.660000000149012,1315686.299999999813735,1395147.020000000251457,1295895.919999999925494,1313656.280000000027940,1343323.159999999683350,1292583.859999999869615,10568724.839999999850988
20100915,1280082.560000000055879,1341995.059999999823049,1321868.539999999804422,1395421.400000000139698,1291846.280000000027940,1305054.079999999841675,1342863.439999999944121,1292372.000000000000000,10571503.360000001266599
20100916,1283529.520000000018626,1339284.339999999850988,1320322.979999999981374,1392403.219999999972060,1294096.079999999841675,1310024.239999999990687,1338725.959999999962747,1291736.419999999925494,10570122.759999999776483
20100917,1296377.279999999795109,1329288.559999999823049,1335392.189999999944121,1380970.719999999972060,1294996.000000000000000,1329140.239999999990687,1342863.439999999944121,1287711.080000000074506,10596739.509999999776483
20100920,1351215.279999999795109,1353685.040000000037253,1348529.449999999720603,1389385.040000000270084,1304445.159999999916181,1345197.680000000167638,1344242.599999999860302,1304024.300000000046566,10740724.550000000745058
