訓練日期,20120123 - 20120424
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10942974.620000001043081
真實報酬,942974.620000001043081

夏普值報酬,0.085597462000000
夏普值風險,0.034763719334141
夏普值,2.462264212216679

預期報酬,18073.596541931343381
風險,115017.872334902931470
趨勢值,0.157137288101675
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AAPL[0](2),DD[7](16),IBM[10](5),KO[14](9),NKE[19](6),PFE[20](21),TRV[22](30),UNH[23](7),
Stock#,AAPL[0](2),DD[7](16),IBM[10](5),KO[14](9),NKE[19](6),PFE[20](21),TRV[22](30),UNH[23](7),
張數,20819,26288,6630,36710,49135,57077,20295,23914,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,27.239999999990687,5.600000000093132,112.399999999906868,24.500000000000000,5.599999999860302,13.700000000186265,30.949999999953434,15.219999999972060,
20120123,1271235.380000000121072,1239221.920000000158325,1259679.799999999813735,1258076.200000000186265,1247543.250000000000000,1239155.370000000344589,1223616.500000000000000,1253826.239999999990687,9992354.660000002011657
20120124,1250416.380000000121072,1249737.120000000111759,1272608.300000000046566,1246329.000000000000000,1255404.849999999860302,1236301.520000000251457,1177140.949999999953434,1227520.839999999850988,9915458.959999999031425
20120125,1328487.630000000121072,1263144.000000000000000,1271282.299999999813735,1256240.699999999953434,1267688.599999999860302,1239726.140000000130385,1200480.199999999953434,1233260.199999999953434,10060309.769999997690320
20120126,1322450.120000000111759,1250788.640000000130385,1266309.799999999813735,1248531.599999999860302,1256878.899999999674037,1234589.210000000195578,1191347.449999999953434,1204085.120000000111759,9974980.839999999850988
20120127,1330361.339999999850988,1252628.800000000046566,1262862.199999999953434,1237885.699999999953434,1254422.149999999906868,1226027.660000000149012,1178155.699999999953434,1220107.500000000000000,9962451.049999998882413
20120130,1347432.919999999925494,1242639.360000000102445,1276387.399999999906868,1238252.799999999813735,1270145.349999999860302,1231735.360000000102445,1179373.399999999906868,1221303.199999999953434,10007269.789999999105930
20120131,1357634.229999999748543,1254468.959999999962747,1277050.399999999906868,1239721.200000000186265,1277515.599999999860302,1221461.500000000000000,1183229.449999999953434,1238521.280000000027940,10049602.619999997317791
20120201,1356801.469999999972060,1270504.640000000130385,1277183.000000000000000,1245227.699999999953434,1274567.500000000000000,1216324.570000000065193,1202915.600000000093132,1273674.859999999869615,10117199.339999999850988
20120202,1353678.619999999878928,1255520.479999999981374,1269956.299999999813735,1245227.699999999953434,1263266.449999999953434,1204909.170000000158325,1205351.000000000000000,1256456.780000000027940,10054366.499999998137355
20120203,1367210.969999999972060,1279705.440000000176951,1283945.599999999860302,1249632.899999999906868,1271619.399999999906868,1210046.100000000093132,1220166.349999999860302,1227042.560000000055879,10109369.320000000298023
20120206,1379910.560000000055879,1272081.920000000158325,1278508.999999999767169,1248898.700000000186265,1271128.049999999813735,1195776.850000000093132,1204133.299999999813735,1226564.280000000027940,10077002.659999998286366
20120207,1394483.860000000102445,1267612.959999999962747,1282022.899999999906868,1258443.300000000046566,1280463.699999999720603,1201484.550000000279397,1212454.250000000000000,1244260.639999999897555,10141226.160000002011657
20120208,1417801.139999999897555,1271030.400000000139698,1279370.899999999906868,1254405.199999999953434,1301100.399999999906868,1199201.470000000204891,1214686.699999999953434,1246891.179999999934807,10184487.389999998733401
20120209,1466725.790000000037253,1288643.360000000102445,1280564.299999999813735,1247797.400000000139698,1299135.000000000000000,1206621.480000000214204,1215498.500000000000000,1268892.060000000055879,10273877.890000002458692
20120210,1467558.549999999813735,1272870.560000000055879,1275856.999999999767169,1247063.199999999953434,1294712.849999999860302,1201484.550000000279397,1205148.050000000046566,1275109.699999999953434,10239804.459999999031425
20120213,1494831.439999999944121,1279968.320000000065193,1277183.000000000000000,1256240.699999999953434,1292747.449999999720603,1215753.800000000279397,1197233.000000000000000,1287784.120000000111759,10301741.830000001937151
20120214,1515234.060000000055879,1257886.400000000139698,1274531.000000000000000,1264684.000000000000000,1309944.699999999953434,1217466.110000000102445,1200683.149999999906868,1302371.659999999916181,10342801.080000000074506
20120215,1480258.139999999897555,1259989.440000000176951,1274729.899999999906868,1255506.500000000000000,1309453.349999999860302,1204909.170000000158325,1203321.500000000000000,1306197.899999999906868,10294365.900000000372529
20120216,1493582.299999999813735,1289432.000000000000000,1279835.000000000000000,1263949.800000000046566,1304048.499999999767169,1217466.110000000102445,1206365.750000000000000,1310263.280000000027940,10364942.740000000223517
20120217,1493374.110000000102445,1310199.520000000251457,1282486.999999999767169,1267620.800000000046566,1310436.050000000046566,1209475.330000000307336,1214686.699999999953434,1307632.739999999990687,10395912.250000000000000
20120221,1531264.689999999944121,1297055.520000000251457,1282288.099999999860302,1263215.599999999860302,1289307.999999999767169,1211187.640000000130385,1202915.600000000093132,1322937.699999999953434,10400172.849999997764826
20120222,1525851.750000000232831,1260515.200000000186265,1285470.500000000000000,1271291.800000000046566,1298643.649999999906868,1219178.420000000158325,1196218.250000000000000,1319589.739999999990687,10376759.310000000521541
20120223,1535844.869999999878928,1267612.959999999962747,1310266.699999999953434,1269823.400000000139698,1304048.499999999767169,1200343.010000000242144,1196624.149999999906868,1313850.379999999888241,10398413.970000002533197
20120224,1553749.209999999962747,1266035.679999999934807,1311261.199999999953434,1266519.500000000000000,1305522.549999999813735,1208904.560000000055879,1189317.949999999953434,1330829.319999999832362,10432139.969999998807907
20120227,1563742.330000000074506,1279968.320000000065193,1309736.299999999813735,1263582.699999999953434,1316332.249999999767169,1213470.720000000204891,1189317.949999999953434,1332742.439999999944121,10468893.009999999776483
20120228,1592472.549999999813735,1286014.560000000055879,1312719.799999999813735,1263582.699999999953434,1319771.699999999720603,1211187.640000000130385,1185258.949999999953434,1335372.979999999981374,10506380.879999998956919
20120229,1613291.549999999813735,1254468.959999999962747,1304432.299999999813735,1282304.800000000046566,1325667.899999999906868,1206050.710000000195578,1176532.099999999860302,1333220.719999999972060,10495969.040000000968575
20120301,1619329.060000000055879,1276550.880000000121072,1309736.299999999813735,1277532.500000000000000,1333529.500000000000000,1226598.430000000167638,1185664.850000000093132,1338960.080000000074506,10567901.599999999627471
20120302,1621410.959999999962747,1280231.200000000186265,1318222.699999999953434,1269823.400000000139698,1335986.250000000000000,1222032.270000000251457,1177343.899999999906868,1335372.979999999981374,10560423.660000002011657
