訓練日期,20160803 - 20161102
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10323348.169999998062849
真實報酬,323348.169999998062849

夏普值報酬,0.023634817000000
夏普值風險,0.010642985854244
夏普值,2.220694204021178

預期報酬,8484.849705973419987
風險,126521.189878695106017
趨勢值,0.067062677122373
找到最佳解世代,34
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
BA[2](11),CAT[3](5),GS[8](3),INTC[11](7),JNJ[12](25),JPM[13](1),MRK[17](8),MSFT[18](6),
Stock#,BA[2](11),CAT[3](5),GS[8](3),INTC[11](7),JNJ[12](25),JPM[13](1),MRK[17](8),MSFT[18](6),
張數,9498,15386,8009,36168,10012,19638,21429,22092,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,63.199999999953434,41.360000000102445,115.459999999962747,33.919999999925494,1.800000000046566,41.300000000046566,46.429999999934807,34.640000000130385,
20160803,1252564.459999999962747,1262154.940000000176951,1268260.520000000018626,1238787.919999999925494,1240488.600000000093132,1269834.379999999888241,1235428.279999999795109,1258615.880000000121072,10026134.980000000447035
20160804,1246295.780000000027940,1258154.580000000074506,1265937.910000000149012,1250723.359999999869615,1240088.120000000111759,1267870.580000000074506,1239499.790000000037253,1267894.520000000251457,10036464.640000000596046
20160805,1251234.739999999757856,1270309.520000000251457,1298294.270000000018626,1265190.559999999823049,1243892.679999999934807,1302040.699999999953434,1368502.369999999878928,1280486.960000000195578,10279951.800000000745058
20160808,1255603.819999999832362,1283849.199999999953434,1304220.930000000167638,1267360.639999999897555,1237985.600000000093132,1298113.099999999860302,1347073.369999999878928,1282696.160000000149012,10276902.819999998435378
20160809,1259687.959999999962747,1274463.739999999990687,1309106.419999999925494,1263020.479999999981374,1235782.960000000195578,1293596.360000000102445,1339144.639999999897555,1285789.040000000270084,10260591.600000001490116
20160810,1256458.639999999897555,1271694.260000000242144,1299095.169999999925494,1248914.959999999962747,1235082.120000000111759,1282009.940000000176951,1342358.989999999990687,1281812.480000000214204,10217426.560000000521541
20160811,1263297.199999999953434,1280772.000000000000000,1312470.200000000186265,1254340.159999999916181,1239187.040000000037253,1285544.780000000027940,1363573.699999999953434,1287998.239999999990687,10287183.320000000298023
20160812,1264247.000000000000000,1277079.360000000102445,1307584.709999999962747,1250361.679999999934807,1233680.439999999944121,1282795.459999999962747,1357573.580000000074506,1280045.120000000111759,10253367.350000001490116
20160815,1279063.879999999888241,1294773.260000000242144,1326005.410000000149012,1262658.799999999813735,1224569.520000000018626,1290650.659999999916181,1356930.709999999962747,1284021.680000000167638,10318673.919999998062849
20160816,1282293.199999999953434,1296927.300000000279397,1326806.310000000055879,1273509.199999999953434,1204745.760000000009313,1290454.280000000027940,1350930.589999999850988,1268999.120000000111759,10294665.760000001639128
20160817,1279633.760000000009313,1298773.620000000111759,1326966.489999999757856,1266637.280000000027940,1214557.520000000018626,1293989.120000000111759,1356287.839999999850988,1271650.160000000149012,10308495.789999999105930
20160818,1282293.199999999953434,1282926.040000000037253,1330090.000000000000000,1264828.879999999888241,1208650.439999999944121,1295167.400000000139698,1363573.699999999953434,1272533.840000000083819,10300063.500000000000000
20160819,1276974.319999999832362,1290003.600000000093132,1331451.529999999795109,1274594.239999999990687,1200640.840000000083819,1293399.979999999981374,1357787.869999999878928,1272975.680000000167638,10297828.059999998658895
20160822,1282198.219999999972060,1286157.100000000093132,1331691.799999999813735,1278934.399999999906868,1192731.360000000102445,1292221.699999999953434,1361859.379999999888241,1274080.280000000260770,10299874.240000002086163
20160823,1274124.919999999925494,1292619.220000000204891,1330250.180000000167638,1280381.119999999878928,1195835.080000000074506,1291632.560000000055879,1362502.250000000000000,1278940.520000000251457,10306285.849999999627471
20160824,1266051.619999999878928,1279387.260000000242144,1324003.160000000149012,1271339.119999999878928,1188526.320000000065193,1295167.400000000139698,1344287.599999999860302,1280266.040000000270084,10249028.520000001415610
20160825,1263107.239999999757856,1274617.600000000093132,1328808.560000000055879,1269169.040000000037253,1187124.639999999897555,1297523.959999999962747,1335501.709999999962747,1285126.280000000260770,10240979.030000001192093
20160826,1255983.739999999757856,1271848.120000000111759,1329369.189999999944121,1275317.599999999860302,1191830.280000000027940,1300469.659999999916181,1346859.080000000074506,1282033.400000000139698,10253711.070000000298023
20160829,1262347.399999999906868,1278617.959999999962747,1336577.290000000037253,1285806.319999999832362,1200640.840000000083819,1314805.400000000139698,1350287.719999999972060,1283579.840000000083819,10312662.769999999552965
20160830,1242496.580000000074506,1269078.640000000130385,1356599.790000000037253,1291231.520000000018626,1196135.439999999944121,1325606.300000000046566,1343859.020000000018626,1278940.520000000251457,10303947.810000000521541
20160831,1229579.299999999813735,1260924.060000000055879,1357320.600000000093132,1298103.439999999944121,1194833.880000000121072,1325606.300000000046566,1345573.339999999850988,1269440.960000000195578,10281381.880000000819564
20160901,1233853.399999999906868,1253231.060000000055879,1349712.049999999813735,1302805.280000000027940,1192230.760000000009313,1319911.280000000027940,1347930.529999999795109,1272312.920000000158325,10271987.279999999329448
20160902,1245820.879999999888241,1256923.699999999953434,1355078.080000000074506,1304975.359999999869615,1194633.639999999897555,1325409.919999999925494,1349644.849999999860302,1274080.280000000260770,10306566.710000000894070
20160906,1263202.219999999972060,1262924.239999999990687,1356279.430000000167638,1322697.679999999934807,1198938.800000000046566,1324428.020000000018626,1355216.389999999897555,1272754.760000000009313,10356441.540000000968575
20160907,1259877.919999999925494,1288157.280000000027940,1359002.489999999757856,1318719.199999999953434,1197537.120000000111759,1318929.379999999888241,1347287.659999999916181,1273859.360000000102445,10363370.409999998286366
20160908,1262347.399999999906868,1285387.800000000279397,1374940.399999999906868,1317995.839999999850988,1196135.439999999944121,1320696.800000000046566,1355216.389999999897555,1268778.200000000186265,10381498.269999999552965
20160909,1220841.139999999897555,1243076.300000000279397,1350192.589999999850988,1281827.839999999850988,1183720.560000000055879,1308914.000000000232831,1339144.639999999897555,1241825.960000000195578,10169543.030000001192093
20160912,1235942.959999999962747,1260462.480000000214204,1370135.000000000000000,1304975.359999999869615,1193031.719999999972060,1316965.580000000074506,1354144.939999999944121,1260383.239999999990687,10296041.280000001192093
20160913,1223025.679999999934807,1234460.140000000130385,1337618.459999999962747,1287976.399999999906868,1177513.120000000111759,1306557.440000000176951,1324572.919999999925494,1248895.400000000139698,10140619.560000000521541
20160914,1212672.859999999869615,1246615.080000000074506,1330890.899999999906868,1288338.079999999841675,1180016.120000000111759,1304004.500000000232831,1314715.580000000074506,1242930.560000000055879,10120183.680000001564622
20160915,1213622.659999999916181,1262154.940000000176951,1346268.180000000167638,1322336.000000000000000,1187725.360000000102445,1308717.620000000111759,1336787.449999999953434,1263476.120000000111759,10241088.330000001937151
20160916,1203459.800000000046566,1262462.660000000149012,1329609.459999999962747,1362482.479999999981374,1183920.800000000046566,1292614.459999999962747,1334644.550000000046566,1264801.640000000130385,10233995.850000001490116
20160919,1210868.239999999990687,1259847.040000000037253,1331291.350000000093132,1344036.799999999813735,1178013.719999999972060,1299880.520000000018626,1314287.000000000000000,1257732.200000000186265,10195956.870000001043081
20160920,1213812.620000000111759,1257077.560000000055879,1333373.689999999944121,1343313.439999999944121,1180917.200000000186265,1305182.780000000027940,1327358.689999999944121,1255081.160000000149012,10216117.140000000596046
20160921,1240122.080000000074506,1284310.780000000027940,1337858.729999999981374,1354525.520000000018626,1190528.719999999972060,1312645.220000000204891,1343644.729999999981374,1276068.560000000055879,10339704.340000001713634
20160922,1252564.459999999962747,1284772.360000000102445,1345787.640000000130385,1358142.319999999832362,1196035.320000000065193,1323446.120000000111759,1350502.010000000009313,1277394.080000000074506,10388644.310000000521541
20160923,1251709.639999999897555,1268463.199999999953434,1322641.629999999888241,1345121.839999999850988,1189527.520000000018626,1320696.800000000046566,1349216.270000000018626,1268778.200000000186265,10316155.100000001490116
20160926,1240217.059999999823049,1267386.180000000167638,1293408.779999999795109,1325591.119999999878928,1179215.160000000149012,1291828.940000000176951,1331858.779999999795109,1257069.440000000176951,10186575.459999999031425
