訓練日期,20110329 - 20110629
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10670508.320000000298023
真實報酬,670508.320000000298023

夏普值報酬,0.058350832000000
夏普值風險,0.020469995620273
夏普值,2.850554200520256

預期報酬,13391.151000053387179
風險,275813.739760705735534
趨勢值,0.048551428263405
找到最佳解世代,3
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
DD[7](23),JNJ[12](2),KO[14](14),NKE[19](5),PG[21](8),UNH[23](3),VZ[26](19),WBA[27](4),
Stock#,DD[7](23),JNJ[12](2),KO[14](14),NKE[19](5),PG[21](8),UNH[23](3),VZ[26](19),WBA[27](4),
張數,23696,21100,38437,65893,20606,28493,33112,31822,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,36.000000000000000,36.000000000000000,28.759999999776483,9.790000000037253,40.040000000037253,12.090000000083819,22.000000000000000,31.839999999850988,
20110329,1256634.880000000121072,1249578.000000000000000,1263068.579999999841675,1257907.159999999916181,1262775.719999999972060,1267380.729999999981374,1267880.479999999981374,1270684.299999999813735,10095909.850000001490116
20110330,1257819.679999999934807,1252954.000000000000000,1269218.500000000000000,1264496.460000000195578,1276993.860000000102445,1293594.290000000037253,1273509.520000000018626,1272911.839999999850988,10161498.150000000372529
20110331,1273932.959999999962747,1250211.000000000000000,1274984.049999999813735,1247364.280000000027940,1269369.640000000130385,1287895.690000000176951,1276158.479999999981374,1277366.919999999925494,10157283.019999999552965
20110401,1279383.040000000037253,1255275.000000000000000,1291896.329999999841675,1260542.879999999888241,1279260.520000000018626,1299577.820000000065193,1273840.639999999897555,1302824.519999999785796,10242600.750000000000000
20110404,1287439.679999999934807,1269201.000000000000000,1300352.469999999739230,1275039.340000000083819,1282969.600000000093132,1299292.890000000130385,1278476.320000000065193,1299324.099999999860302,10292095.400000000372529
20110405,1304737.760000000009313,1261816.000000000000000,1296893.139999999897555,1283605.430000000167638,1270812.060000000055879,1284761.460000000195578,1270860.560000000055879,1308234.259999999776483,10281720.669999999925494
20110406,1298813.760000000009313,1258862.000000000000000,1299968.099999999860302,1296125.100000000093132,1272666.600000000093132,1281057.370000000111759,1253311.199999999953434,1311734.679999999701977,10272538.809999998658895
20110407,1293600.640000000130385,1255064.000000000000000,1296124.399999999674037,1286241.149999999906868,1280290.820000000065193,1265956.080000000074506,1250331.119999999878928,1315235.099999999860302,10242843.309999998658895
20110408,1299998.560000000055879,1254642.000000000000000,1293049.439999999711290,1275039.340000000083819,1275551.439999999944121,1264531.430000000167638,1249006.639999999897555,1305052.059999999823049,10216870.910000000149012
20110411,1274169.920000000158325,1263082.000000000000000,1295355.659999999916181,1286900.080000000074506,1281527.179999999934807,1262821.850000000093132,1253311.199999999953434,1315553.320000000065193,10232721.209999999031425
