訓練日期,20140728 - 20141027
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10611173.570000000298023
真實報酬,611173.570000000298023

夏普值報酬,0.052417357000000
夏普值風險,0.023385107690080
夏普值,2.241484524881411

預期報酬,7047.231586505095038
風險,177845.103822199220303
趨勢值,0.039625671075829
找到最佳解世代,21
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AAPL[0](6),AXP[1](25),BA[2](11),DIS[6](10),HD[9](1),NKE[19](3),UNH[23](9),WMT[28](13),
Stock#,AAPL[0](6),AXP[1](25),BA[2](11),DIS[6](10),HD[9](1),NKE[19](3),UNH[23](9),WMT[28](13),
張數,12798,13597,10146,14496,15426,32166,14761,16453,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,19.340000000083819,27.789999999804422,12.800000000046566,9.919999999925494,31.219999999972060,29.239999999990687,38.519999999785796,65.590000000083819,
20140728,1267277.300000000046566,1249048.209999999729916,1248579.560000000055879,1263336.320000000065193,1250617.039999999804422,1260936.440000000176951,1265794.269999999785796,1245722.219999999972060,10051311.360000001266599
20140729,1259086.580000000074506,1247008.659999999683350,1241071.520000000018626,1249565.119999999878928,1249228.699999999953434,1256111.539999999804422,1243947.989999999757856,1241279.910000000149012,9987300.019999999552965
20140730,1256143.040000000270084,1236131.059999999823049,1240767.140000000130385,1264206.079999999841675,1261260.979999999981374,1280557.699999999953434,1224463.469999999739230,1230420.930000000167638,9993950.400000000372529
20140731,1223508.139999999897555,1196563.789999999804422,1222402.880000000121072,1244926.399999999906868,1247223.319999999832362,1240671.860000000102445,1196417.569999999832362,1210677.330000000074506,9782391.289999999105930
20140801,1230291.080000000074506,1175760.379999999888241,1221388.280000000027940,1237678.399999999906868,1230254.719999999972060,1234881.979999999981374,1202912.409999999683350,1210019.210000000195578,9743186.460000000894070
20140804,1223380.160000000149012,1182015.000000000000000,1216822.580000000074506,1264640.959999999962747,1234574.000000000000000,1240993.520000000018626,1214425.989999999757856,1210019.210000000195578,9786871.420000001788139
20140805,1217365.100000000093132,1174264.709999999729916,1230418.219999999972060,1257537.919999999925494,1234574.000000000000000,1237133.600000000093132,1195531.909999999683350,1206728.610000000102445,9753554.069999998435378
20140806,1215317.419999999925494,1174808.589999999850988,1200690.440000000176951,1255218.560000000055879,1242132.739999999990687,1240671.860000000102445,1203060.019999999785796,1220878.190000000176951,9752777.820000000298023
20140807,1209174.380000000121072,1169641.729999999748543,1215909.440000000176951,1239562.879999999888241,1241361.439999999944121,1227805.459999999962747,1169995.379999999888241,1216764.940000000176951,9690215.649999998509884
