訓練日期,20110621 - 20110921
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10456777.209999999031425
真實報酬,456777.209999999031425

夏普值報酬,0.036977721000000
夏普值風險,0.034603931546487
夏普值,1.068598836820726

預期報酬,7174.355262905028212
風險,414452.722781860618852
趨勢值,0.017310431005857
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AAPL[0](1),AXP[1](11),CSCO[4](6),CVX[5](12),HD[9](16),KO[14](3),MSFT[18](5),V[25](4),WBA[27](29),
Stock#,AAPL[0](1),AXP[1](11),CSCO[4](6),CVX[5](12),HD[9](16),KO[14](3),MSFT[18](5),V[25](4),WBA[27](29),
張數,24663,22731,73389,11121,31956,33751,45407,60027,24592,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,42.850000000093132,19.719999999972060,1.540000000037253,11.890000000130385,0.879999999888241,28.079999999841675,1.709999999962747,11.229999999981374,44.439999999944121,
20110621,1146132.459999999962747,1126340.770000000018626,1138264.929999999934807,1129794.280000000260770,1132201.959999999962747,1118198.709999999962747,1124279.030000000027940,1125517.479999999981374,1064386.199999999953434,10105116.820000000298023
20110622,1136760.520000000251457,1133160.070000000065193,1127256.580000000074506,1124011.360000000102445,1116223.959999999962747,1120561.280000000027940,1119284.260000000009313,1120715.320000000065193,1048893.239999999990687,10046867.589999999850988
20110623,1167096.010000000009313,1118612.229999999981374,1135329.370000000111759,1104994.450000000186265,1139232.279999999795109,1096598.069999999832362,1118376.119999999878928,1130319.639999999897555,1047417.719999999972060,10057976.890000000596046
20110624,1149831.909999999916181,1098836.260000000009313,1095699.310000000055879,1088757.790000000270084,1121017.359999999869615,1095923.049999999813735,1103391.810000000055879,1100906.409999999916181,1017907.319999999948777,9872272.220000000670552
20110627,1169808.940000000176951,1126113.459999999962747,1104505.989999999990687,1099878.790000000270084,1124852.080000000074506,1100310.679999999934807,1144258.109999999869615,1108709.919999999925494,1026022.679999999934807,10004461.650000000372529
20110628,1181153.920000000158325,1132478.139999999897555,1110377.110000000102445,1116004.239999999990687,1152334.239999999990687,1114486.099999999860302,1171502.310000000055879,1129719.370000000111759,1022825.719999999972060,10130882.150000000372529
20110629,1176961.209999999962747,1157482.239999999990687,1125788.800000000046566,1126346.770000000251457,1149777.759999999776483,1125623.929999999934807,1163329.050000000046566,1298995.510000000009313,1027006.359999999869615,10351312.629999998956919
20110630,1182633.700000000186265,1175212.419999999925494,1145603.830000000074506,1143695.530000000260770,1157447.199999999953434,1135749.229999999748543,1180583.709999999962747,1264780.120000000111759,1044220.760000000009313,10429927.500000000000000
20110701,1209516.370000000111759,1189760.260000000009313,1163951.080000000074506,1157596.780000000260770,1173744.759999999776483,1149249.629999999655411,1181491.849999999860302,1320004.959999999962747,1053319.799999999813735,10598636.489999998360872
20110705,1231219.810000000055879,1189532.949999999953434,1150007.169999999925494,1169051.410000000149012,1169270.919999999925494,1152624.729999999748543,1181945.919999999925494,1325407.389999999897555,1050860.599999999860302,10619921.899999998509884
20110706,1239358.600000000093132,1199307.280000000027940,1141934.380000000121072,1168606.570000000065193,1168631.799999999813735,1156674.849999999860302,1195568.019999999785796,1323606.580000000074506,1066845.399999999906868,10660534.479999998584390
