訓練日期,20171218 - 20180322
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10093772.290000000968575
真實報酬,93772.290000000968575

夏普值報酬,0.000677229000000
夏普值風險,0.026311310654580
夏普值,0.025739082666420

預期報酬,11457.876057011691955
風險,278921.874931631959043
趨勢值,0.041079159029102
找到最佳解世代,82
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AXP[1](19),BA[2](3),CSCO[4](1),GS[8](10),HD[9](15),IBM[10](12),JPM[13](2),MMM[16](16),MSFT[18](4),TRV[22](7),UNH[23](13),UTX[24](8),V[25](5),
Stock#,AXP[1](19),BA[2](3),CSCO[4](1),GS[8](10),HD[9](15),IBM[10](12),JPM[13](2),MMM[16](16),MSFT[18](4),TRV[22](7),UNH[23](13),UTX[24](8),V[25](5),
張數,7807,2616,20142,2991,4213,5044,7247,3232,8856,5702,3467,6096,6758,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,84.359999999986030,282.959999999962747,7.020000000018626,34.529999999911524,20.459999999962747,20.000000000000000,33.420000000041910,14.000000000000000,86.400000000023283,87.220000000088476,180.060000000055879,97.679999999934807,34.440000000060536,
20171218,778286.119999999995343,774985.199999999953434,775071.179999999934807,777754.349999999860302,778287.949999999953434,773416.520000000018626,775172.540000000037253,770587.439999999944121,765067.679999999934807,771054.640000000130385,772176.950000000069849,772521.839999999850988,767405.340000000083819,10051797.750000000000000
20171219,774148.410000000032596,777888.959999999962747,771445.619999999995343,767166.209999999962747,783554.199999999953434,772912.119999999995343,771911.390000000130385,770490.479999999981374,760196.880000000004657,772936.300000000046566,769992.739999999990687,772948.559999999939464,757876.560000000055879,10023478.430000001564622
20171220,769151.930000000051223,779589.359999999869615,780308.100000000093132,763277.909999999916181,789157.489999999990687,771499.799999999930151,769230.000000000000000,765739.439999999944121,757451.520000000018626,771339.739999999990687,771171.520000000018626,774289.679999999934807,757741.400000000139698,10019957.889999998733401
20171221,769073.859999999986030,772081.439999999944121,776078.280000000027940,780715.439999999827705,792401.500000000000000,764186.000000000000000,781477.430000000051223,758822.959999999962747,757274.400000000023283,766664.100000000093132,768779.290000000037253,776179.439999999944121,759701.220000000088476,10023445.359999999403954
20171222,770947.539999999920838,772264.560000000055879,776481.119999999995343,774613.800000000046566,792612.149999999906868,769230.000000000000000,778723.570000000065193,758661.359999999986030,757362.960000000079162,766379.000000000000000,762920.060000000055879,775691.760000000009313,761593.460000000079162,10017491.340000001713634
20171226,769620.349999999976717,772944.719999999972060,775071.179999999934807,770875.050000000046566,802007.140000000013970,770894.520000000018626,775607.359999999986030,760988.399999999906868,756388.800000000046566,768602.780000000144355,761533.260000000009313,775143.119999999995343,763620.859999999986030,10023307.539999999105930
