訓練日期,20100303 - 20100603
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10272391.229999998584390
真實報酬,272391.229999998584390

夏普值報酬,0.018539123000000
夏普值風險,0.030547938478160
夏普值,0.606886222887153

預期報酬,12129.086752682427687
風險,397264.331937933748122
趨勢值,0.030531527191264
找到最佳解世代,36
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,13
AAPL[0](1),AXP[1](7),CVX[5](9),DIS[6](5),DD[7](24),HD[9](2),KO[14](17),MCD[15](3),MMM[16](11),NKE[19](4),PG[21](19),TRV[22](25),UTX[24](12),
Stock#,AAPL[0](1),AXP[1](7),CVX[5](9),DIS[6](5),DD[7](24),HD[9](2),KO[14](17),MCD[15](3),MMM[16](11),NKE[19](4),PG[21](19),TRV[22](25),UTX[24](12),
張數,25778,20037,10491,24128,18702,24529,28864,12006,9481,45222,12073,14434,11028,
分配資金,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,769230.000000000000000,
剩餘資金,14.479999999981374,9.569999999948777,29.880000000121072,29.359999999986030,16.739999999990687,0.560000000055879,4.400000000023283,5.580000000074506,36.470000000088476,3.779999999911524,59.170000000041910,42.140000000013970,27.000000000000000,
20100303,770776.679999999934807,767025.929999999934807,767236.710000000079162,763439.280000000027940,788680.080000000074506,771928.190000000060536,778466.479999999981374,763947.360000000102445,767997.470000000088476,764707.799999999930151,767298.320000000065193,766776.219999999972060,767575.799999999930151,10005866.320000000298023
20100304,775932.280000000027940,779248.500000000000000,766712.160000000149012,785878.319999999948777,787370.940000000060536,771192.320000000065193,786259.760000000009313,761546.160000000032596,768187.090000000083819,764707.799999999930151,768747.080000000074506,772982.839999999967404,776067.360000000102445,10064842.609999999403954
20100305,806350.320000000065193,805496.969999999972060,779511.180000000051223,801561.519999999902211,798966.179999999934807,780022.760000000125729,789434.800000000046566,764427.600000000093132,781650.110000000102445,772395.539999999804422,768988.540000000037253,778612.099999999976717,785772.000000000000000,10213199.619999999180436
20100308,806865.880000000004657,795678.839999999967404,783078.120000000111759,800837.679999999934807,785687.760000000009313,783947.400000000023283,785971.119999999995343,781836.300000000162981,770936.580000000074506,777822.179999999934807,762952.040000000037253,776591.339999999967404,780368.280000000027940,10192583.519999997690320
20100309,821301.559999999939464,795478.469999999972060,779511.180000000051223,803733.040000000037253,778206.959999999962747,777079.280000000027940,781930.160000000032596,781596.180000000051223,777383.660000000032596,779178.839999999967404,764280.070000000065193,773271.520000000018626,791616.839999999967404,10204577.759999999776483
20100310,828003.839999999967404,795879.209999999962747,775944.240000000107102,804215.599999999976717,773905.500000000000000,777815.150000000023283,782218.800000000046566,779675.220000000088476,773306.830000000074506,781439.939999999944121,760778.900000000023283,763456.400000000023283,791727.120000000111759,10188376.750000000000000
20100311,830323.859999999986030,803693.639999999897555,776258.970000000088476,815797.040000000037253,783069.479999999981374,788117.330000000074506,773559.600000000093132,782916.839999999967404,770462.530000000144355,788675.459999999962747,762710.580000000074506,773993.219999999972060,794484.120000000111759,10244072.670000001788139
20100312,834448.339999999967404,816717.689999999944121,773426.400000000139698,812901.679999999934807,794664.719999999972060,795966.610000000102445,770095.920000000041910,786758.760000000125729,771600.250000000000000,790484.339999999967404,764521.530000000027940,767353.579999999958090,788859.839999999967404,10267809.659999998286366
