訓練日期,20100316 - 20100616
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9944556.199999999254942
真實報酬,-55443.800000000745058

夏普值報酬,-0.014244380000000
夏普值風險,0.034092263509841
夏普值,-0.417818546893731

預期報酬,5128.614670047518302
風險,420765.934759403113276
趨勢值,0.012188759227812
找到最佳解世代,36
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,6
AAPL[0](1),CVX[5](6),HD[9](4),MMM[16](10),WBA[27](19),WMT[28](14),
Stock#,AAPL[0](1),CVX[5](6),HD[9](4),MMM[16](10),WBA[27](19),WMT[28](14),
張數,52115,22654,50983,20510,48775,30073,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,28.300000000046566,11.220000000204891,31.730000000214204,23.399999999906868,24.250000000000000,20.339999999850988,
20100316,1670835.200000000186265,1675954.140000000363216,1659528.380000000121072,1674869.999999999767169,1683249.500000000000000,1683807.609999999869615,10048248.830000000074506
20100317,1668750.600000000093132,1691585.400000000139698,1657998.890000000363216,1685535.199999999953434,1681786.249999999767169,1681702.500000000000000,10067362.839999999850988
20100318,1672398.650000000139698,1693624.260000000242144,1651880.930000000167638,1716095.099999999860302,1698369.750000000000000,1682303.959999999729916,10114676.649999998509884
20100319,1654679.550000000046566,1698608.140000000363216,1649841.610000000102445,1681022.999999999767169,1684225.000000000000000,1664260.159999999916181,10032641.460000000894070
20100322,1673440.949999999953434,1686828.060000000055879,1665646.340000000316650,1678561.800000000046566,1723245.000000000000000,1672680.599999999860302,10100406.749999998137355
20100323,1700019.599999999860302,1693850.800000000046566,1661567.700000000419095,1689021.899999999674037,1751534.499999999767169,1680800.309999999823049,10176798.810000000521541
20100324,1707836.850000000093132,1674821.440000000409782,1647802.290000000270084,1673844.500000000000000,1726659.250000000000000,1671477.679999999701977,10102446.010000001639128
20100325,1687512.000000000232831,1671876.420000000158325,1663097.190000000176951,1659897.699999999953434,1772020.000000000000000,1672379.869999999878928,10126787.179999999701977
20100326,1719302.150000000139698,1686148.440000000409782,1669724.980000000214204,1661333.399999999906868,1794456.500000000000000,1669372.569999999832362,10200342.040000000968575
20100329,1730246.300000000279397,1704271.640000000363216,1662077.530000000260770,1668717.000000000000000,1828599.000000000000000,1676289.359999999869615,10270204.830000000074506
20100330,1755782.649999999906868,1705857.420000000158325,1666666.000000000000000,1728606.199999999953434,1825184.750000000000000,1681401.769999999785796,10363502.789999999105930
20100331,1749528.850000000093132,1717864.040000000270084,1649331.780000000260770,1714044.099999999860302,1809089.000000000232831,1672079.139999999897555,10311940.910000002011657
20100401,1756824.950000000186265,1737346.480000000214204,1650861.270000000251457,1719786.899999999674037,1841280.500000000000000,1668771.109999999869615,10374875.210000000894070
20100405,1775586.350000000093132,1759320.860000000102445,1665136.510000000009313,1726760.299999999813735,1845182.500000000000000,1668771.109999999869615,10440761.629999998956919
20100406,1783403.600000000093132,1764304.739999999990687,1659528.380000000121072,1730041.899999999674037,1824209.250000000000000,1669974.029999999795109,10431465.899999998509884
20100407,1791220.849999999860302,1752751.200000000419095,1662587.360000000102445,1715889.999999999767169,1794456.500000000000000,1662455.779999999795109,10379365.689999999478459
20100408,1786530.500000000000000,1759320.860000000102445,1680941.240000000223517,1701327.899999999906868,1797383.000000000000000,1665463.079999999841675,10390970.580000000074506
20100409,1800080.399999999906868,1801004.220000000204891,1695216.480000000214204,1712403.299999999813735,1808113.500000000000000,1656140.449999999953434,10472962.349999999627471
20100412,1803728.449999999953434,1822072.440000000409782,1706942.570000000065193,1708096.199999999953434,1795919.750000000000000,1654636.800000000046566,10491400.210000000894070
20100413,1804770.750000000232831,1817088.560000000055879,1750787.950000000419095,1721632.799999999813735,1795432.000000000000000,1645614.899999999906868,10535330.960000000894070
20100414,1829264.800000000046566,1825470.540000000270084,1783417.070000000065193,1730862.299999999813735,1793968.750000000000000,1643209.059999999823049,10606196.520000001415610
20100415,1853237.700000000186265,1848351.080000000307336,1791574.350000000325963,1743373.399999999906868,1780799.500000000000000,1627871.829999999841675,10645211.860000001266599
20100416,1841772.400000000139698,1829321.720000000204891,1784946.560000000055879,1717941.000000000000000,1749095.750000000000000,1627270.369999999878928,10550351.799999998882413
20100419,1839687.799999999813735,1842234.500000000000000,1793103.840000000316650,1720812.400000000139698,1762265.000000000232831,1635690.809999999823049,10593798.350000001490116
20100420,1820926.399999999906868,1858771.920000000158325,1793613.670000000158325,1748911.099999999860302,1758850.750000000000000,1639600.300000000046566,10620678.140000000596046
