訓練日期,20181023 - 20190128
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10097645.649999998509884
真實報酬,97645.649999998509884

夏普值報酬,0.001064565000000
夏普值風險,0.026824846506339
夏普值,0.039685781603570

預期報酬,2230.923177067203142
風險,301417.256237320252694
趨勢值,0.007401444777636
找到最佳解世代,25
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
CAT[3](8),JNJ[12](23),KO[14](5),MCD[15](2),NKE[19](7),PG[21](1),UTX[24](27),VZ[26](6),WMT[28](14),
Stock#,CAT[3](8),JNJ[12](23),KO[14](5),MCD[15](2),NKE[19](7),PG[21](1),UTX[24](27),VZ[26](6),WMT[28](14),
張數,8632,8012,24170,6668,14834,12830,8790,20209,11438,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,86.280000000027940,6.839999999850988,16.100000000093132,22.159999999916181,44.399999999906868,33.000000000000000,55.000000000000000,20.180000000167638,23.679999999934807,
20181023,1027121.640000000013970,1113114.000000000000000,1120537.300000000046566,1181258.359999999869615,1088118.299999999813735,1118295.800000000046566,1142930.800000000046566,1156177.070000000298023,1118660.079999999841675,10066214.349999999627471
20181024,969805.160000000032596,1101416.479999999748543,1129480.199999999953434,1182591.959999999962747,1069872.479999999981374,1147804.799999999813735,1073050.300000000046566,1160420.960000000195578,1115914.959999999962747,9950358.300000000745058
20181025,998204.439999999944121,1109428.479999999748543,1124162.800000000046566,1168989.239999999990687,1084409.799999999813735,1141903.000000000000000,1093531.000000000000000,1140414.050000000046566,1134444.520000000018626,9995488.330000000074506
20181026,993197.880000000004657,1097410.479999999748543,1109902.500000000232831,1155853.280000000027940,1069130.779999999795109,1127276.800000000046566,1083246.699999999953434,1121821.770000000018626,1131699.399999999906868,9889540.589999999850988
20181029,983961.640000000013970,1102057.439999999944121,1122954.300000000046566,1155119.799999999813735,1070910.859999999869615,1132152.199999999953434,1064436.100000000093132,1141424.500000000000000,1141536.079999999841675,9914553.919999999925494
20181030,1014001.000000000000000,1127695.839999999850988,1151233.200000000186265,1190193.479999999981374,1105325.739999999990687,1144340.699999999953434,1077884.800000000046566,1175779.800000000046566,1171503.639999999897555,10157959.200000001117587
20181031,1047320.520000000018626,1121606.719999999972060,1157275.700000000186265,1179591.359999999869615,1113187.760000000009313,1137797.400000000139698,1091860.899999999906868,1153751.990000000223517,1147026.319999999832362,10149419.670000001788139
20181101,1076496.680000000167638,1128256.679999999701977,1153891.900000000139698,1166122.000000000000000,1139147.260000000009313,1149472.699999999953434,1121483.199999999953434,1132734.630000000121072,1150457.719999999972060,10218063.770000001415610
20181102,1085905.560000000055879,1127135.000000000000000,1160176.100000000093132,1178591.159999999916181,1136032.119999999878928,1152295.300000000046566,1120164.699999999953434,1144455.850000000325963,1159150.599999999860302,10263907.390000000596046
20181105,1091257.399999999906868,1139313.239999999757856,1176853.400000000139698,1202862.679999999934807,1150124.419999999925494,1170129.000000000000000,1118582.500000000000000,1156177.070000000298023,1177108.260000000009313,10382408.970000000670552
20181106,1116462.840000000083819,1142277.679999999701977,1187004.800000000046566,1218332.439999999944121,1135883.779999999795109,1174106.300000000046566,1124647.600000000093132,1156177.070000000298023,1181912.219999999972060,10436805.730000000447035
20181107,1166269.479999999981374,1159743.839999999850988,1193289.000000000000000,1228601.159999999916181,1156651.379999999888241,1171283.700000000186265,1147589.500000000000000,1165069.030000000027940,1193235.839999999850988,10581733.929999999701977
20181108,1134244.760000000009313,1164150.439999999944121,1192322.199999999953434,1236802.799999999813735,1153832.919999999925494,1172181.800000000046566,1154533.600000000093132,1177598.610000000335276,1199641.119999999878928,10585309.249999998137355
20181109,1095573.399999999906868,1164470.919999999925494,1200781.700000000186265,1239870.079999999841675,1132768.639999999897555,1185653.300000000046566,1148995.900000000139698,1181438.320000000298023,1207418.959999999962747,10556972.219999998807907
20181112,1079086.280000000027940,1166714.279999999795109,1205374.000000000000000,1229401.319999999832362,1114077.799999999813735,1189374.000000000000000,1127812.000000000000000,1186692.660000000149012,1188088.739999999990687,10486622.080000000074506
20181113,1087373.000000000000000,1159183.000000000000000,1205132.300000000046566,1227000.839999999850988,1115561.199999999953434,1199253.100000000093132,1135019.800000000046566,1185480.120000000111759,1177451.399999999906868,10491455.759999999776483
20181114,1079949.479999999981374,1155737.839999999850988,1202715.300000000046566,1225933.959999999962747,1115561.199999999953434,1199509.699999999953434,1132998.099999999860302,1191138.640000000130385,1161323.819999999832362,10464869.040000000968575
