訓練日期,20110328 - 20110628
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10685141.539999999105930
真實報酬,685141.539999999105930

夏普值報酬,0.059814154000000
夏普值風險,0.023567983642790
夏普值,2.537941085948582

預期報酬,14697.995052047186618
風險,275424.961874715285376
趨勢值,0.053364789276917
找到最佳解世代,17
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
JNJ[12](2),KO[14](14),MRK[17](6),NKE[19](7),PG[21](8),UNH[23](3),V[25](9),VZ[26](19),WMT[28](12),
Stock#,JNJ[12](2),KO[14](14),MRK[17](6),NKE[19](7),PG[21](8),UNH[23](3),V[25](9),VZ[26](19),WMT[28](12),
張數,18838,34072,34114,57960,18250,25396,61659,29796,21224,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,45.760000000009313,23.080000000074506,18.020000000018626,17.799999999813735,51.000000000000000,36.000000000000000,15.820000000065193,18.159999999916181,34.599999999860302,
20110328,1116008.880000000121072,1108044.520000000251457,1107017.320000000065193,1099518.999999999767169,1107096.000000000000000,1114158.520000000018626,1121593.030000000027940,1124817.159999999916181,1107715.159999999916181,10005970.589999999850988
20110329,1115632.119999999878928,1119629.000000000000000,1118274.939999999944121,1106474.199999999720603,1118411.000000000000000,1129650.079999999841675,1112960.770000000018626,1140907.000000000000000,1109200.839999999850988,10071140.949999999254942
20110330,1118646.199999999953434,1125080.520000000251457,1136014.219999999972060,1112270.199999999953434,1131003.500000000000000,1153014.399999999906868,1144406.860000000102445,1145972.319999999832362,1111323.239999999757856,10177732.460000000894070
20110331,1116197.260000000009313,1130191.320000000065193,1126121.159999999916181,1097200.599999999860302,1124251.000000000000000,1147935.200000000186265,1135158.010000000009313,1148356.000000000000000,1104743.799999999813735,10130155.350000001490116
20110401,1120718.380000000121072,1145183.000000000000000,1128168.000000000000000,1108792.599999999860302,1133011.000000000000000,1158347.560000000055879,1144406.860000000102445,1146270.279999999795109,1106441.719999999972060,10191340.400000000372529
20110404,1133151.459999999962747,1152678.840000000083819,1134990.800000000046566,1121543.799999999813735,1136296.000000000000000,1158093.600000000093132,1159821.610000000102445,1150441.719999999972060,1117478.199999999720603,10264497.029999999329448
20110405,1126558.159999999916181,1149612.360000000102445,1131238.260000000009313,1129078.599999999860302,1125528.500000000000000,1145141.640000000130385,1165987.510000000009313,1143588.639999999897555,1119388.359999999869615,10236123.029999999329448
