訓練日期,20160314 - 20160614
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10762026.160000000149012
真實報酬,762026.160000000149012

夏普值報酬,0.067502616000000
夏普值風險,0.025317509968141
夏普值,2.666242299694673

預期報酬,15880.737863022468446
風險,150105.171704665903235
趨勢值,0.105797406462904
找到最佳解世代,8
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
AXP[1](6),BA[2](14),CVX[5](5),IBM[10](10),MRK[17](11),PFE[20](3),UNH[23](4),V[25](8),
Stock#,AXP[1](6),BA[2](14),CVX[5](5),IBM[10](10),MRK[17](11),PFE[20](3),UNH[23](4),V[25](8),
張數,21022,10029,13216,8780,23496,40983,9992,17450,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,31.879999999888241,85.729999999981374,30.719999999972060,79.199999999953434,12.800000000046566,18.500000000000000,0.800000000046566,56.500000000000000,
20160314,1252312.419999999925494,1267149.590000000083819,1245770.880000000121072,1253687.599999999860302,1247180.479999999981374,1233606.800000000046566,1251199.040000000037253,1247557.000000000000000,9998463.809999998658895
20160315,1245164.939999999711290,1267350.169999999925494,1245903.039999999804422,1255268.000000000000000,1231673.120000000111759,1210656.320000000065193,1247502.000000000000000,1254886.000000000000000,9958403.589999999850988
20160316,1255045.280000000027940,1279485.260000000009313,1260837.120000000111759,1271335.399999999906868,1220395.040000000037253,1190164.820000000065193,1248001.600000000093132,1262913.000000000000000,9988177.520000001415610
20160317,1263033.639999999897555,1310876.029999999795109,1280528.959999999962747,1291090.399999999906868,1210761.680000000167638,1202459.719999999972060,1244304.560000000055879,1276349.500000000000000,10079404.489999998360872
20160318,1286998.719999999972060,1343570.570000000065193,1291101.760000000009313,1291529.399999999906868,1227678.800000000046566,1206967.849999999860302,1266187.040000000037253,1287517.500000000000000,10201551.639999998733401
20160321,1286788.500000000000000,1362625.670000000158325,1274581.760000000009313,1305050.599999999860302,1240601.600000000093132,1232377.310000000055879,1266386.879999999888241,1287343.000000000000000,10255755.320000000298023
20160322,1274175.299999999813735,1355204.209999999962747,1262158.719999999972060,1300397.199999999953434,1246005.680000000167638,1245082.040000000037253,1279176.640000000130385,1273208.500000000000000,10235408.289999999105930
20160323,1274595.739999999990687,1332538.670000000158325,1236916.159999999916181,1276691.199999999953434,1247180.479999999981374,1237295.270000000018626,1296862.479999999981374,1289786.000000000000000,10191866.000000000000000
20160324,1271232.219999999972060,1325117.209999999962747,1253568.319999999832362,1299080.199999999953434,1246945.520000000018626,1232787.139999999897555,1284872.080000000074506,1293799.500000000000000,10207402.189999997615814
20160328,1267238.039999999804422,1316793.139999999897555,1251321.600000000093132,1303031.199999999953434,1241306.479999999981374,1220492.239999999990687,1288169.439999999944121,1292752.500000000000000,10181104.639999998733401
20160329,1273965.079999999841675,1312681.250000000000000,1259779.839999999850988,1311196.600000000093132,1252819.520000000018626,1231557.650000000139698,1297262.160000000149012,1315437.500000000000000,10254699.599999999627471
20160330,1267448.259999999776483,1289614.550000000046566,1258854.719999999972060,1303119.000000000000000,1250469.919999999925494,1232377.310000000055879,1295763.360000000102445,1339867.500000000000000,10237514.619999999180436
20160331,1290782.679999999934807,1273166.989999999990687,1260837.120000000111759,1329810.199999999953434,1243186.159999999916181,1214754.620000000111759,1287969.600000000093132,1334632.500000000000000,10235139.870000001043081
20160401,1284476.079999999841675,1273367.569999999832362,1245770.880000000121072,1339204.800000000046566,1261748.000000000000000,1231147.820000000065193,1298161.439999999944121,1354002.000000000000000,10287878.589999999850988
