訓練日期,20171208 - 20180314
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10990112.080000000074506
真實報酬,990112.080000000074506

夏普值報酬,0.090311208000000
夏普值風險,0.030818334815010
夏普值,2.930437628836869

預期報酬,20135.520583462341165
風險,262096.125612217176240
趨勢值,0.076824945566932
找到最佳解世代,70
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
BA[2](2),CSCO[4](1),DIS[6](19),GS[8](7),INTC[11](8),MSFT[18](3),NKE[19](6),TRV[22](11),WBA[27](17),
Stock#,BA[2](2),CSCO[4](1),DIS[6](19),GS[8](7),INTC[11](8),MSFT[18](3),NKE[19](6),TRV[22](11),WBA[27](17),
張數,3940,29708,10555,4470,25791,13469,18335,8278,15961,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,149.199999999953434,31.800000000046566,91.699999999953434,47.800000000046566,34.719999999972060,53.190000000176951,10.000000000000000,120.619999999878928,65.790000000037253,
20171208,1126595.199999999953434,1117349.679999999934807,1100239.350000000093132,1119112.300000000046566,1118074.570000000065193,1133604.230000000214204,1123945.500000000000000,1107303.119999999878928,1142075.340000000083819,10088300.290000000968575
20171211,1115799.600000000093132,1127747.479999999981374,1127682.349999999860302,1118128.900000000139698,1126069.779999999795109,1148016.060000000288710,1135129.849999999860302,1102419.099999999860302,1147342.469999999972060,10148336.589999999850988
20171212,1142512.800000000046566,1126262.079999999841675,1134015.350000000093132,1151877.400000000139698,1117558.750000000000000,1152730.210000000195578,1139896.949999999953434,1112269.919999999925494,1149417.400000000139698,10226541.860000001266599
20171213,1149998.799999999813735,1133392.000000000000000,1135915.250000000000000,1142401.000000000000000,1117816.660000000149012,1149632.340000000083819,1178950.500000000000000,1105730.299999999813735,1144788.709999999962747,10258626.559999998658895
20171214,1158036.399999999906868,1125965.000000000000000,1167158.049999999813735,1142043.399999999906868,1115753.379999999888241,1140742.800000000046566,1183167.550000000046566,1097617.859999999869615,1123081.750000000000000,10253567.189999999478459
20171215,1158272.800000000046566,1134580.320000000065193,1174546.549999999813735,1149597.700000000186265,1149281.679999999934807,1169835.840000000083819,1187934.650000000139698,1116740.039999999804422,1148300.129999999888241,10389090.710000000894070
20171218,1166940.799999999813735,1143195.639999999897555,1172013.349999999860302,1162337.199999999953434,1193126.379999999888241,1163505.410000000149012,1188301.350000000093132,1119389.000000000000000,1158036.340000000083819,10466846.469999998807907
20171219,1171314.199999999953434,1137848.199999999953434,1180246.250000000000000,1146513.400000000139698,1213243.359999999869615,1156097.460000000195578,1177850.399999999906868,1122120.739999999757856,1152290.379999999888241,10457525.390000000596046
20171220,1173875.199999999953434,1150919.720000000204891,1157869.649999999906868,1140702.400000000139698,1226654.679999999934807,1151922.070000000065193,1165932.650000000139698,1119802.899999999906868,1160749.709999999962747,10448429.980000000447035
20171221,1162567.399999999906868,1144681.040000000037253,1156603.049999999813735,1166762.500000000000000,1206021.879999999888241,1151652.690000000176951,1187567.949999999953434,1113014.939999999944121,1169209.040000000037253,10458081.490000002086163
20171222,1162843.199999999953434,1145275.199999999953434,1147103.550000000046566,1157643.700000000186265,1204474.420000000158325,1151787.380000000353903,1160432.149999999906868,1112601.039999999804422,1160590.099999999860302,10402751.740000000223517
20171226,1163867.600000000093132,1143195.639999999897555,1141298.300000000046566,1152056.200000000186265,1188484.000000000000000,1150305.790000000270084,1167032.750000000000000,1115829.459999999962747,1170007.090000000083819,10392077.830000000074506
20171227,1164892.000000000000000,1145572.280000000027940,1136231.899999999906868,1144144.300000000046566,1189257.729999999981374,1154481.180000000167638,1154198.250000000000000,1115746.679999999934807,1162984.250000000000000,10367509.570000000298023
20171228,1167768.199999999953434,1146463.520000000251457,1137604.049999999813735,1146602.800000000046566,1192094.739999999990687,1154615.870000000111759,1154198.250000000000000,1123114.099999999860302,1164261.129999999888241,10386723.660000000149012
20171229,1162094.600000000093132,1137848.199999999953434,1134859.750000000000000,1138825.000000000000000,1190547.279999999795109,1152191.450000000186265,1146864.250000000000000,1122948.539999999804422,1159153.610000000102445,10345333.679999999701977
20180102,1169698.799999999813735,1154484.679999999934807,1180140.699999999953434,1142892.699999999953434,1208343.070000000065193,1157713.740000000223517,1164099.150000000139698,1092651.059999999823049,1196342.739999999990687,10466367.640000000596046
20180103,1173481.199999999953434,1163694.160000000149012,1185207.099999999860302,1132254.100000000093132,1167335.379999999888241,1163101.340000000083819,1163915.800000000046566,1096127.819999999832362,1205280.900000000139698,10450398.800000000745058
20180104,1169029.000000000000000,1158346.720000000204891,1184679.350000000093132,1148077.899999999906868,1145928.849999999860302,1173337.780000000260770,1163182.399999999906868,1096127.819999999832362,1142873.389999999897555,10381584.210000000894070
20180105,1216978.799999999813735,1174389.040000000037253,1178240.800000000046566,1142222.200000000186265,1153924.060000000055879,1187884.300000000046566,1173083.300000000046566,1094141.099999999860302,1163941.910000000149012,10484806.509999999776483
20180108,1222140.199999999953434,1186569.320000000065193,1161352.799999999813735,1125638.500000000000000,1153924.060000000055879,1189096.510000000242144,1183534.250000000000000,1088263.719999999739230,1178785.639999999897555,10489306.000000000000000
20180109,1254763.399999999906868,1179142.320000000065193,1160508.399999999906868,1135159.600000000093132,1125038.139999999897555,1188288.370000000111759,1175100.150000000139698,1096707.279999999795109,1171922.410000000149012,10486631.070000000298023
