訓練日期,20170328 - 20170628
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10711353.179999999701977
真實報酬,711353.179999999701977

夏普值報酬,0.062435318000000
夏普值風險,0.021806149185063
夏普值,2.863197782888170

預期報酬,11387.803082901835296
風險,58793.533913748848136
趨勢值,0.193691420209711
找到最佳解世代,62
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
AAPL[0](12),BA[2](8),GS[8](21),IBM[10](30),JNJ[12](16),KO[14](3),MCD[15](1),UNH[23](2),UTX[24](6),V[25](4),WMT[28](10),
Stock#,AAPL[0](12),BA[2](8),GS[8](21),IBM[10](30),JNJ[12](16),KO[14](3),MCD[15](1),UNH[23](2),UTX[24](6),V[25](4),WMT[28](10),
張數,6452,5162,4031,5231,7226,21481,7020,5523,8129,10220,13050,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,132.239999999990687,61.800000000046566,180.119999999995343,99.130000000004657,59.200000000069849,14.079999999958090,70.199999999953434,4.200000000069849,23.930000000051223,21.000000000000000,27.000000000000000,
20170328,927929.840000000083819,915594.120000000111759,924609.350000000093132,912960.939999999944121,908078.360000000102445,911452.909999999916181,908809.199999999837019,913232.250000000000000,916487.390000000013970,910827.400000000023283,917702.999999999883585,10067694.759999999776483
20170329,929994.479999999981374,916987.859999999986030,921062.069999999948777,909979.270000000018626,902731.120000000111759,911238.099999999976717,904527.000000000000000,902683.320000000065193,910959.670000000041910,911440.600000000093132,923183.999999999883585,10044797.490000000223517
20170330,928768.599999999976717,918794.559999999939464,932227.939999999944121,909560.790000000037253,900852.360000000102445,915104.679999999934807,907896.599999999860302,911243.970000000088476,914129.980000000097789,909703.200000000069849,934276.500000000000000,10082569.179999999701977
20170331,927026.559999999939464,913013.120000000111759,926181.439999999944121,911025.469999999972060,900057.500000000000000,911667.719999999855645,909932.400000000023283,905831.430000000051223,912179.020000000018626,908272.400000000023283,940671.000000000000000,10065868.060000000521541
20170403,927284.639999999897555,911929.100000000093132,923117.880000000004657,912908.630000000004657,901069.140000000013970,911023.289999999920838,909932.400000000023283,914557.770000000135042,909902.900000000139698,913280.199999999953434,937408.500000000000000,10072424.450000001117587
20170404,934188.280000000027940,922511.199999999953434,924327.179999999934807,913013.250000000000000,900996.880000000121072,916823.159999999916181,907685.999999999883585,911133.510000000009313,918519.640000000013970,907352.599999999976717,939757.500000000116415,10096319.199999999254942
20170405,929349.280000000027940,914148.760000000125729,917877.579999999958090,904434.410000000032596,901864.000000000000000,914460.250000000000000,915548.399999999906868,913342.710000000079162,914536.430000000051223,909907.599999999976717,935059.500000000116415,10070538.919999999925494
20170406,927026.559999999939464,915645.740000000107102,921827.959999999962747,902185.079999999958090,903670.500000000000000,916608.349999999976717,913723.199999999953434,913177.020000000135042,913804.820000000065193,910520.800000000046566,932188.500000000116415,10070388.530000001192093
20170407,924961.920000000041910,923285.500000000000000,918764.400000000023283,900563.469999999972060,902731.120000000111759,915319.489999999990687,912389.400000000023283,916932.660000000149012,918519.640000000013970,906943.799999999930151,951372.000000000116415,10091793.400000000372529
20170410,923865.079999999958090,916626.520000000018626,922835.709999999962747,895646.329999999958090,898540.040000000037253,917037.969999999855645,912529.799999999930151,913950.239999999990687,917625.450000000069849,908170.199999999953434,953460.000000000000000,10080297.339999999850988
20170411,913929.000000000000000,921840.140000000013970,918200.060000000055879,892403.110000000102445,897672.920000000041910,916393.539999999920838,921094.199999999837019,915883.290000000153668,919738.990000000107102,908068.000000000000000,958288.500000000116415,10083521.750000000000000
20170412,915025.840000000083819,908831.900000000139698,910178.369999999995343,892821.589999999967404,906199.600000000093132,922408.219999999855645,921515.399999999906868,914392.080000000074506,912422.890000000013970,906330.600000000093132,958419.000000000000000,10068555.490000000223517
20170413,910186.840000000083819,906612.240000000107102,900383.039999999920838,886910.560000000055879,903236.940000000060536,919186.069999999948777,918005.399999999906868,911078.280000000144355,911203.540000000037253,908272.400000000023283,954634.500000000116415,10029719.810000000521541
20170417,915219.400000000023283,924163.040000000153668,912234.179999999934807,895123.229999999981374,908511.920000000041910,925200.750000000000000,922147.199999999953434,923339.340000000083819,920795.760000000009313,917879.200000000069849,959071.499999999883585,10123695.519999999552965
