訓練日期,20120823 - 20121127
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10602383.679999999701977
真實報酬,602383.679999999701977

夏普值報酬,0.051538368000000
夏普值風險,0.022709052491228
夏普值,2.269507634451406

預期報酬,11725.272697272193909
風險,209708.216201122675557
趨勢值,0.055912319076840
找到最佳解世代,5
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,8
GS[8](3),HD[9](2),IBM[10](16),KO[14](22),PFE[20](8),PG[21](9),TRV[22](4),V[25](1),
20121109,1387094.159999999916181,1345338.080000000074506,1201775.429999999934807,1170042.319999999832362,1274788.740000000223517,1252991.680000000167638,1317415.939999999944121,1394392.499999999767169,10343838.849999999627471
20121112,1400110.939999999711290,1349751.880000000121072,1199304.000000000000000,1163271.709999999962747,1271624.219999999972060,1254300.540000000270084,1306912.040000000037253,1397514.500000000000000,10342789.829999998211861
20121113,1390915.599999999860302,1398745.060000000055879,1193410.589999999850988,1165850.989999999757856,1268459.700000000186265,1250000.000000000000000,1303092.439999999944121,1389709.500000000000000,10360183.880000000819564
20121114,1364284.939999999711290,1356593.270000000018626,1175603.619999999878928,1161014.839999999850988,1255801.620000000111759,1244016.640000000130385,1300036.759999999776483,1365514.000000000000000,10222865.689999999478459
20121115,1378615.339999999850988,1351738.090000000083819,1177758.199999999953434,1174556.059999999823049,1247890.320000000065193,1240090.060000000055879,1304811.259999999776483,1365904.250000000000000,10241363.580000000074506
20121116,1383392.139999999897555,1370938.120000000111759,1184665.530000000027940,1178747.389999999897555,1258438.719999999972060,1249439.060000000055879,1311113.600000000093132,1392441.250000000000000,10329175.809999998658895
20121119,1412769.459999999729916,1397641.610000000102445,1206274.699999999953434,1200671.270000000018626,1273206.480000000214204,1270006.860000000102445,1328110.820000000065193,1420929.499999999767169,10509610.699999999254942
20121120,1410261.639999999897555,1408455.420000000158325,1198987.149999999906868,1200993.679999999934807,1280590.360000000102445,1277112.100000000093132,1330020.619999999878928,1427954.000000000232831,10534374.969999998807907
20121121,1405604.260000000009313,1414414.050000000046566,1205894.479999999981374,1205507.419999999925494,1284282.300000000279397,1280290.760000000242144,1341097.459999999962747,1431076.000000000000000,10568166.730000000447035
20121123,1436772.879999999888241,1430524.419999999925494,1226172.880000000121072,1222917.559999999823049,1293775.860000000102445,1301232.520000000251457,1361150.359999999869615,1445125.000000000000000,10717671.480000000447035
20121126,1444296.339999999850988,1427214.070000000065193,1222307.310000000055879,1204540.189999999944121,1291666.179999999934807,1299175.740000000223517,1353320.179999999934807,1436539.500000000000000,10679059.509999999776483
20121127,1414083.079999999841675,1415958.880000000121072,1211851.260000000009313,1206474.649999999906868,1279008.100000000093132,1290013.720000000204891,1352747.239999999990687,1432246.750000000000000,10602383.679999999701977
