訓練日期,20150407 - 20150708
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10226970.269999999552965
真實報酬,226970.269999999552965

夏普值報酬,0.013997027000000
夏普值風險,0.013608632201858
夏普值,1.028540325903514

預期報酬,8320.063627075222030
風險,111890.450427154530189
趨勢值,0.074359014512073
找到最佳解世代,38
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
AXP[1](18),DIS[6](2),DD[7](5),GS[8](3),MCD[15](16),MRK[17](11),NKE[19](4),V[25](6),XOM[29](17),
Stock#,AXP[1](18),DIS[6](2),DD[7](5),GS[8](3),MCD[15](16),MRK[17](11),NKE[19](4),V[25](6),XOM[29](17),
張數,13953,10518,16028,5785,11540,19431,22280,17041,13051,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,33.610000000102445,94.660000000149012,50.040000000037253,101.750000000000000,39.800000000046566,46.419999999925494,7.400000000139698,37.800000000046566,79.370000000111759,
20150407,1092972.100000000093132,1109007.400000000139698,1107584.839999999850988,1113077.899999999906868,1111918.800000000046566,1115968.750000000000000,1109774.200000000186265,1121335.600000000093132,1119202.620000000111759,10000843.210000000894070
20150408,1097995.180000000167638,1118789.140000000130385,1104058.679999999934807,1114061.350000000093132,1117688.800000000046566,1110528.069999999832362,1123365.000000000232831,1133264.300000000046566,1097146.430000000167638,10016897.949999999254942
20150409,1104553.090000000083819,1123101.520000000018626,1112553.520000000018626,1127540.399999999906868,1114226.800000000046566,1115968.750000000000000,1122028.200000000186265,1132241.840000000083819,1104846.520000000251457,10057061.640000000596046
20150410,1110552.880000000121072,1124994.760000000242144,1104539.520000000018626,1131879.149999999906868,1128651.800000000046566,1112471.169999999925494,1113784.600000000093132,1130537.739999999990687,1116722.930000000167638,10074135.550000000745058
20150413,1106087.920000000158325,1120366.840000000316650,1101814.760000000009313,1131532.050000000046566,1124497.399999999906868,1102367.049999999813735,1105986.600000000093132,1118097.810000000055879,1113851.710000000195578,10024603.140000002458692
20150414,1109157.580000000074506,1121944.540000000037253,1114637.160000000149012,1143911.949999999953434,1126113.000000000000000,1122380.979999999981374,1108883.000000000232831,1116734.530000000027940,1130687.500000000000000,10094451.240000000223517
20150415,1112785.360000000102445,1125310.300000000279397,1143808.120000000111759,1163465.250000000000000,1112957.399999999906868,1135788.369999999878928,1112225.000000000232831,1119290.680000000167638,1149611.450000000186265,10175242.929999999701977
20150416,1128970.840000000083819,1137090.460000000195578,1135633.839999999850988,1158316.600000000093132,1103610.000000000000000,1123935.459999999962747,1112893.400000000139698,1118779.450000000186265,1145043.600000000093132,10164274.650000000372529
20150417,1078879.570000000065193,1122260.080000000074506,1133550.199999999953434,1141771.500000000000000,1094955.000000000000000,1105281.699999999953434,1097965.800000000279397,1099523.119999999878928,1134602.800000000279397,10008790.770000001415610
20150420,1077623.800000000046566,1138352.620000000111759,1143327.280000000027940,1146110.250000000000000,1109957.000000000232831,1119466.329999999841675,1114007.400000000139698,1102931.320000000065193,1138648.610000000102445,10090425.609999999403954
