訓練日期,20120831 - 20121205
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10651727.720000000670552
真實報酬,651727.720000000670552

夏普值報酬,0.056472772000000
夏普值風險,0.016165281297766
夏普值,3.493460519477911

預期報酬,11030.443839748042592
風險,254403.022937679575989
趨勢值,0.043358147683843
找到最佳解世代,88
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,12
DIS[6](14),GS[8](5),HD[9](2),JPM[13](6),MCD[15](22),MMM[16](21),NKE[19](24),PFE[20](8),PG[21](7),TRV[22](3),UTX[24](20),V[25](1),
Stock#,DIS[6](14),GS[8](5),HD[9](2),JPM[13](6),MCD[15](22),MMM[16](21),NKE[19](24),PFE[20](8),PG[21](7),TRV[22](3),UTX[24](20),V[25](1),
張數,16862,7957,14717,22583,9394,9081,34097,34955,12460,12921,10540,26304,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,12.959999999962747,75.959999999962747,56.460000000079162,20.300000000046566,85.199999999953434,60.439999999944121,2.319999999948777,5.800000000046566,8.200000000069849,57.710000000079162,40.599999999976717,22.280000000027940,
20120831,834176.099999999976717,841290.000000000000000,835246.210000000079162,838752.920000000041910,840754.259999999892898,840961.039999999920838,829923.299999999930151,834032.099999999976717,837195.600000000093132,836563.250000000000000,841659.599999999860302,843328.520000000135042,10053886.899999998509884
20120904,837379.879999999888241,846780.329999999958090,835834.890000000013970,835817.130000000004657,836620.899999999906868,832606.520000000018626,829241.359999999986030,831235.700000000069849,839812.200000000186265,835271.150000000139698,825849.599999999860302,845169.800000000046566,10031623.460000002756715
20120905,856433.939999999944121,874868.539999999920838,832155.640000000013970,838075.430000000051223,836714.839999999967404,833242.189999999944121,829923.299999999930151,836129.400000000139698,838441.600000000093132,833849.840000000083819,822476.800000000046566,839119.880000000004657,10071435.400000002235174
20120906,874476.279999999911524,903513.739999999990687,848491.510000000009313,873756.569999999948777,851839.179999999934807,847136.119999999995343,847994.709999999962747,850810.500000000000000,850278.599999999976717,844315.850000000093132,836916.600000000093132,851745.800000000046566,10281279.460000000894070
20120907,872452.839999999967404,925713.769999999902211,842751.880000000004657,887532.199999999953434,855127.079999999958090,842958.859999999869615,846289.859999999986030,847315.000000000000000,853767.400000000023283,842636.119999999995343,837021.999999999883585,853061.000000000000000,10306632.009999999776483
20120910,868743.200000000069849,912584.719999999972060,843340.560000000055879,875337.380000000004657,857757.399999999906868,823434.709999999962747,852768.290000000037253,842421.300000000046566,853642.800000000162981,843928.220000000088476,828590.000000000000000,846221.960000000079162,10248774.540000000968575
