訓練日期,20131031 - 20140204
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10405017.800000000745058
真實報酬,405017.800000000745058

夏普值報酬,0.031801780000000
夏普值風險,0.017760397038584
夏普值,1.790600735496605

預期報酬,11061.742003309673237
風險,148360.540355487639317
趨勢值,0.074559865964390
找到最佳解世代,6
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,10
AAPL[0](17),CAT[3](3),DD[7](4),JPM[13](6),MRK[17](1),PFE[20](22),UNH[23](8),UTX[24](2),VZ[26](29),WMT[28](19),
Stock#,AAPL[0](17),CAT[3](3),DD[7](4),JPM[13](6),MRK[17](1),PFE[20](22),UNH[23](8),UTX[24](2),VZ[26](29),WMT[28](19),
張數,13335,11977,17885,19011,22104,32331,14703,9438,19790,13002,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,8.350000000093132,40.270000000018626,49.650000000023283,21.400000000023283,15.039999999920838,2.170000000041910,48.969999999972060,43.900000000023283,11.299999999930151,16.180000000051223,
20131031,995732.800000000162981,998442.989999999990687,1005365.500000000000000,979848.339999999967404,996684.400000000023283,992240.560000000055879,1003675.750000000000000,1002831.400000000023283,999604.199999999837019,997919.680000000051223,9972345.619999999180436
20131101,990665.500000000232831,1001197.700000000069849,992130.599999999976717,998289.010000000009313,999778.959999999846332,1007759.440000000060536,1009115.859999999869615,1014723.280000000027940,999208.400000000023283,1002080.319999999948777,10014949.070000000298023
20131104,1003467.100000000093132,1004790.800000000046566,978180.299999999930151,989353.839999999967404,1010609.919999999925494,1010669.230000000097789,1013820.820000000065193,1019159.140000000013970,1010884.499999999883585,1005460.840000000083819,10046396.490000000223517
20131105,1000933.450000000069849,1006707.119999999995343,986228.550000000046566,987642.850000000093132,1002652.479999999864958,1010022.609999999986030,1010439.130000000004657,1016327.740000000107102,991490.299999999930151,1006631.020000000018626,10019075.250000000000000
20131106,992399.050000000162981,1008743.209999999962747,1000000.000000000000000,990494.500000000000000,1015914.879999999888241,1001293.239999999990687,1033522.840000000083819,1025671.359999999986030,1001583.199999999953434,1016252.500000000000000,10085874.780000001192093
20131107,976263.699999999953434,1001916.320000000065193,984976.599999999976717,981939.550000000046566,1012820.319999999948777,999353.380000000004657,1025730.250000000000000,1012458.160000000032596,992875.599999999976717,1007801.200000000069849,9996135.080000000074506
20131108,991732.300000000162981,1008982.750000000000000,1010373.300000000046566,1025854.960000000079162,1034482.239999999874271,1012609.090000000083819,1036610.469999999972060,1024538.800000000046566,993469.299999999930151,1013652.099999999976717,10152305.310000000521541
20131111,988798.600000000209548,1007904.820000000065193,1010194.449999999953434,1028516.500000000000000,1038903.039999999920838,1010022.609999999986030,1036610.469999999972060,1020102.940000000060536,988719.699999999953434,1027304.200000000069849,10157077.330000000074506
20131112,990665.500000000232831,1004311.719999999972060,1001967.350000000093132,1026045.069999999948777,1051944.399999999906868,1014548.949999999953434,1028523.820000000065193,1014157.000000000000000,992677.699999999837019,1023403.599999999976717,10148245.109999999403954
20131113,991865.650000000023283,1008503.670000000041910,1008584.800000000046566,1029276.940000000060536,1046418.400000000023283,1030391.140000000130385,1044109.000000000000000,1014251.380000000004657,989313.400000000023283,1025873.980000000097789,10188588.359999999403954
20131114,1006134.100000000093132,1003233.790000000037253,1021462.000000000000000,1034219.800000000046566,1057028.319999999832362,1034594.170000000041910,1050431.290000000037253,1025860.119999999995343,994854.599999999976717,1028214.340000000083819,10256032.529999999329448
20131115,1000133.350000000093132,1002994.250000000000000,1024681.300000000046566,1043154.969999999972060,1062554.319999999832362,1041060.370000000111759,1056753.580000000074506,1024916.320000000065193,995646.199999999953434,1030034.619999999995343,10281929.279999999329448
20131118,987998.500000000116415,1006587.350000000093132,1015559.950000000069849,1059694.540000000037253,1061228.080000000074506,1034917.479999999981374,1053960.010000000009313,1030012.839999999967404,1004551.699999999837019,1030034.619999999995343,10284545.069999998435378
20131119,989732.050000000046566,1002155.859999999986030,1011267.550000000046566,1067489.049999999813735,1062554.319999999832362,1023601.630000000004657,1052930.800000000046566,1029729.699999999953434,1004947.500000000000000,1030424.680000000051223,10274833.140000000596046
20131120,981064.300000000046566,990298.630000000121072,1000000.000000000000000,1066538.500000000000000,1063880.560000000055879,1032007.690000000060536,1058370.909999999916181,1027181.440000000060536,997427.299999999930151,1025873.980000000097789,10242643.310000002384186
