訓練日期,20151021 - 20160125
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,9804358.609999999403954
真實報酬,-195641.390000000596046

夏普值報酬,-0.028264139000000
夏普值風險,0.024558720394173
夏普值,-1.150879954099991

預期報酬,4522.199905407553160
風險,331171.763499132008292
趨勢值,0.013655149393253
找到最佳解世代,100
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,11
DIS[6](25),HD[9](7),JNJ[12](5),KO[14](11),MCD[15](1),MMM[16](15),MSFT[18](2),NKE[19](23),PFE[20](19),PG[21](3),V[25](13),
Stock#,DIS[6](25),HD[9](7),JNJ[12](5),KO[14](11),MCD[15](1),MMM[16](15),MSFT[18](2),NKE[19](23),PFE[20](19),PG[21](3),V[25](13),
張數,8276,7400,9315,21496,8754,6096,19030,13734,26737,12214,11917,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,54.159999999916181,0.000000000000000,39.150000000023283,24.160000000032596,74.640000000013970,115.439999999944121,26.899999999906868,36.540000000037253,32.000000000000000,1.979999999864958,61.239999999990687,
20151021,911159.000000000000000,912420.000000000000000,909462.599999999976717,906940.400000000023283,897709.800000000046566,913418.159999999916181,898242.899999999906868,909776.699999999953434,894652.020000000018626,898830.239999999874271,899318.059999999939464,9951939.880000000819564
20151022,937311.159999999916181,920264.000000000000000,927161.099999999976717,929511.200000000069849,970630.620000000111759,951091.439999999944121,914037.799999999930151,909364.679999999934807,891176.209999999962747,914219.879999999771826,910758.380000000004657,10175536.469999998807907
20151023,935987.000000000000000,922114.000000000000000,934426.800000000046566,919838.000000000000000,985687.500000000000000,949811.279999999911524,1006142.999999999883585,896454.719999999972060,910426.849999999976717,940846.399999999906868,918504.429999999934807,10320249.980000000447035
20151026,939545.679999999934807,925074.000000000000000,930980.250000000000000,915538.800000000162981,982098.360000000102445,954383.279999999911524,1032404.399999999906868,902223.000000000000000,913367.919999999925494,946464.839999999850988,931732.300000000046566,10373822.830000000074506
20151027,941614.679999999934807,921078.000000000000000,933309.000000000000000,915968.719999999972060,977371.200000000069849,955541.519999999902211,1021747.599999999860302,898377.479999999981374,935559.630000000004657,944022.039999999920838,923867.079999999958090,10368466.949999999254942
20151028,946332.000000000000000,916268.000000000000000,936010.350000000093132,918548.239999999990687,988751.400000000023283,963771.119999999995343,1027266.299999999813735,901673.640000000130385,947858.650000000023283,934495.119999999878928,939955.030000000027940,10420939.849999999627471
20151029,952125.199999999953434,914862.000000000000000,944300.700000000069849,919838.000000000000000,985950.120000000111759,960906.000000000000000,1015467.699999999953434,900437.580000000074506,929677.490000000107102,940724.259999999776483,935664.910000000032596,10399963.959999999031425
20151030,941366.399999999906868,914936.000000000000000,941133.599999999976717,910379.760000000009313,982711.140000000013970,958467.599999999976717,1001766.099999999860302,899888.219999999972060,904277.339999999967404,932907.299999999813735,924582.099999999976717,10312425.559999996796250
20151102,952125.199999999953434,920634.000000000000000,951752.700000000069849,908015.200000000069849,981485.579999999958090,974987.759999999892898,1013184.099999999976717,900986.939999999944121,937431.220000000088476,935594.379999999771826,896457.979999999981374,10372665.059999998658895
20151103,956263.199999999953434,929884.000000000000000,949796.549999999930151,906295.519999999902211,981222.959999999962747,967855.439999999944121,1030501.399999999906868,902360.340000000083819,935024.890000000013970,941090.679999999818392,928395.540000000037253,10428700.519999999552965
