訓練日期,20120814 - 20121115
訓練天數,65
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10184511.269999999552965
真實報酬,184511.269999999552965

夏普值報酬,0.009751127000000
夏普值風險,0.019937912301842
夏普值,0.489074625887446

預期報酬,11062.885031121559223
風險,175459.735417582094669
趨勢值,0.063050847562221
找到最佳解世代,69
找到最佳解實驗#,1
找到最佳解次數,1

stock[index](rank)
投資組合檔數,9
DD[7](19),HD[9](2),JNJ[12](9),JPM[13](5),MSFT[18](28),NKE[19](22),PFE[20](6),TRV[22](3),V[25](1),
Stock#,DD[7](19),HD[9](2),JNJ[12](9),JPM[13](5),MSFT[18](28),NKE[19](22),PFE[20](6),TRV[22](3),V[25](1),
張數,26492,21035,16230,30038,36561,46373,46842,17434,34635,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,36.520000000018626,42.300000000046566,5.200000000186265,5.379999999888241,22.209999999962747,13.919999999925494,18.760000000009313,42.180000000167638,20.199999999953434,
20120814,1119853.360000000102445,1150867.150000000139698,1114032.400000000139698,1114415.179999999934807,1101605.139999999897555,1100445.209999999962747,1123289.919999999925494,1107798.540000000037253,1124618.649999999906868,10056926.549999998882413
20120815,1119323.520000000018626,1156967.300000000046566,1109325.700000000186265,1113514.039999999804422,1104164.409999999916181,1092561.799999999813735,1126100.439999999944121,1111459.680000000167638,1117691.650000000139698,10051109.540000000968575
20120816,1133629.199999999953434,1184523.150000000139698,1106891.200000000186265,1114415.179999999934807,1125369.790000000037253,1099054.019999999785796,1125163.600000000093132,1116341.200000000186265,1122886.899999999906868,10128275.240000000223517
20120817,1137867.920000000158325,1193357.850000000093132,1100399.200000000186265,1110810.619999999878928,1129757.109999999869615,1116212.030000000027940,1114389.939999999944121,1135518.600000000093132,1114228.149999999906868,10152542.420000001788139
20120820,1138662.679999999934807,1189992.250000000000000,1098776.200000000186265,1122525.439999999711290,1123907.349999999860302,1110183.540000000037253,1120010.979999999981374,1144409.940000000176951,1109725.599999999860302,10158194.979999998584390
20120821,1140517.119999999878928,1184733.500000000000000,1100074.600000000093132,1142650.899999999906868,1126101.010000000009313,1111111.000000000000000,1109705.739999999990687,1137262.000000000232831,1104184.000000000000000,10156340.870000001043081
