代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13355740.189999999478459
真實報酬,3355740.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12423.334199915068893
風險,202070.748608027410228
起點值,0.061480121618263
找到最佳解世代,2696
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](7),V[25](1),WMT[28](9),
Stock#,TRV[22](7),V[25](1),WMT[28](9),
張數,51599,108330,56430,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,37.600000000093132,18.899999999906868,12.899999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3340556.859999999869615,3309500.399999999906868,3329947.199999999720603,9980005.459999999031425
FS( 3 ),3341072.850000000093132,3152421.899999999906868,3328818.600000000093132,9822314.349999999627471
FS( 4 ),3328173.100000000093132,3190337.399999999906868,3312453.899999999906868,9830965.400000000372529
FS( 5 ),3332817.010000000242144,3209836.799999999813735,3340104.599999999627471,9882759.410000000149012
FS( 6 ),3322497.209999999962747,3200087.099999999627471,3332204.399999999906868,9854789.709999999031425
FS( 7 ),3298245.680000000167638,3180587.699999999720603,3331075.799999999813735,9809910.179999999701977
FS( 8 ),3335396.959999999962747,3200087.099999999627471,3340104.599999999627471,9875589.660000000149012
FS( 9 ),3334364.980000000447035,3193587.299999999813735,3353083.500000000000000,9881036.780000001192093
FS( 10 ),3327141.120000000111759,3161088.299999999813735,3333333.000000000000000,9821563.419999999925494
FS( 11 ),3310113.450000000186265,3157838.399999999906868,3349133.399999999906868,9817086.250000000000000
FS( 12 ),3282249.990000000223517,3182754.299999999813735,3340104.599999999627471,9805109.890000000596046
FS( 13 ),3235294.900000000372529,3114506.399999999906868,3480615.299999999813735,9830417.600000001490116
FS( 14 ),3208463.419999999925494,3050591.699999999720603,3522937.799999999813735,9781993.919999998062849
FS( 15 ),3235294.900000000372529,3148088.699999999720603,3557360.099999999627471,9940744.699999999254942
FS( 16 ),3241486.780000000260770,3206586.899999999906868,3596296.799999999813735,10044371.480000000447035
FS( 17 ),3241486.780000000260770,3206586.899999999906868,3596296.799999999813735,10044371.480000000447035
FS( 18 ),3260578.410000000149012,3243419.100000000093132,3671912.999999999534339,10175911.509999999776483
FS( 19 ),3230135.000000000000000,3232586.100000000093132,3685456.200000000186265,10148178.300000000745058
FS( 20 ),3244582.720000000204891,3257502.000000000000000,3706335.300000000279397,10208421.020000001415610
FS( 21 ),3193499.709999999962747,3181671.000000000000000,3692792.099999999627471,10067963.809999998658895
FS( 22 ),3224459.110000000335276,3119922.899999999906868,3714235.499999999534339,10058618.509999999776483
FS( 23 ),3125905.020000000018626,3039758.699999999720603,3698999.399999999906868,9864664.119999999180436
FS( 24 ),3115585.220000000204891,3091757.099999999627471,3723828.599999999627471,9931171.919999999925494
FS( 25 ),3137256.799999999813735,3082007.399999999906868,3696177.899999999906868,9915443.099999999627471
FS( 26 ),3180599.959999999962747,3151338.600000000093132,3720442.800000000279397,10052382.360000001266599
FS( 27 ),3194531.689999999944121,3163254.899999999906868,3717057.000000000000000,10074844.589999999850988
FS( 28 ),3206399.459999999962747,3157838.399999999906868,3849667.500000000000000,10213906.359999999403954
FS( 29 ),3176472.040000000037253,3151338.600000000093132,3810730.799999999813735,10138542.440000001341105
FS( 30 ),3196079.660000000149012,3173004.599999999627471,3821452.500000000000000,10190537.759999999776483
FS( 31 ),3181115.950000000186265,3112339.799999999813735,3784772.999999999534339,10078229.750000000000000
FS( 32 ),3256966.479999999981374,3154588.500000000000000,3816373.799999999813735,10227929.780000001192093
FS( 33 ),3271930.189999999944121,3206586.899999999906868,3823145.399999999906868,10301663.490000000223517
FS( 34 ),3254386.530000000260770,3253168.799999999813735,3844024.500000000000000,10351580.830000000074506
FS( 35 ),3273994.150000000372529,3286751.100000000093132,3826531.200000000186265,10387277.449999999254942
FS( 36 ),3294633.750000000000000,3320333.399999999906868,3866596.499999999534339,10481564.650000000372529
FS( 37 ),3229103.020000000018626,3235836.000000000000000,3820323.899999999906868,10285263.919999999925494
FS( 38 ),3268834.250000000000000,3384248.099999999627471,3797751.899999999906868,10450835.250000000000000
FS( 39 ),3206915.450000000186265,3284584.500000000000000,3847410.300000000279397,10338911.250000000000000
FS( 40 ),3206915.450000000186265,3335499.599999999627471,3869982.299999999813735,10412398.349999999627471
