代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14079584.650000000372529
真實報酬,4079584.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17923.408656450756098
風險,183597.676218863023678
起點值,0.097623287100239
找到最佳解世代,2187
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](14),MRK[17](12),UNH[23](9),
Stock#,BA[2](1),DD[7](14),MRK[17](12),UNH[23](9),
張數,33391,53867,59765,44826,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.830000000074506,32.530000000260770,30.050000000279397,53.979999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2511352.939999999944121,2464986.450000000186265,2441430.300000000279397,2499103.479999999981374,9916873.170000001788139
FS( 3 ),2534058.820000000298023,2478453.200000000186265,2476094.000000000465661,2589652.000000000000000,10078258.020000001415610
FS( 4 ),2547415.220000000204891,2495690.640000000130385,2455773.900000000372529,2572169.859999999869615,10071049.620000001043081
FS( 5 ),2585480.960000000428408,2470373.150000000372529,2450395.050000000279397,2557377.279999999795109,10063626.440000001341105
FS( 6 ),2556430.790000000037253,2487071.920000000391155,2461152.750000000465661,2588307.220000000204891,10092962.680000001564622
FS( 7 ),2533391.000000000000000,2491381.280000000260770,2473105.750000000465661,2560515.100000000093132,10058393.130000000819564
FS( 8 ),2537397.919999999925494,2512928.080000000074506,2477289.300000000279397,2555584.239999999757856,10083199.540000000968575
FS( 9 ),2496994.810000000055879,2531781.530000000260770,2459359.800000000279397,2565445.959999999962747,10053582.100000001490116
FS( 10 ),2502003.460000000428408,2492458.620000000577420,2461750.400000000372529,2557377.279999999795109,10013589.760000001639128
FS( 11 ),2505342.560000000055879,2467141.129999999888241,2475496.350000000558794,2569480.299999999813735,10017460.339999999850988
FS( 12 ),2492653.980000000447035,2470373.150000000372529,2523308.350000000093132,2539895.139999999664724,10026230.620000001043081
FS( 13 ),2496994.810000000055879,2427279.550000000279397,2549604.950000000186265,2474897.439999999944121,9948776.750000000000000
FS( 14 ),2538065.740000000223517,2365871.170000000391155,2540042.550000000279397,2476242.220000000204891,9920221.680000001564622
FS( 15 ),2559769.890000000130385,2407348.760000000242144,2568132.100000000093132,2441726.199999999720603,9976976.949999999254942
FS( 16 ),2505342.560000000055879,2350249.740000000223517,2541237.850000000558794,2389279.779999999795109,9786109.930000001564622
FS( 17 ),2526044.980000000447035,2369641.860000000335276,2535261.350000000558794,2378073.279999999795109,9809021.470000000670552
FS( 18 ),2583143.589999999850988,2440207.629999999888241,2568132.100000000093132,2414830.600000000093132,10006313.919999999925494
FS( 19 ),2567783.730000000447035,2433204.920000000391155,2553788.500000000000000,2396003.680000000167638,9950780.830000000074506
FS( 20 ),2580472.310000000055879,2440207.629999999888241,2547812.000000000465661,2399141.500000000000000,9967633.439999999478459
FS( 21 ),2574128.020000000018626,2448826.350000000093132,2590245.150000000372529,2390176.299999999813735,10003375.820000000298023
FS( 22 ),2626551.890000000130385,2470373.150000000372529,2584866.300000000279397,2398244.979999999981374,10080036.320000002160668
