代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14216702.189999999478459
真實報酬,4216702.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18517.977155951044551
風險,192513.035339149180800
起點值,0.096190770268247
找到最佳解世代,3160
找到最佳解實驗#,1
找到最佳解次數,35

stock[index](rank)
投資組合檔數,4
HD[9](2),JPM[13](3),PFE[20](10),V[25](1),
Stock#,HD[9](2),JPM[13](3),PFE[20](10),V[25](1),
張數,48374,69444,104427,78443,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,31.680000000167638,16.000000000000000,17.619999999646097,21.589999999850988,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2485971.540000000037253,2442361.479999999981374,2497911.459999999962747,2535299.350000000093132,9961543.830000000074506
FS( 3 ),2529508.140000000130385,2506249.960000000428408,2535505.179999999701977,2568245.410000000149012,10139508.690000001341105
FS( 4 ),2515479.680000000167638,2520833.199999999720603,2533416.639999999664724,2569814.269999999552965,10139543.789999999105930
FS( 5 ),2534829.280000000260770,2570138.439999999944121,2479114.599999999627471,2557263.390000000130385,10141345.710000000894070
FS( 6 ),2553695.140000000130385,2580555.039999999571592,2488513.029999999329448,2572167.559999999590218,10194930.769999999552965
FS( 7 ),2571109.780000000260770,2563888.479999999981374,2492690.109999999869615,2520395.180000000167638,10148083.549999998882413
FS( 8 ),2566756.120000000111759,2567360.679999999701977,2500000.000000000000000,2531377.200000000186265,10165494.000000000000000
FS( 9 ),2555146.360000000335276,2568749.560000000055879,2477026.059999999590218,2516473.029999999795109,10117395.009999999776483
FS( 10 ),2646573.220000000204891,2576388.399999999906868,2504177.079999999608845,2547065.799999999813735,10274204.500000000000000
FS( 11 ),2660601.680000000167638,2574305.080000000074506,2510442.699999999720603,2531377.200000000186265,10276726.660000000149012
FS( 12 ),2723971.620000000111759,2576388.399999999906868,2508354.159999999683350,2543143.649999999906868,10351857.830000000074506
FS( 13 ),2744288.700000000186265,2568055.119999999646097,2484335.949999999720603,2523532.899999999906868,10320212.669999999925494
FS( 14 ),2736548.860000000335276,2595138.279999999795109,2496867.189999999478459,2513335.309999999590218,10341889.640000000596046
FS( 15 ),2724455.360000000335276,2641665.759999999776483,2473893.250000000000000,2500784.429999999701977,10340798.800000000745058
FS( 16 ),2739935.040000000037253,2627082.520000000018626,2474937.519999999552965,2512550.879999999888241,10354505.960000000894070
FS( 17 ),2735581.379999999888241,2585416.119999999646097,2479114.599999999627471,2493724.559999999590218,10293836.660000000149012
FS( 18 ),2755414.720000000204891,2581249.479999999981374,2507309.889999999664724,2484311.399999999906868,10328285.490000000223517
