代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15200850.820000000298023
真實報酬,5200850.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23839.122211817320931
風險,340306.582116765202954
起點值,0.070051898683634
找到最佳解世代,2604
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
MCD[15](21),MMM[16](6),MRK[17](8),PG[21](3),V[25](5),
Stock#,MCD[15](21),MMM[16](6),MRK[17](8),PG[21](3),V[25](5),
張數,38572,46685,85324,42671,147710,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,41.800000000046566,14.599999999860302,5.439999999944121,10.230000000214204,6.600000000093132,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2022371.760000000009313,2013071.799999999813735,1966723.639999999897555,1989758.960000000428408,2007385.500000000000000,9999311.660000000149012
FS( 3 ),2050143.600000000093132,2092436.299999999813735,1976962.520000000018626,2018775.240000000223517,2041358.800000000046566,10179676.460000000894070
FS( 4 ),1961813.719999999972060,1984593.949999999720603,1889078.800000000046566,1937273.630000000121072,1973412.199999999953434,9746172.299999998882413
FS( 5 ),2010414.439999999944121,1952848.149999999674037,1940273.199999999720603,1950501.640000000363216,1853767.100000000093132,9707804.529999999329448
FS( 6 ),2018128.840000000083819,1964052.549999999813735,1790956.199999999720603,1885215.010000000242144,1838996.100000000093132,9497348.699999999254942
FS( 7 ),2028929.000000000000000,2123715.250000000000000,1894198.239999999990687,1927459.300000000279397,1952732.800000000279397,9927034.590000001713634
FS( 8 ),1968370.960000000195578,2184872.599999999627471,1872014.000000000000000,1923192.200000000186265,1896603.000000000000000,9845052.759999999776483
FS( 9 ),2012343.040000000037253,2240894.599999999627471,2050341.160000000149012,1953488.610000000335276,1997045.800000000046566,10254113.210000000894070
FS( 10 ),2020443.160000000149012,2240894.599999999627471,2309726.120000000111759,2003413.680000000400469,1921713.699999999953434,10496191.259999999776483
FS( 11 ),1993828.479999999981374,2216151.549999999813735,2236347.479999999981374,2040537.450000000186265,1926145.000000000000000,10413009.960000000894070
FS( 12 ),2069043.880000000121072,2276375.200000000186265,2270477.080000000074506,2047364.810000000055879,2041358.800000000046566,10704619.770000001415610
FS( 13 ),2137702.040000000037253,2296916.599999999627471,2300340.479999999981374,2049071.650000000372529,2079763.400000000139698,10863794.169999999925494
FS( 14 ),2110315.919999999925494,2216151.549999999813735,2221842.399999999906868,1976104.240000000223517,1945347.300000000046566,10469761.410000000149012
FS( 15 ),2052072.200000000186265,2144256.649999999441206,2279862.719999999739230,1945381.120000000344589,1939438.900000000139698,10361011.589999999850988
FS( 16 ),2127673.320000000298023,2302518.799999999813735,2387370.959999999962747,2037123.770000000251457,2051698.500000000232831,10906385.349999999627471
FS( 17 ),2065958.120000000111759,2254900.099999999627471,2367746.439999999944121,2008534.200000000186265,1979320.600000000093132,10676459.459999999031425
FS( 18 ),2121887.519999999552965,2288513.299999999813735,2346415.439999999944121,2050778.490000000223517,1948301.500000000000000,10755896.250000000000000
FS( 19 ),2162388.120000000111759,2382350.150000000372529,2353241.359999999869615,2080648.190000000176951,2050221.400000000139698,11028849.220000000670552
FS( 20 ),2121887.519999999552965,2349670.649999999441206,2317405.279999999795109,2072540.700000000186265,2002954.200000000186265,10864458.349999997764826
FS( 21 ),2079844.040000000037253,2271239.849999999627471,2265357.640000000130385,2017495.110000000335276,1976366.400000000139698,10610303.040000000968575
FS( 22 ),2104915.839999999850988,2321192.799999999813735,2282422.439999999944121,2009387.620000000344589,2053175.600000000093132,10771094.300000000745058
FS( 23 ),2130759.080000000074506,2364609.849999999627471,2302900.199999999720603,2057179.140000000363216,2004431.300000000046566,10859879.570000000298023
FS( 24 ),2173574.000000000000000,2433703.650000000372529,2303753.439999999944121,2108811.050000000745058,2053175.600000000093132,11073017.740000000223517
FS( 25 ),2184759.879999999888241,2432769.950000000186265,2257678.479999999981374,2117771.959999999962747,2218610.799999999813735,11211591.070000000298023
FS( 26 ),2157759.479999999515712,2431369.399999999441206,2275596.520000000018626,2118625.379999999888241,2183160.399999999906868,11166511.179999997839332
FS( 27 ),2136930.599999999627471,2371612.599999999627471,2241466.919999999925494,2077234.510000000242144,2110782.500000000000000,10938027.129999998956919
FS( 28 ),2143102.120000000111759,2398689.900000000372529,2283275.680000000167638,2068273.600000000093132,2135893.200000000186265,11029234.500000000000000
FS( 29 ),2185917.040000000037253,2480388.650000000372529,2244026.640000000130385,2098996.719999999739230,2171343.600000000093132,11180672.650000000372529
FS( 30 ),2164316.719999999739230,2490659.349999999627471,2222695.640000000130385,2049925.070000000065193,2257015.399999999906868,11184612.179999999701977
FS( 31 ),2114558.839999999850988,2471518.500000000000000,2191125.759999999776483,2016214.980000000214204,2153618.399999999906868,10947036.480000000447035
FS( 32 ),2081001.200000000186265,2508399.649999999441206,2239760.439999999944121,2080221.480000000214204,2183160.399999999906868,11092543.169999999925494
FS( 33 ),2109930.200000000186265,2556485.200000000186265,2205630.839999999850988,2151908.759999999776483,2144755.799999999813735,11168710.800000000745058
FS( 34 ),2163545.280000000260770,2512134.450000000186265,2195391.959999999962747,2204394.089999999850988,2141801.600000000093132,11217267.380000000819564
FS( 35 ),2134230.559999999590218,2426234.049999999813735,2151876.719999999739230,2164710.060000000521541,2031019.100000000093132,10908070.490000000223517
FS( 36 ),2145802.160000000149012,2487858.250000000000000,2008532.399999999906868,2192019.500000000000000,2165435.200000000186265,10999647.510000001639128
FS( 37 ),2092572.800000000046566,2477120.700000000186265,1959897.719999999739230,2116491.830000000074506,2124076.400000000372529,10770159.450000001117587
FS( 38 ),2133073.400000000372529,2530808.450000000186265,1982081.959999999962747,2104543.950000000186265,2150664.200000000186265,10901171.960000000894070
FS( 39 ),2094887.120000000111759,2661059.599999999627471,2000853.239999999990687,2112651.440000000409782,2230427.600000000093132,11099879.000000000000000
FS( 40 ),2101830.080000000074506,2677399.349999999627471,2000000.000000000000000,2132280.100000000558794,2174297.800000000279397,11085807.330000001937151
FS( 41 ),2103372.959999999962747,2640051.349999999627471,1976962.520000000018626,2120332.219999999739230,2242244.399999999906868,11082963.450000001117587
FS( 42 ),2098744.320000000298023,2685335.799999999813735,2039249.039999999804422,2151482.050000000745058,2345641.400000000372529,11320452.610000001266599
FS( 43 ),2055543.679999999934807,2689070.599999999627471,2068259.199999999720603,2109664.469999999739230,2398817.000000000000000,11321354.949999999254942
FS( 44 ),2021214.600000000093132,2702142.400000000372529,2073378.639999999897555,2112224.730000000447035,2400294.100000000093132,11309254.470000000670552
FS( 45 ),2035486.240000000223517,2730153.399999999441206,2100682.319999999832362,2175804.520000000484288,2518462.100000000093132,11560588.580000000074506
FS( 46 ),2050529.319999999832362,2727819.149999999441206,2098122.600000000093132,2124599.320000000298023,2488920.100000000093132,11489990.489999998360872
FS( 47 ),2070972.479999999981374,2760965.500000000000000,2099829.080000000074506,2169403.870000000111759,2444607.100000000093132,11545778.029999999329448
FS( 48 ),2059400.880000000121072,2743692.049999999813735,2151023.479999999981374,2190739.370000000111759,2419496.399999999906868,11564352.180000001564622
FS( 49 ),2118416.040000000037253,2805316.250000000000000,2117747.120000000111759,2200553.700000000186265,2527324.700000000186265,11769357.809999998658895
FS( 50 ),2098358.599999999627471,2759564.950000000186265,2081911.039999999804422,2149348.500000000000000,2434267.400000000372529,11523450.490000000223517
FS( 51 ),2081772.639999999897555,2779172.650000000372529,2131398.959999999962747,2173670.969999999739230,2409156.699999999720603,11575171.919999998062849
FS( 52 ),2063258.080000000074506,2658258.500000000000000,2190272.520000000018626,2174524.390000000596046,2381091.800000000279397,11467405.290000000968575
FS( 53 ),2066343.840000000083819,2704943.500000000000000,2222695.640000000130385,2167697.030000000260770,2382568.899999999906868,11544248.910000002011657
FS( 54 ),2062100.920000000158325,2704009.799999999813735,2173207.719999999739230,2162149.800000000745058,2403248.299999999813735,11504716.539999999105930
FS( 55 ),2090644.200000000186265,2765167.149999999441206,2196245.199999999720603,2241091.150000000372529,2451992.600000000093132,11745140.299999998882413
FS( 56 ),2077915.439999999944121,2754429.599999999627471,2198804.919999999925494,2259439.680000000633299,2392908.600000000093132,11683498.240000000223517
FS( 57 ),2169716.799999999813735,2717081.599999999627471,2226108.600000000093132,2305097.650000000372529,2398817.000000000000000,11816821.650000000372529
