代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14402375.040000000968575
真實報酬,4402375.040000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18001.289638869282498
風險,215044.565573097352171
起點值,0.083709577086478
找到最佳解世代,2877
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),V[25](2),VZ[26](9),WMT[28](5),
Stock#,HD[9](1),V[25](2),VZ[26](9),WMT[28](5),
張數,75918,113999,69676,47483,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,20.260000000242144,1.930000000167638,25.119999999646097,20.050000000279397,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2443061.500000000000000,2438440.540000000037253,2477703.679999999701977,2470560.540000000502914,9829766.259999999776483
FS( 3 ),2433192.160000000149012,2447560.459999999962747,2454013.839999999385327,2453941.490000000223517,9788707.949999999254942
FS( 4 ),2495444.919999999925494,2521659.810000000055879,2481884.239999999292195,2489078.910000000149012,9988067.879999998956919
FS( 5 ),2464318.540000000502914,2493160.060000000055879,2465162.000000000000000,2479107.480000000447035,9901748.080000001937151
FS( 6 ),2419526.920000000391155,2461240.340000000316650,2455407.359999999869615,2438746.930000000167638,9774921.550000000745058
FS( 7 ),2455967.560000000521541,2492020.070000000298023,2456104.119999999646097,2460589.110000000335276,9864680.859999999403954
FS( 8 ),2479502.140000000130385,2501139.990000000223517,2473523.119999999646097,2449668.020000000484288,9903833.269999999552965
FS( 9 ),2546309.979999999981374,2553579.529999999795109,2480490.719999999739230,2478632.650000000372529,10059012.879999998956919
FS( 10 ),2602489.300000000279397,2579799.300000000279397,2521599.559999999590218,2493352.380000000353903,10197240.540000000968575
FS( 11 ),2627542.240000000223517,2588919.220000000204891,2558527.839999999385327,2500000.000000000000000,10274989.300000000745058
FS( 12 ),2607803.560000000521541,2566119.420000000391155,2527870.399999999906868,2490503.400000000372529,10192296.780000001192093
FS( 13 ),2642725.840000000316650,2645918.720000000204891,2536928.279999999329448,2482906.120000000111759,10308478.960000000894070
FS( 14 ),2569085.380000000353903,2606019.070000000298023,2497212.959999999962747,2436847.610000000335276,10109165.020000001415610
FS( 15 ),2509110.160000000149012,2517099.850000000093132,2479793.959999999962747,2387465.290000000502914,9893469.259999999776483
FS( 16 ),2559975.220000000204891,2567259.410000000149012,2500000.000000000000000,2412156.450000000186265,10039391.080000001937151
FS( 17 ),2581232.260000000242144,2572959.360000000335276,2533444.479999999515712,2461063.940000000409782,10148700.040000000968575
FS( 18 ),2572122.100000000558794,2550159.560000000055879,2570372.759999999776483,2470560.540000000502914,10163214.960000000894070
FS( 19 ),2550865.060000000521541,2497720.020000000018626,2566888.959999999962747,2436372.780000000260770,10051846.820000000298023
FS( 20 ),2565289.479999999981374,2498860.010000000242144,2588488.519999999552965,2465812.240000000223517,10118450.250000000000000
FS( 21 ),2495444.919999999925494,2443000.500000000000000,2564101.919999999459833,2464387.750000000000000,9966935.089999999850988
FS( 22 ),2398269.880000000353903,2401960.860000000335276,2532050.959999999962747,2467236.730000000447035,9799518.429999999701977
FS( 23 ),2465077.720000000204891,2416780.729999999981374,2536231.519999999552965,2510921.090000000316650,9929011.060000000521541
FS( 24 ),2492408.200000000186265,2422480.680000000167638,2492335.639999999664724,2500000.000000000000000,9907224.519999999552965
FS( 25 ),2534163.100000000558794,2482900.150000000372529,2502090.279999999329448,2504748.300000000279397,10023901.830000000074506
FS( 26 ),2575158.820000000298023,2457820.370000000111759,2519509.279999999329448,2549857.150000000372529,10102345.620000001043081
FS( 27 ),2631338.140000000130385,2543319.620000000111759,2571069.519999999552965,2602563.280000000260770,10348290.559999998658895
FS( 28 ),2635134.040000000502914,2579799.300000000279397,2543199.119999999646097,2598289.810000000055879,10356422.270000001415610
FS( 29 ),2635893.220000000204891,2598039.140000000130385,2555044.039999999571592,2621081.650000000372529,10410058.050000000745058
FS( 30 ),2612358.640000000130385,2639078.779999999795109,2579430.639999999664724,2612534.710000000428408,10443402.769999999552965
