代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14186225.440000001341105
真實報酬,4186225.440000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17865.912769559836306
風險,274140.216596030106302
起點值,0.065170710782238
找到最佳解世代,3188
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,86236,69483,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,36.720000000670552,3.320000000298023,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4941359.520000000484288,4929127.339999999850988,9870486.859999999403954
FS( 3 ),4961193.800000000745058,4958310.200000000186265,9919504.000000000000000
FS( 4 ),4980165.720000000670552,5032657.010000000707805,10012822.730000000447035
FS( 5 ),4948258.400000001303852,5001389.660000000149012,9949648.060000002384186
FS( 6 ),4894792.080000000074506,4963868.839999999850988,9858660.919999999925494
FS( 7 ),4997412.920000000856817,5028488.030000000260770,10025900.950000001117587
FS( 8 ),5006898.880000000819564,5082684.770000000484288,10089583.650000002235174
FS( 9 ),5147463.560000000521541,5097971.030000000260770,10245434.589999999850988
FS( 10 ),5146601.200000000186265,5091717.560000000521541,10238318.760000001639128
FS( 11 ),5105207.920000000856817,5068788.170000000856817,10173996.090000001713634
FS( 12 ),5152637.720000000670552,5109088.310000000521541,10261726.030000001192093
FS( 13 ),5093997.240000001154840,5138966.000000000000000,10232963.240000002086163
FS( 14 ),5100033.760000000707805,5103529.670000000856817,10203563.430000001564622
FS( 15 ),5050879.240000001154840,5145914.300000000745058,10196793.540000002831221
FS( 16 ),5040530.920000000856817,5143829.810000000521541,10184360.730000000447035
FS( 17 ),5102620.840000000782311,5154252.260000000707805,10256873.100000001490116
FS( 18 ),5099171.400000001303852,5125764.230000000447035,10224935.630000002682209
FS( 19 ),5095721.960000000894070,5163285.050000000745058,10259007.010000001639128
FS( 20 ),5036219.120000000111759,5145219.469999999739230,10181438.589999999850988
FS( 21 ),5150050.640000000596046,5203585.190000000409782,10353635.830000001937151
FS( 22 ),5133665.800000000745058,5084074.430000000633299,10217740.230000000447035
FS( 23 ),5222488.880000000819564,5103529.670000000856817,10326018.550000000745058
FS( 24 ),5348393.440000001341105,5154252.260000000707805,10502645.700000002980232
FS( 25 ),5294064.760000000707805,5139660.830000000074506,10433725.589999999850988
FS( 26 ),5340632.200000000186265,5166064.370000000111759,10506696.570000000298023
FS( 27 ),5345806.360000001266599,5264035.400000000372529,10609841.760000001639128
FS( 28 ),5396685.600000000558794,5362701.260000000707805,10759386.860000001266599
FS( 29 ),5375126.600000000558794,5387020.310000000521541,10762146.910000000149012
FS( 30 ),5384612.560000000521541,5366870.240000000223517,10751482.800000000745058
FS( 31 ),5397547.960000000894070,5313368.330000000074506,10710916.290000000968575
FS( 32 ),5308724.880000000819564,5280016.490000000223517,10588741.370000001043081
FS( 33 ),5349255.800000000745058,5376597.860000000335276,10725853.660000000149012
FS( 34 ),5259570.360000001266599,5269594.040000000968575,10529164.400000002235174
FS( 35 ),5263019.800000000745058,5303640.709999999962747,10566660.510000001639128
FS( 36 ),5284578.800000000745058,5270288.870000000111759,10554867.670000001788139
FS( 37 ),5275955.200000000186265,5311283.839999999850988,10587239.039999999105930
FS( 38 ),5300963.640000000596046,5380072.010000000707805,10681035.650000002235174
FS( 39 ),5267331.600000000558794,5405085.890000000596046,10672417.490000002086163
FS( 40 ),5236286.640000000596046,5419677.320000000298023,10655963.960000000894070
FS( 41 ),5163848.400000001303852,5398137.589999999850988,10561985.990000002086163
FS( 42 ),5200067.520000000484288,5423151.469999999739230,10623218.990000000223517
FS( 43 ),5234561.920000000856817,5423846.300000000745058,10658408.220000002533197
FS( 44 ),5213865.280000001192093,5428710.110000000335276,10642575.390000000596046
FS( 45 ),5235424.280000001192093,5412729.020000000484288,10648153.300000000745058
FS( 46 ),5315623.760000000707805,5503751.750000000000000,10819375.510000001639128
FS( 47 ),5363915.920000000856817,5510700.050000000745058,10874615.970000002533197
FS( 48 ),5348393.440000001341105,5409949.700000000186265,10758343.140000000596046
FS( 49 ),5372539.520000000484288,5546136.379999999888241,10918675.900000000372529
FS( 50 ),5338045.120000000111759,5500277.599999999627471,10838322.719999998807907
FS( 51 ),5403584.480000000447035,5481517.190000000409782,10885101.670000001788139
FS( 52 ),5423418.760000000707805,5510700.050000000745058,10934118.810000002384186
FS( 53 ),5397547.960000000894070,5525986.310000000521541,10923534.270000001415610
FS( 54 ),5392373.800000000745058,5560727.810000000521541,10953101.610000001266599
FS( 55 ),5427730.560000000521541,5539188.080000000074506,10966918.640000000596046
FS( 56 ),5390649.080000000074506,5470399.910000000149012,10861048.990000000223517
FS( 57 ),5391511.440000001341105,5466925.760000000707805,10858437.200000002980232
FS( 58 ),5406171.560000000521541,5455113.650000000372529,10861285.210000000894070
FS( 59 ),5469123.840000000782311,5488465.490000000223517,10957589.330000001937151
FS( 60 ),5561396.360000000335276,5521817.330000000074506,11083213.690000001341105
FS( 61 ),5520003.080000001005828,5564896.790000000968575,11084899.870000001043081
FS( 62 ),5475160.360000001266599,5598943.459999999962747,11074103.820000000298023
FS( 63 ),5588991.880000000819564,5572539.920000000856817,11161531.800000000745058
FS( 64 ),5680402.040000000968575,5619788.360000000335276,11300190.400000002235174
FS( 65 ),5647632.360000000335276,5603807.270000000484288,11251439.630000000819564
FS( 66 ),5624348.640000000596046,5697609.320000000298023,11321957.960000000894070
FS( 67 ),5685576.200000001117587,5720538.709999999962747,11406114.910000000149012
FS( 68 ),5710584.640000000596046,5733740.480000000447035,11444325.120000001043081
FS( 69 ),5741629.600000000558794,5742078.440000000409782,11483708.040000000968575
FS( 70 ),5751115.560000000521541,5721928.370000000111759,11473043.929999999701977
FS( 71 ),5691612.720000000670552,5655919.520000000484288,11347532.240000002086163
FS( 72 ),5697649.240000000223517,5658004.010000000707805,11355653.250000000000000
FS( 73 ),5753702.640000000596046,5664257.480000000447035,11417960.120000001043081
FS( 74 ),5731281.280000000260770,5649666.050000000745058,11380947.330000001937151
FS( 75 ),5809756.040000000968575,5718454.219999999739230,11528210.260000001639128
FS( 76 ),5937385.320000000298023,5815035.589999999850988,11752420.910000000149012
FS( 77 ),5955494.880000000819564,5815035.589999999850988,11770530.470000000670552
FS( 78 ),6051216.840000000782311,5811561.440000000409782,11862778.280000001192093
FS( 79 ),5964980.840000000782311,5829627.020000000484288,11794607.860000001266599
FS( 80 ),5953770.160000001080334,5794190.690000000409782,11747960.850000001490116
FS( 81 ),5947733.640000000596046,5783768.240000000223517,11731501.880000000819564
FS( 82 ),5953770.160000001080334,5792106.200000000186265,11745876.360000001266599
FS( 83 ),5949458.360000000335276,5797664.839999999850988,11747123.199999999254942
FS( 84 ),5918413.400000000372529,5800444.160000000149012,11718857.560000000521541
FS( 85 ),5933935.880000000819564,5801138.990000000223517,11735074.870000001043081
FS( 86 ),5910652.160000001080334,5795580.349999999627471,11706232.510000001639128
FS( 87 ),5914963.960000000894070,5763618.170000000856817,11678582.130000002682209
FS( 88 ),5859772.920000000856817,5746247.420000000856817,11606020.340000001713634
FS( 89 ),5917551.040000000968575,5787242.390000000596046,11704793.430000001564622
FS( 90 ),5983090.400000000372529,5742773.270000000484288,11725863.670000001788139
