代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10385998.600000001490116
真實報酬,385998.600000001490116

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21430.100540069746785
風險,119006.269727484017494
起點值,0.180075390894473
找到最佳解世代,2191
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
UNH[23](1),VZ[26](2),
Stock#,UNH[23](1),VZ[26](2),
張數,79617,102753,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,52.400000000372529,39.020000000484288,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4964968.520000000484288,5018495.540000000968575,9983464.060000002384186
FS( 3 ),4916402.150000000372529,4963008.919999999925494,9879411.070000000298023
FS( 4 ),4929937.040000000968575,5134606.430000000633299,10064543.470000002533197
FS( 5 ),4981688.090000000782311,5162349.740000000223517,10144037.830000001937151
FS( 6 ),5070062.959999999962747,5192148.110000000335276,10262211.070000000298023
FS( 7 ),5089967.209999999962747,5156184.560000000521541,10246151.769999999552965
FS( 8 ),5082005.509999999776483,5127413.720000000670552,10209419.230000000447035
FS( 9 ),5107482.950000001117587,5203450.940000000409782,10310933.890000000596046
FS( 10 ),5079617.000000000000000,5247634.730000000447035,10327251.730000000447035
FS( 11 ),5124998.690000000409782,5210643.650000000372529,10335642.339999999850988
FS( 12 ),5229296.960000000894070,5296956.169999999925494,10526253.130000000819564
FS( 13 ),5195857.820000001229346,5142826.669999999925494,10338684.490000002086163
FS( 14 ),5079617.000000000000000,5030825.900000000372529,10110442.900000000372529
FS( 15 ),5087578.700000000186265,5088367.580000001005828,10175946.280000001192093
FS( 16 ),5147291.450000001117587,5047266.379999999888241,10194557.830000001937151
FS( 17 ),5074043.810000000521541,5182900.339999999850988,10256944.150000000372529
FS( 18 ),5157641.660000000149012,5205506.000000000000000,10363147.660000000149012
FS( 19 ),5261939.930000000633299,5240442.020000000484288,10502381.950000001117587
FS( 20 ),5213373.560000000521541,5172625.040000000968575,10385998.600000001490116
