代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10704846.140000000596046
真實報酬,704846.140000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,36303.226606060627091
風險,38740.386239810351981
起點值,0.937089950041715
找到最佳解世代,2067
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,8
AAPL[0](23),AXP[1](2),CSCO[4](7),HD[9](4),INTC[11](21),JPM[13](5),MRK[17](18),TRV[22](24),
Stock#,AAPL[0](23),AXP[1](2),CSCO[4](7),HD[9](4),INTC[11](21),JPM[13](5),MRK[17](18),TRV[22](24),
張數,19917,18306,61334,17179,52105,26036,27358,14863,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,9.080000000074506,66.320000000065193,13.080000000074506,55.959999999962747,1.050000000046566,11.640000000130385,12.979999999981374,21.700000000186265,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1267726.130000000121072,1270136.600000000093132,1271466.900000000139698,1259792.030000000027940,1256252.600000000093132,1251822.520000000018626,1251094.319999999832362,1254756.160000000149012,10083047.260000001639128
FS( 3 ),1280273.840000000083819,1285696.700000000186265,1277600.300000000046566,1270614.799999999813735,1248436.850000000093132,1238544.160000000149012,1249452.840000000083819,1269470.530000000027940,10120090.019999999552965
FS( 4 ),1310946.020000000018626,1282584.680000000167638,1276373.620000000111759,1292947.500000000000000,1245831.600000000093132,1254426.120000000111759,1230575.819999999832362,1267984.230000000214204,10161669.589999999850988
FS( 5 ),1304970.919999999925494,1285879.760000000009313,1250000.000000000000000,1289683.489999999757856,1258336.800000000046566,1279420.680000000167638,1238509.640000000130385,1278536.960000000195578,10185338.250000001862645
FS( 6 ),1319709.500000000232831,1287161.180000000167638,1270853.560000000055879,1295696.139999999897555,1263547.300000000046566,1295563.000000000000000,1230849.400000000139698,1297264.340000000316650,10260644.419999999925494
FS( 7 ),1299593.330000000074506,1285330.579999999841675,1277600.300000000046566,1303426.689999999944121,1269278.850000000093132,1276817.080000000074506,1244528.400000000139698,1285076.680000000167638,10241651.910000000149012
FS( 8 ),1288838.149999999906868,1282950.800000000046566,1294160.480000000214204,1305831.750000000000000,1276573.550000000046566,1274734.200000000186265,1257113.080000000074506,1285522.570000000065193,10265724.580000001937151
FS( 9 ),1293817.399999999906868,1277642.060000000288710,1304587.260000000009313,1317169.889999999897555,1254689.449999999953434,1293219.760000000242144,1263131.840000000083819,1285671.200000000186265,10289928.859999999403954
FS( 10 ),1262946.050000000046566,1309128.380000000121072,1304587.260000000009313,1328336.239999999757856,1242184.250000000000000,1307799.920000000158325,1276263.679999999934807,1306479.400000000372529,10337725.179999999701977
FS( 11 ),1220124.500000000000000,1332377.000000000000000,1300907.220000000204891,1337956.479999999981374,1260942.050000000046566,1330190.880000000121072,1278452.319999999832362,1304695.840000000316650,10365646.289999999105930
FS( 12 ),1236456.439999999944121,1322308.700000000186265,1465282.340000000083819,1318544.209999999962747,1247394.750000000000000,1327066.560000000055879,1268603.439999999944121,1291170.510000000242144,10476826.949999999254942
FS( 13 ),1232672.210000000195578,1342262.239999999990687,1486749.239999999990687,1320433.899999999906868,1252605.250000000000000,1361694.439999999944121,1258207.400000000139698,1285671.200000000186265,10540295.879999998956919
FS( 14 ),1260356.840000000083819,1362032.720000000204891,1468962.380000000121072,1318716.000000000000000,1254689.449999999953434,1361434.080000000074506,1236868.159999999916181,1271551.350000000093132,10534610.980000000447035
FS( 15 ),1250995.850000000093132,1375029.979999999981374,1472642.420000000158325,1352215.049999999813735,1258336.800000000046566,1380440.360000000102445,1294867.119999999878928,1243014.390000000130385,10627541.970000000670552
FS( 16 ),1255775.929999999934807,1362764.959999999962747,1431548.640000000130385,1369050.469999999972060,1254168.400000000139698,1396322.320000000298023,1277905.159999999916181,1245095.210000000195578,10592631.090000001713634
FS( 17 ),1257966.800000000046566,1367341.459999999962747,1441975.420000000158325,1355650.849999999860302,1253126.300000000046566,1389032.240000000223517,1294867.119999999878928,1241082.200000000186265,10601042.390000000596046
FS( 18 ),1266531.110000000102445,1377958.939999999944121,1443202.100000000093132,1357025.169999999925494,1246352.650000000139698,1397103.400000000139698,1290216.259999999776483,1242568.500000000000000,10620958.130000000819564
FS( 19 ),1255975.100000000093132,1394251.280000000027940,1465282.340000000083819,1371283.739999999757856,1254689.449999999953434,1421577.240000000223517,1302800.939999999944121,1236920.560000000055879,10702780.650000000372529
FS( 20 ),1265933.600000000093132,1388210.300000000046566,1479389.160000000149012,1365614.669999999925494,1264589.400000000139698,1423399.760000000242144,1282282.439999999944121,1243608.910000000149012,10713028.240000000223517
FS( 21 ),1284854.750000000232831,1393885.160000000149012,1494722.660000000149012,1364755.719999999972060,1261463.100000000093132,1448133.959999999962747,1287754.040000000037253,1256836.980000000214204,10792406.370000001043081
FS( 22 ),1279676.330000000074506,1386013.579999999841675,1479389.160000000149012,1351356.099999999860302,1265110.450000000186265,1421316.880000000121072,1277631.580000000074506,1244352.060000000055879,10704846.140000000596046
