代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10576698.429999999701977
真實報酬,576698.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,28749.895058894617250
風險,48165.978844686571392
起點值,0.596892158085274
找到最佳解世代,2365
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](2),DD[7](24),MMM[16](13),NKE[19](16),UNH[23](3),VZ[26](20),
Stock#,DIS[6](2),DD[7](24),MMM[16](13),NKE[19](16),UNH[23](3),VZ[26](20),
張數,18039,21760,10147,33588,11953,34969,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,42.790000000037253,67.599999999860302,21.250000000000000,29.440000000176951,59.209999999962747,43.460000000195578,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1658007.280000000027940,1661008.399999999906868,1681683.559999999823049,1670024.800000000046566,1661287.149999999906868,1641488.320000000065193,9973503.509999999776483
FS( 3 ),1684344.220000000204891,1650563.599999999627471,1692845.260000000242144,1670360.680000000167638,1647541.200000000186265,1639040.489999999990687,9984699.449999999254942
FS( 4 ),1667748.340000000083819,1646429.199999999720603,1689293.809999999823049,1678085.920000000158325,1646106.840000000083819,1646383.980000000214204,9974052.089999999850988
FS( 5 ),1703465.560000000055879,1662531.600000000093132,1722373.030000000027940,1709994.520000000018626,1696548.500000000000000,1659672.200000000186265,10154589.410000000149012
FS( 6 ),1702563.609999999869615,1655786.000000000000000,1735462.659999999916181,1715704.480000000214204,1708142.909999999916181,1666316.310000000055879,10183979.970000000670552
FS( 7 ),1707253.750000000000000,1669494.799999999813735,1728968.579999999841675,1717048.000000000000000,1696189.909999999916181,1673659.800000000279397,10192618.839999999850988
FS( 8 ),1713026.229999999981374,1677981.199999999953434,1768440.409999999916181,1692528.760000000242144,1746751.099999999860302,1632746.070000000065193,10231477.769999999552965
FS( 9 ),1762092.310000000055879,1662531.600000000093132,1776558.010000000242144,1705292.200000000186265,1750217.469999999739230,1632746.070000000065193,10289441.660000000149012
FS( 10 ),1766421.670000000158325,1656656.399999999674037,1754539.020000000018626,1686482.920000000158325,1820262.050000000046566,1614911.880000000121072,10299277.940000001341105
FS( 11 ),1762453.090000000083819,1647734.799999999813735,1768034.530000000027940,1683795.880000000353903,1819664.399999999906868,1656524.989999999990687,10338211.690000001341105
FS( 12 ),1788068.470000000204891,1647952.399999999906868,1745406.719999999972060,1702269.280000000260770,1810938.709999999962747,1676107.630000000121072,10370747.210000000894070
FS( 13 ),1792578.220000000204891,1653609.999999999767169,1753118.440000000176951,1732834.360000000335276,1802213.020000000018626,1672960.420000000391155,10407318.460000000894070
FS( 14 ),1772194.149999999906868,1649475.599999999860302,1755046.370000000111759,1716376.240000000223517,1786435.059999999823049,1681003.290000000270084,10360534.710000000894070
FS( 15 ),1761190.359999999869615,1673411.600000000093132,1740434.690000000176951,1722422.080000000307336,1797909.939999999944121,1689395.850000000325963,10384768.519999999552965
FS( 16 ),1762633.479999999981374,1683638.800000000046566,1744392.020000000018626,1736864.920000000158325,1820022.989999999757856,1730659.270000000251457,10478215.480000000447035
FS( 17 ),1772554.930000000167638,1675587.599999999860302,1747842.000000000000000,1724437.360000000335276,1835322.829999999841675,1756536.330000000074506,10512285.050000000745058
FS( 18 ),1782656.770000000018626,1679069.199999999720603,1760424.280000000027940,1730483.200000000186265,1826597.139999999897555,1771922.690000000176951,10551157.279999999329448
FS( 19 ),1785362.620000000111759,1683421.199999999953434,1750378.750000000000000,1713353.320000000065193,1818230.040000000037253,1787658.739999999990687,10538408.669999999925494
FS( 20 ),1797989.920000000158325,1673193.999999999767169,1753118.440000000176951,1700589.880000000353903,1883732.479999999981374,1782063.700000000186265,10590692.420000001788139
FS( 21 ),1788068.470000000204891,1726723.599999999627471,1742667.030000000027940,1681780.600000000093132,1892458.169999999925494,1744996.560000000055879,10576698.429999999701977
