代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10745108.169999999925494
真實報酬,745108.169999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25264.412511563357839
風險,128187.684381278479123
起點值,0.197089233911251
找到最佳解世代,2412
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
VZ[26](3),WBA[27](1),WMT[28](2),
Stock#,VZ[26](3),WBA[27](1),WMT[28](2),
張數,61911,46002,35310,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,44.759999999776483,28.080000000074506,69.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3369241.379999999888241,3380715.060000000055879,3359815.500000000000000,10109772.939999999478459
FS( 3 ),3361192.949999999720603,3394975.680000000167638,3321680.699999999720603,10077850.330000000074506
FS( 4 ),3406387.979999999981374,3373814.760000000242144,3326624.099999999627471,10106827.839999999850988
FS( 5 ),3401435.099999999627471,3335633.100000000093132,3294845.100000000093132,10031914.299999998882413
FS( 6 ),3406387.979999999981374,3411076.380000000353903,3343572.899999999906868,10161038.259999999776483
FS( 7 ),3404530.649999999906868,3383935.200000000186265,3427963.799999999813735,10216430.649999998509884
FS( 8 ),3363669.389999999664724,3326432.700000000186265,3381354.600000000093132,10071457.689999999478459
FS( 9 ),3301758.389999999664724,3261569.880000000353903,3316384.200000000186265,9879713.469999998807907
FS( 10 ),3326522.789999999571592,3381175.080000000074506,3347810.100000000093132,10055508.969999998807907
FS( 11 ),3318474.359999999869615,3437297.520000000018626,3312853.199999999720603,10068626.080000000074506
FS( 12 ),3324665.459999999962747,3509060.640000000130385,3383120.100000000093132,10216847.199999999254942
FS( 13 ),3340762.319999999832362,3541262.040000000037253,3409602.600000000093132,10291627.959999999031425
FS( 14 ),3383480.909999999683350,3522861.240000000223517,3395831.700000000186265,10302174.850000001490116
FS( 15 ),3398958.659999999683350,3558282.779999999795109,3430435.500000000000000,10387677.939999999478459
FS( 16 ),3403911.539999999571592,3572083.380000000353903,3430082.399999999906868,10406078.320000000298023
FS( 17 ),3541973.069999999832362,3554142.600000000093132,3453387.000000000000000,10549503.669999999925494
FS( 18 ),3554974.379999999888241,3413376.479999999981374,3444912.600000000093132,10413264.459999999031425
FS( 19 ),3493682.489999999757856,3484219.560000000055879,3502114.800000000279397,10480017.849999999627471
FS( 20 ),3436724.369999999646097,3506760.540000000037253,3493640.399999999906868,10437126.310000000521541
FS( 21 ),3496778.039999999571592,3533901.719999999739230,3524007.000000000000000,10554687.759999999776483
FS( 22 ),3602026.739999999757856,3624985.680000000167638,3616519.200000000186265,10843532.620000001043081
FS( 23 ),3534543.750000000000000,3669607.620000000111759,3540955.799999999813735,10745108.169999999925494
