代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11341364.730000000447035
真實報酬,1341364.730000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,59039.094191637625045
風險,85131.983669957029633
起點值,0.693500746094707
找到最佳解世代,2030
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,4
KO[14](2),MCD[15](3),MRK[17](1),PFE[20](5),
Stock#,KO[14](2),MCD[15](3),MRK[17](1),PFE[20](5),
張數,117702,47709,102880,184094,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,9.520000000018626,48.399999999906868,16.000000000000000,3.479999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2541195.700000000186265,2517652.330000000074506,2532921.600000000093132,2573637.600000000093132,10165407.230000000447035
FS( 3 ),2538841.660000000149012,2536258.839999999850988,2529835.200000000186265,2628865.799999999813735,10233801.500000000000000
FS( 4 ),2527071.459999999962747,2561544.609999999869615,2531892.799999999813735,2560751.020000000018626,10181259.890000000596046
FS( 5 ),2518832.319999999832362,2547231.910000000149012,2593620.800000000279397,2606774.520000000018626,10266459.550000000745058
FS( 6 ),2525894.439999999944121,2620226.680000000167638,2553497.600000000093132,2650957.080000000074506,10350575.800000000745058
FS( 7 ),2516478.279999999795109,2595418.000000000000000,2510288.000000000000000,2604933.580000000074506,10227117.859999999403954
FS( 8 ),2612993.919999999925494,2574903.129999999888241,2569958.399999999906868,2748526.899999999906868,10506382.349999999627471
FS( 9 ),2568267.160000000149012,2552002.810000000055879,2640945.600000000093132,2811118.859999999869615,10572334.429999999701977
FS( 10 ),2642419.419999999925494,2555819.529999999795109,2680040.000000000000000,2824005.439999999944121,10702284.389999998733401
FS( 11 ),2645950.479999999981374,2550571.540000000037253,2620369.600000000093132,2763254.419999999925494,10580146.039999999105930
FS( 12 ),2711863.600000000093132,2585876.200000000186265,2648147.199999999720603,2796391.339999999850988,10742278.339999999850988
FS( 13 ),2744820.160000000149012,2570132.229999999981374,2651233.600000000093132,2779822.879999999888241,10746008.870000001043081
FS( 14 ),2766006.520000000018626,2683679.649999999906868,2684155.200000000186265,2781663.819999999832362,10915505.189999999478459
FS( 15 ),2747174.200000000186265,2656962.609999999869615,2687241.600000000093132,2730117.500000000000000,10821495.910000000149012
FS( 16 ),2783661.819999999832362,2723278.119999999646097,2692385.600000000093132,2754049.720000000204891,10953375.259999999776483
FS( 17 ),2778953.739999999757856,2807245.959999999962747,2732508.799999999813735,2765095.359999999869615,11083803.859999999403954
FS( 18 ),2744820.160000000149012,2758582.779999999795109,2739710.399999999906868,2698821.520000000018626,10941934.859999999403954
FS( 19 ),2760121.419999999925494,2773372.569999999832362,2754113.600000000093132,2704344.339999999850988,10991951.929999999701977
FS( 20 ),2893124.679999999701977,2814402.310000000055879,2837446.399999999906868,2796391.339999999850988,11341364.730000000447035
