代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10463975.500000000000000
真實報酬,463975.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,25336.369033524661063
風險,78265.020742723194417
起點值,0.323725321900976
找到最佳解世代,2104
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
DIS[6](2),VZ[26](5),WMT[28](4),
Stock#,DIS[6](2),VZ[26](5),WMT[28](4),
張數,33548,69720,40165,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,3.720000000204891,19.799999999813735,39.650000000372529,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3362855.240000000223517,3334030.199999999720603,3430933.950000000651926,10127820.390000000596046
FS( 3 ),3352790.840000000316650,3344488.199999999720603,3398801.950000000651926,10096081.990000000223517
FS( 4 ),3418880.399999999906868,3375164.999999999534339,3396392.050000000279397,10190438.449999999254942
FS( 5 ),3437667.280000000260770,3416996.999999999534339,3412056.400000000372529,10266721.679999999701977
FS( 6 ),3488324.760000000242144,3428849.399999999906868,3388359.050000000279397,10305534.210000000894070
FS( 7 ),3500737.520000000018626,3437215.799999999813735,3385949.150000000372529,10323903.470000000670552
FS( 8 ),3500066.560000000055879,3403053.000000000000000,3377916.150000000372529,10281036.710000000894070
FS( 9 ),3566491.600000000093132,3304747.799999999813735,3377514.500000000465661,10248754.900000000372529
FS( 10 ),3648348.720000000204891,3334030.199999999720603,3365465.000000000465661,10347844.919999999925494
FS( 11 ),3651703.520000000018626,3350763.000000000000000,3361850.150000000372529,10364317.669999999925494
FS( 12 ),3591652.600000000093132,3308931.000000000000000,3333734.650000000372529,10234319.250000000000000
FS( 13 ),3559446.520000000018626,3381439.799999999813735,3358235.300000000279397,10299122.620000001043081
FS( 14 ),3594671.920000000391155,3352854.600000000093132,3358235.300000000279397,10305762.820000000298023
FS( 15 ),3552401.440000000409782,3390503.399999999906868,3382334.300000000279397,10325240.140000000596046
FS( 16 ),3567498.040000000502914,3469286.999999999534339,3406834.950000000186265,10443620.990000000223517
FS( 17 ),3504092.320000000298023,3458131.799999999813735,3473107.200000000186265,10435332.320000000298023
FS( 18 ),3497718.200000000186265,3437215.799999999813735,3453426.350000000558794,10388361.350000001490116
FS( 19 ),3487653.799999999813735,3437913.000000000000000,3489976.500000000465661,10415544.300000000745058
FS( 20 ),3514827.680000000167638,3545979.000000000000000,3448606.550000000279397,10509414.230000000447035
FS( 21 ),3516169.600000000093132,3507633.000000000000000,3440171.900000000372529,10463975.500000000000000
