代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10507592.769999999552965
真實報酬,507592.769999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23800.200866807594139
風險,40070.366587760880066
起點值,0.593960147948263
找到最佳解世代,1927
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),INTC[11](9),KO[14](3),MCD[15](4),TRV[22](2),
Stock#,CAT[3](1),INTC[11](9),KO[14](3),MCD[15](4),TRV[22](2),
張數,20038,76952,52069,20429,23699,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,7.219999999972060,17.520000000018626,29.710000000195578,0.899999999906868,41.389999999897555,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2056507.159999999916181,1992304.800000000046566,1995834.480000000214204,1993667.010000000009313,2006161.739999999990687,10044475.189999999478459
FS( 3 ),2054904.119999999878928,2032319.840000000083819,1982296.540000000270084,1995097.039999999804422,2013982.409999999916181,10078599.949999999254942
FS( 4 ),2047289.679999999934807,2013081.840000000083819,1990106.890000000130385,1999387.129999999888241,2019196.189999999944121,10069061.730000000447035
FS( 5 ),2026049.399999999906868,2038476.000000000000000,2010934.489999999990687,1981818.189999999944121,2014456.389999999897555,10071734.470000000670552
FS( 6 ),2051698.040000000037253,2070795.840000000083819,2025513.810000000055879,2003677.219999999972060,2008057.659999999916181,10159742.569999998435378
FS( 7 ),2063720.839999999850988,2076182.479999999981374,2030200.020000000251457,2009193.049999999813735,2033889.569999999832362,10213185.959999999031425
FS( 8 ),2049093.100000000093132,2033858.879999999888241,2024993.120000000111759,2031256.370000000111759,2014219.399999999674037,10153420.869999999180436
FS( 9 ),2032862.320000000065193,2014620.879999999888241,2011455.180000000400469,2028396.310000000055879,2021566.089999999850988,10108900.780000001192093
FS( 10 ),2059512.860000000102445,2043862.639999999897555,2016662.080000000074506,2045148.089999999850988,2026305.889999999897555,10191491.560000000521541
FS( 11 ),2053902.219999999972060,2060022.560000000055879,2092162.130000000121072,2059856.969999999972060,2035548.500000000000000,10301492.379999998956919
FS( 12 ),2062518.560000000055879,2072334.879999999888241,2113510.419999999925494,2059856.969999999972060,2056640.609999999869615,10364861.439999999478459
FS( 13 ),2060514.760000000009313,2080799.599999999860302,2120279.390000000596046,2048008.149999999906868,2054270.709999999962747,10363872.609999999403954
FS( 14 ),2056707.540000000037253,2073873.919999999925494,2121841.459999999962747,2036159.329999999841675,2047634.989999999990687,10336217.240000000223517
FS( 15 ),2077747.439999999944121,2065409.199999999953434,2119758.700000000186265,2029009.179999999701977,2059247.500000000000000,10351172.019999999552965
FS( 16 ),2071535.659999999916181,2058483.520000000018626,2120800.080000000074506,2025127.669999999925494,2088634.259999999776483,10364581.189999999478459
FS( 17 ),2109607.860000000335276,2058483.520000000018626,2119238.010000000707805,2039632.260000000009313,2099535.799999999813735,10426497.449999999254942
FS( 18 ),2097785.439999999478459,2020777.040000000037253,2135379.400000000372529,2057814.070000000065193,2092900.079999999841675,10404656.029999999329448
FS( 19 ),2089169.100000000093132,2026163.679999999934807,2136420.780000000260770,2049233.889999999897555,2124419.750000000000000,10425407.199999999254942
FS( 20 ),2110008.620000000111759,2037706.479999999981374,2112469.040000000037253,2073544.399999999906868,2154280.490000000223517,10488009.030000001192093
FS( 21 ),2112012.419999999925494,2053866.400000000139698,2123924.219999999739230,2071092.919999999925494,2146696.809999999590218,10507592.769999999552965
