代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10672312.890000000596046
真實報酬,672312.890000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,34127.411965156825318
風險,29766.644379482844670
起點值,1.146498460830194
找到最佳解世代,2221
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,5
CAT[3](4),CSCO[4](13),HD[9](5),INTC[11](2),XOM[29](3),
Stock#,CAT[3](4),CSCO[4](13),HD[9](5),INTC[11](2),XOM[29](3),
張數,16909,61919,13264,56996,26119,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,3.479999999981374,16.300000000279397,54.080000000074506,10.359999999869615,68.170000000158325,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2000338.179999999934807,1957895.080000000307336,2028517.600000000093132,1996010.280000000027940,2015932.590000000316650,9998693.730000000447035
FS( 3 ),1978018.300000000046566,1973374.830000000307336,2076665.920000000158325,2038187.319999999832362,2057722.990000000223517,10123969.360000001266599
FS( 4 ),1991376.409999999916181,1966563.740000000456348,2094837.600000000093132,2025648.199999999720603,2064252.740000000223517,10142678.689999999478459
FS( 5 ),1992221.859999999869615,1949226.420000000391155,2117784.319999999832362,2005699.599999999627471,2058767.750000000000000,10123699.949999999254942
FS( 6 ),2009976.310000000055879,1993188.910000000149012,2100673.760000000242144,2038757.280000000027940,2069998.920000000158325,10212595.180000001564622
FS( 7 ),2044977.939999999944121,2006811.090000000083819,2121100.319999999832362,2056996.000000000000000,2076528.670000000158325,10306414.019999999552965
FS( 8 ),2022827.149999999906868,1992569.720000000204891,2122559.360000000335276,2070675.039999999804422,2083580.800000000046566,10292212.070000000298023
FS( 9 ),2037199.800000000046566,1993188.910000000149012,2114070.399999999906868,2079224.439999999711290,2091938.880000000353903,10315622.429999999701977
FS( 10 ),2052248.810000000055879,2008668.660000000149012,2101071.680000000167638,2108862.359999999869615,2091416.500000000000000,10362268.009999999776483
FS( 11 ),2093844.949999999953434,2013622.180000000400469,2093245.920000000158325,2108862.359999999869615,2091938.880000000353903,10401514.290000000968575
FS( 12 ),2109232.139999999664724,2011764.610000000335276,2091256.320000000065193,2121971.439999999478459,2095334.350000000093132,10429558.859999999403954
FS( 13 ),2111092.129999999888241,2018575.700000000419095,2104785.600000000093132,2112852.080000000074506,2103953.620000000111759,10451259.129999998956919
FS( 14 ),2110077.590000000316650,2024767.600000000558794,2111550.240000000223517,2120261.560000000055879,2086715.080000000074506,10453372.070000002160668
FS( 15 ),2103990.350000000093132,2066253.330000000074506,2121896.160000000149012,2119121.639999999664724,2087498.650000000139698,10498760.130000000819564
FS( 16 ),2102130.359999999869615,2087924.980000000214204,2136884.479999999981374,2117981.719999999739230,2115184.790000000037253,10560106.329999998211861
FS( 17 ),2105343.070000000298023,2090401.740000000223517,2139006.719999999739230,2135650.479999999981374,2112834.080000000074506,10583236.089999999850988
FS( 18 ),2105512.159999999683350,2073064.420000000158325,2134496.959999999962747,2139640.199999999720603,2126938.340000000782311,10579652.080000001937151
FS( 19 ),2117517.550000000279397,2065014.950000000419095,2153597.120000000111759,2156169.039999999571592,2146788.780000000260770,10639087.440000001341105
FS( 20 ),2108724.869999999646097,2082352.270000000484288,2169513.919999999925494,2170418.039999999571592,2141303.790000000037253,10672312.890000000596046
