代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10712583.480000000447035
真實報酬,712583.480000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,36722.692917547617981
風險,47505.093165592326841
起點值,0.773026437176754
找到最佳解世代,3160
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,4
AAPL[0](2),MSFT[18](1),PG[21](3),TRV[22](30),
Stock#,AAPL[0](2),MSFT[18](1),PG[21](3),TRV[22](30),
張數,105887,104166,47152,50751,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.930000000167638,16.000000000000000,0.959999999962747,5.740000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498941.130000000353903,2485416.759999999776483,2489626.560000000055879,2494417.390000000130385,9968401.840000001713634
FS( 3 ),2519059.660000000149012,2511458.259999999776483,2492927.199999999720603,2533495.660000000149012,10056940.779999999329448
FS( 4 ),2576238.640000000130385,2564582.919999999925494,2492455.680000000167638,2543645.859999999869615,10176923.099999999627471
FS( 5 ),2615416.830000000074506,2585416.120000000111759,2555639.359999999869615,2485282.209999999962747,10241754.519999999552965
FS( 6 ),2588945.080000000074506,2581249.479999999981374,2534892.479999999981374,2493909.880000000353903,10198996.920000001788139
FS( 7 ),2610122.479999999981374,2604166.000000000000000,2642399.040000000037253,2462444.260000000242144,10319131.780000001192093
FS( 8 ),2603769.260000000242144,2589582.759999999776483,2623538.239999999757856,2456861.649999999906868,10273751.910000000149012
FS( 9 ),2628123.270000000018626,2604166.000000000000000,2607506.560000000055879,2486297.230000000447035,10326093.060000000521541
FS( 10 ),2649300.669999999925494,2624999.199999999720603,2594775.520000000018626,2487312.250000000000000,10356387.639999998733401
FS( 11 ),2750952.190000000409782,2624999.199999999720603,2607978.080000000074506,2479192.090000000316650,10463121.560000000521541
FS( 12 ),2791189.250000000000000,2635415.800000000279397,2618351.520000000018626,2420828.440000000409782,10465785.010000001639128
FS( 13 ),2798601.340000000316650,2631249.160000000149012,2702753.600000000093132,2404080.609999999869615,10536684.709999999031425
FS( 14 ),2783777.160000000149012,2635415.800000000279397,2692380.160000000149012,2425396.030000000260770,10536969.150000002235174
FS( 15 ),2790130.380000000353903,2684373.819999999832362,2698981.439999999944121,2415245.830000000540167,10588731.470000000670552
FS( 16 ),2806013.430000000167638,2678123.859999999869615,2699452.959999999962747,2400020.530000000260770,10583610.780000001192093
FS( 17 ),2780600.550000000279397,2702082.040000000037253,2727272.640000000130385,2411693.260000000242144,10621648.490000000223517
FS( 18 ),2758364.280000000260770,2661457.300000000279397,2735288.479999999981374,2423365.990000000223517,10578476.050000000745058
FS( 19 ),2815543.260000000242144,2690623.779999999795109,2742361.279999999795109,2494924.899999999906868,10743453.220000000670552
FS( 20 ),2803895.690000000409782,2682290.500000000000000,2730573.279999999795109,2484774.700000000186265,10701534.170000001788139
FS( 21 ),2803895.690000000409782,2679165.520000000018626,2731044.799999999813735,2498477.470000000204891,10712583.480000000447035
