代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10846848.379999998956919
真實報酬,846848.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,45511.552805667975917
風險,73586.299704637829564
起點值,0.618478616105758
找到最佳解世代,3099
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CSCO[4](1),HD[9](3),
Stock#,CSCO[4](1),HD[9](3),
張數,219973,176118,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,13.709999999962747,9.979999999515712,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5063792.169999999925494,5112715.519999999552965,10176507.689999999478459
FS( 3 ),5074790.820000000298023,5014089.439999999478459,10088880.259999999776483
FS( 4 ),5094588.389999999664724,4918985.719999999739230,10013574.109999999403954
FS( 5 ),5213373.809999999590218,4927791.619999999180436,10141165.429999999701977
FS( 6 ),5169379.209999999962747,5035223.599999999627471,10204602.809999998658895
FS( 7 ),5255168.679999999701977,5084536.639999999664724,10339705.320000000298023
FS( 8 ),5226572.190000000409782,5045790.679999999701977,10272362.870000001043081
FS( 9 ),5263967.599999999627471,5105670.799999998882413,10369638.399999998509884
FS( 10 ),5226572.190000000409782,5107431.979999999515712,10334004.169999999925494
FS( 11 ),5279365.709999999962747,5184923.899999999441206,10464289.609999999403954
FS( 12 ),5294763.820000000298023,5287072.339999999850988,10581836.160000000149012
FS( 13 ),5340958.150000000372529,5336385.379999999888241,10677343.530000001192093
FS( 14 ),5358555.990000000223517,5309967.679999999701977,10668523.669999999925494
FS( 15 ),5345357.610000000335276,5339907.739999999292195,10685265.349999999627471
FS( 16 ),5290364.360000000335276,5415638.479999999515712,10706002.839999999850988
FS( 17 ),5354156.530000000260770,5523070.459999999031425,10877226.989999998360872
FS( 18 ),5351956.799999999813735,5523070.459999999031425,10875027.259999997913837
FS( 19 ),5351956.799999999813735,5494891.579999999143183,10846848.379999998956919
