代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10750568.820000000298023
真實報酬,750568.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,41506.598372093067155
風險,61672.985873869591160
起點值,0.673011007720304
找到最佳解世代,1957
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](4),CVX[5](1),PFE[20](5),XOM[29](2),
Stock#,BA[2](4),CVX[5](1),PFE[20](5),XOM[29](2),
張數,19691,26522,83222,30135,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,30.640000000130385,36.279999999795109,11.120000000111759,0.400000000372529,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2487791.580000000074506,2477986.739999999757856,2556590.959999999962747,2506027.000000000465661,10028396.280000001192093
FS( 3 ),2501378.370000000111759,2457830.020000000018626,2609853.040000000037253,2477398.750000000000000,10046460.179999999701977
FS( 4 ),2519100.270000000484288,2515382.759999999776483,2740511.580000000074506,2510547.250000000465661,10285541.860000001266599
FS( 5 ),2500787.640000000130385,2514056.660000000149012,2726363.839999999850988,2482220.350000000558794,10223428.490000002086163
FS( 6 ),2518115.720000000204891,2554900.539999999571592,2704726.120000000111759,2507533.750000000000000,10285276.129999998956919
FS( 7 ),2518706.450000000186265,2525991.559999999590218,2653960.700000000186265,2510848.600000000093132,10209507.310000000521541
FS( 8 ),2549424.410000000149012,2586196.500000000000000,2659786.240000000223517,2541887.650000000372529,10337294.800000000745058
FS( 9 ),2582308.379999999888241,2588583.479999999515712,2708055.000000000000000,2556352.450000000186265,10435299.309999998658895
FS( 10 ),2576597.990000000223517,2598661.839999999850988,2717209.419999999925494,2574433.450000000651926,10466902.700000001117587
FS( 11 ),2582111.470000000204891,2578770.339999999850988,2704726.120000000111759,2560571.350000000558794,10426179.280000001192093
FS( 12 ),2598651.910000000149012,2617757.679999999701977,2713880.540000000037253,2584980.700000000186265,10515270.830000000074506
FS( 13 ),2612632.520000000484288,2665497.279999999795109,2737182.700000000186265,2597938.750000000000000,10613251.250000000000000
FS( 14 ),2571084.509999999776483,2697058.459999999962747,2765478.179999999701977,2615718.400000000372529,10649339.550000000745058
FS( 15 ),2574431.980000000447035,2689367.080000000074506,2766310.400000000372529,2615417.050000000745058,10645526.510000001639128
FS( 16 ),2580536.190000000409782,2705545.500000000000000,2768807.060000000521541,2637716.950000000186265,10692605.700000001117587
FS( 17 ),2574628.890000000130385,2692284.500000000000000,2763813.740000000223517,2631689.950000000186265,10662417.080000001937151
FS( 18 ),2623659.480000000447035,2712971.660000000149012,2750498.219999999739230,2640730.450000000186265,10727859.810000000521541
FS( 19 ),2699272.920000000391155,2754345.979999999515712,2746337.120000000111759,2665742.500000000000000,10865698.519999999552965
FS( 20 ),2654377.440000000409782,2715889.080000000074506,2738847.139999999664724,2652784.450000000186265,10761898.109999999403954
FS( 21 ),2654377.440000000409782,2710054.239999999757856,2722202.740000000223517,2663934.400000000372529,10750568.820000000298023
