代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10962035.859999999403954
真實報酬,962035.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,50899.829374811197340
風險,79851.738991066449671
起點值,0.637429190872170
找到最佳解世代,1982
找到最佳解實驗#,2
找到最佳解次數,26

stock[index](rank)
投資組合檔數,3
CVX[5](1),HD[9](16),MRK[17](2),
Stock#,CVX[5](1),HD[9](16),MRK[17](2),
張數,29698,19278,62574,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.479999999981374,166.799999999813735,16.020000000018626,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3410250.819999999832362,3349912.079999999608845,3384643.680000000167638,10144807.580000000074506
FS( 3 ),3399856.520000000018626,3420855.119999999646097,3412801.979999999981374,10233514.619999999180436
FS( 4 ),3483307.900000000372529,3453434.939999999944121,3412176.240000000223517,10348920.080000000074506
FS( 5 ),3408171.959999999962747,3363213.899999999441206,3338964.660000000149012,10110351.519999999552965
FS( 6 ),3444403.520000000018626,3325814.579999999608845,3514171.859999999869615,10284390.959999999031425
FS( 7 ),3529636.779999999795109,3344707.020000000018626,3534821.280000000260770,10409166.080000000074506
FS( 8 ),3541515.979999999981374,3332561.879999999888241,3516674.820000000298023,10390753.679999999701977
FS( 9 ),3540922.020000000018626,3342200.879999999888241,3550464.780000000260770,10433588.679999999701977
FS( 10 ),3561413.640000000130385,3331405.200000000186265,3577371.600000000093132,10470191.439999999478459
FS( 11 ),3584578.080000000074506,3362828.339999999850988,3669981.120000000111759,10617388.539999999105930
FS( 12 ),3584578.080000000074506,3372081.779999999795109,3708777.000000000000000,10665437.859999999403954
FS( 13 ),3677235.839999999850988,3467315.099999999627471,3686876.100000000093132,10831428.039999999105930
FS( 14 ),3673969.059999999590218,3413915.040000000037253,3669355.379999999888241,10757240.480000000447035
FS( 15 ),3632391.859999999869615,3412565.579999999608845,3681244.439999999944121,10726202.879999998956919
FS( 16 ),3670108.319999999832362,3425096.279999999795109,3770099.520000000018626,10865305.119999999180436
FS( 17 ),3639222.400000000372529,3398107.079999999608845,3760087.680000000167638,10797418.160000000149012
FS( 18 ),3644568.040000000037253,3419891.219999999739230,3731303.640000000130385,10795763.900000000372529
FS( 19 ),3689115.040000000037253,3580476.959999999962747,3717537.359999999869615,10987130.359999999403954
FS( 20 ),3760390.240000000223517,3594742.680000000167638,3721291.799999999813735,11076425.719999998807907
FS( 21 ),3715546.259999999776483,3562741.200000000186265,3683747.399999999906868,10962035.859999999403954
