代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10540242.379999998956919
真實報酬,540242.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22348.059306982853741
風險,100278.935640322291874
起點值,0.222858960002729
找到最佳解世代,1916
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](2),UNH[23](1),
Stock#,MCD[15](2),UNH[23](1),
張數,61743,103412,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,51.859999999403954,29.799999999813735,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4985799.109999999403954,5107548.479999999515712,10093347.589999999850988
FS( 3 ),4972833.080000000074506,5051706.000000000000000,10024539.080000000074506
FS( 4 ),4982711.959999999962747,4979317.599999999627471,9962029.559999998658895
FS( 5 ),5009878.879999999888241,4960703.439999999478459,9970582.320000000298023
FS( 6 ),5010496.309999999590218,4984488.200000000186265,9994984.509999999776483
FS( 7 ),5017288.040000000037253,5232677.000000000000000,10249965.039999999105930
FS( 8 ),4961719.339999998919666,5109616.719999999739230,10071336.059999998658895
FS( 9 ),4984564.250000000000000,5078593.120000000111759,10063157.370000001043081
FS( 10 ),5030254.069999999366701,5129265.000000000000000,10159519.070000000298023
FS( 11 ),5016053.179999998770654,5103412.000000000000000,10119465.179999999701977
FS( 12 ),5051246.689999999478459,5135469.719999999739230,10186716.410000000149012
FS( 13 ),5095084.219999998807907,5166493.320000000298023,10261577.539999999105930
FS( 14 ),5105580.529999999329448,5301963.040000000037253,10407543.570000000298023
FS( 15 ),5112372.259999998845160,5400204.439999999478459,10512576.699999999254942
FS( 16 ),5103110.809999999590218,5354703.160000000149012,10457813.969999998807907
FS( 17 ),5080883.330000000074506,5289553.599999999627471,10370436.929999999701977
FS( 18 ),5053098.979999999515712,5218199.320000000298023,10271298.300000000745058
FS( 19 ),5082735.619999999180436,5277144.160000000149012,10359879.779999999329448
FS( 20 ),5208073.909999999217689,5353669.040000000037253,10561742.949999999254942
FS( 21 ),5221657.369999999180436,5329884.279999999329448,10551541.649999998509884
FS( 22 ),5206221.619999999180436,5334020.759999999776483,10540242.379999998956919
