代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10804449.099999999627471
真實報酬,804449.099999999627471

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,33978.430909090886416
風險,100327.090541950063198
起點值,0.338676530192843
找到最佳解世代,2203
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](4),VZ[26](1),
Stock#,MRK[17](4),VZ[26](1),
張數,68380,89206,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,54.399999999441206,3.700000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4941876.999999999068677,5051739.480000000447035,9993616.480000000447035
FS( 3 ),5000000.000000000000000,5103478.959999999962747,10103478.960000000894070
FS( 4 ),5012992.199999999254942,5103478.959999999962747,10116471.160000000149012
FS( 5 ),5134024.799999998882413,5142729.599999999627471,10276754.399999998509884
FS( 6 ),5161376.799999999813735,5198037.320000000298023,10359414.120000001043081
FS( 7 ),5118981.199999999254942,5214986.459999999962747,10333967.660000000149012
FS( 8 ),5107356.599999999627471,5238180.020000000484288,10345536.620000001043081
FS( 9 ),5101886.199999999254942,5232827.660000000149012,10334713.859999999403954
FS( 10 ),5066328.599999999627471,5257805.339999999850988,10324133.939999999478459
FS( 11 ),5117613.599999999627471,5270294.179999999701977,10387907.779999999329448
FS( 12 ),5201037.199999999254942,5371096.959999999962747,10572134.160000000149012
FS( 13 ),5220867.399999999441206,5407671.419999999925494,10628538.820000000298023
FS( 14 ),5113510.799999999813735,5304192.459999999962747,10417703.259999999776483
FS( 15 ),5114194.599999999627471,5277430.660000000149012,10391625.259999999776483
FS( 16 ),5105989.000000000000000,5231043.540000000037253,10337032.539999999105930
FS( 17 ),5158641.599999999627471,5278322.720000000670552,10436964.320000000298023
FS( 18 ),5220183.599999999627471,5410347.599999999627471,10630531.199999999254942
FS( 19 ),5281041.799999999813735,5357716.060000000521541,10638757.859999999403954
FS( 20 ),5327540.199999999254942,5303300.400000000372529,10630840.599999999627471
FS( 21 ),5425323.599999999627471,5379125.500000000000000,10804449.099999999627471
