代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10771206.240000000223517
真實報酬,771206.240000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,41363.208553307151305
風險,65569.348496052101837
起點值,0.630831470832711
找到最佳解世代,2372
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AXP[1](2),PFE[20](12),TRV[22](1),UNH[23](11),WMT[28](7),
Stock#,AXP[1](2),PFE[20](12),TRV[22](1),UNH[23](11),WMT[28](7),
張數,69808,124688,44424,73099,40128,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,0.800000000046566,4.480000000214204,31.519999999785796,11.360000000102445,20.479999999748543,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2004188.480000000214204,2003740.640000000363216,2055085.759999999776483,1968567.430000000167638,2000401.279999999795109,10031983.589999999850988
FS( 3 ),2119371.679999999701977,1978803.040000000037253,2069301.439999999711290,1913743.180000000167638,1974318.079999999841675,10055537.419999999925494
FS( 4 ),2185689.280000000260770,1968828.000000000000000,2078186.239999999757856,1899123.380000000121072,1965489.919999999692664,10097316.819999998435378
FS( 5 ),2282024.320000000298023,1990024.960000000428408,2108394.559999999590218,1937865.850000000325963,1977929.599999999627471,10296239.290000000968575
FS( 6 ),2257591.520000000484288,1983790.560000000288710,2062193.599999999860302,1978801.290000000037253,1995184.639999999664724,10277561.609999999403954
FS( 7 ),2199650.879999999888241,1973815.520000000251457,1996001.839999999850988,2033625.540000000037253,2008025.599999999627471,10211119.379999998956919
FS( 8 ),2219895.200000000186265,1977556.160000000149012,2062637.839999999850988,2031432.570000000065193,2026885.759999999776483,10318407.530000001192093
FS( 9 ),2232460.639999999664724,1970074.880000000353903,2108838.799999999813735,2073829.990000000223517,2081861.119999999878928,10467065.429999999701977
FS( 10 ),2214310.559999999590218,1966334.240000000223517,2099065.519999999552965,2051169.300000000046566,2078249.599999999627471,10409129.219999998807907
FS( 11 ),2121465.919999999925494,1980049.920000000391155,2070634.159999999683350,2081870.880000000121072,2069421.439999999711290,10323442.320000000298023
FS( 12 ),2212216.320000000298023,1992518.720000000204891,2110615.759999999776483,2059941.180000000167638,2060994.559999999823049,10436286.540000000968575
FS( 13 ),2212914.400000000372529,2041147.040000000270084,2130606.559999999590218,2059941.180000000167638,2073434.239999999757856,10518043.419999999925494
FS( 14 ),2270156.959999999962747,2023690.720000000204891,2123942.959999999962747,2075291.970000000204891,2075039.359999999869615,10568121.969999998807907
FS( 15 ),2293193.600000000558794,2074812.800000000279397,2141268.320000000298023,2114034.440000000409782,2060994.559999999823049,10684303.720000000670552
FS( 16 ),2280628.160000000149012,2086034.720000000204891,2130162.320000000298023,2170320.669999999925494,2068618.879999999655411,10735764.750000000000000
FS( 17 ),2291099.360000000335276,2094762.880000000353903,2151485.839999999850988,2187133.440000000409782,2073434.239999999757856,10797915.759999999776483
FS( 18 ),2313437.919999999925494,2091022.240000000223517,2167478.479999999515712,2114765.429999999701977,2078650.879999999655411,10765354.949999999254942
FS( 19 ),2370680.480000000447035,2102244.160000000149012,2185692.320000000298023,2115496.419999999925494,2056179.199999999720603,10830292.580000000074506
FS( 20 ),2390226.719999999739230,2096009.760000000009313,2203906.160000000149012,2059941.180000000167638,2051765.119999999878928,10801848.939999999478459
FS( 21 ),2360907.360000000335276,2082294.080000000074506,2239889.599999999627471,2046783.360000000102445,2041331.839999999618158,10771206.240000000223517
