代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10364103.199999999254942
真實報酬,364103.199999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,35149.540500658724341
風險,177956.020672642742284
起點值,0.197518130422335
找到最佳解世代,2127
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),VZ[26](2),
Stock#,MRK[17](1),VZ[26](2),
張數,149120,196540,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,6.399999999441206,22.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5123769.599999999627471,5068788.999999999068677,10192558.599999997764826
FS( 3 ),5113331.199999999254942,5078615.999999999068677,10191947.199999999254942
FS( 4 ),4946316.799999999813735,5000000.000000000000000,9946316.800000000745058
FS( 5 ),4967193.599999999627471,4976415.199999999254942,9943608.799999998882413
FS( 6 ),5041753.599999999627471,5086477.599999999627471,10128231.199999999254942
FS( 7 ),5026841.599999999627471,5104166.199999999254942,10131007.799999998882413
FS( 8 ),5167014.399999999441206,5208332.399999999441206,10375346.799999998882413
FS( 9 ),5198329.599999999627471,5247640.399999999441206,10445970.000000000000000
FS( 10 ),5222188.799999999813735,5261398.199999999254942,10483587.000000000000000
FS( 11 ),5371308.799999999813735,5349841.199999999254942,10721150.000000000000000
FS( 12 ),5369817.599999998696148,5361633.599999999627471,10731451.199999999254942
FS( 13 ),5347449.599999999627471,5345910.399999999441206,10693360.000000000000000
FS( 14 ),5319116.799999999813735,5351806.599999999627471,10670923.399999998509884
FS( 15 ),5237100.799999998882413,5340014.200000000186265,10577115.000000000000000
FS( 16 ),5238592.000000000000000,5340014.200000000186265,10578606.199999999254942
FS( 17 ),5281836.799999999813735,5389149.200000000186265,10670986.000000000000000
FS( 18 ),5310169.599999999627471,5322325.599999998696148,10632495.199999999254942
FS( 19 ),5357887.999999999068677,5245675.000000000000000,10603563.000000000000000
FS( 20 ),5359379.199999999254942,5275155.999999999068677,10634535.199999999254942
FS( 21 ),5283327.999999999068677,5259432.799999999813735,10542760.799999998882413
FS( 22 ),5214732.799999998882413,5149370.399999999441206,10364103.199999999254942
