代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10389770.429999999701977
真實報酬,389770.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,27247.231585365814681
風險,66800.608833163307281
起點值,0.407888970793914
找到最佳解世代,2936
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
GS[8](1),JPM[13](3),
Stock#,GS[8](1),JPM[13](3),
張數,25312,78603,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,120.639999999664724,63.169999999925494,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5044802.240000000223517,5087249.330000000074506,10132051.570000000298023
FS( 3 ),4993925.119999999180436,5062096.370000000111759,10056021.489999998360872
FS( 4 ),4967600.639999999664724,5024366.929999999701977,9991967.570000000298023
FS( 5 ),4996456.319999999366701,5069956.669999999925494,10066412.989999998360872
FS( 6 ),5075176.639999999664724,5147773.639999999664724,10222950.279999999329448
FS( 7 ),5106310.399999999441206,5144629.520000000484288,10250939.919999999925494
FS( 8 ),5075936.000000000000000,5137555.250000000000000,10213491.250000000000000
FS( 9 ),5098716.799999999813735,5150131.729999999515712,10248848.529999999329448
FS( 10 ),5128838.080000000074506,5191791.319999999366701,10320629.399999998509884
FS( 11 ),5137697.279999999329448,5178428.809999999590218,10316126.089999999850988
FS( 12 ),5180474.559999999590218,5220874.429999999701977,10401348.989999998360872
FS( 13 ),5199205.439999999478459,5267250.200000000186265,10466455.640000000596046
FS( 14 ),5191105.599999999627471,5225590.610000000335276,10416696.210000000894070
FS( 15 ),5187815.039999999105930,5238953.120000000111759,10426768.160000000149012
FS( 16 ),5259954.240000000223517,5224804.580000000074506,10484758.820000000298023
FS( 17 ),5224011.199999999254942,5166638.360000000335276,10390649.559999998658895
FS( 18 ),5291847.359999999403954,5224804.580000000074506,10516651.939999999478459
FS( 19 ),5277166.399999999441206,5203581.770000000484288,10480748.169999999925494
FS( 20 ),5219201.919999999925494,5170568.509999999776483,10389770.429999999701977
