訓練日期,20121218 - 20130322
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11534038.790000000968575
真實報酬,1534038.790000000968575

夏普值報酬,0.144703879000000
夏普值風險,0.037048502758998
夏普值,3.905795598308074

預期報酬,21105.373977579678467
風險,66409.003300636220956
趨勢值,0.317808925425892
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,6
AXP[1](7),JNJ[12](3),MMM[16](1),NKE[19](13),UTX[24](5),VZ[26](23),
Stock#,AXP[1](7),JNJ[12](3),MMM[16](1),NKE[19](13),UTX[24](5),VZ[26](23),
張數,29101,23494,17915,68027,20835,37775,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,51.729999999981374,1.640000000130385,33.550000000046566,4.500000000000000,74.350000000093132,33.000000000000000,
20121218,1682671.550000000046566,1666900.940000000176951,1681356.300000000046566,1682312.209999999962747,1713336.400000000139698,1657222.250000000000000,10083803.650000000372529
20121219,1652697.520000000018626,1659382.860000000102445,1666486.849999999860302,1663264.649999999906868,1730004.400000000139698,1638712.500000000000000,10010552.779999999329448
20121220,1670449.129999999888241,1662202.140000000130385,1686372.500000000000000,1683672.750000000000000,1732921.300000000046566,1654955.750000000000000,10090577.570000000298023
20121221,1677724.379999999888241,1650925.020000000018626,1667920.050000000046566,1787754.060000000055879,1719795.250000000232831,1645889.750000000000000,10150012.509999999776483
20121224,1674232.260000000009313,1645051.520000000018626,1669532.399999999906868,1795917.299999999813735,1713544.750000000000000,1644756.500000000000000,10143038.730000000447035
20121226,1662591.860000000102445,1648575.620000000111759,1667382.599999999860302,1746257.590000000083819,1710836.200000000186265,1641356.750000000000000,10077004.620000001043081
20121227,1649787.419999999925494,1646696.100000000325963,1659679.150000000139698,1760543.260000000009313,1710002.800000000046566,1642489.999999999767169,10069202.730000000447035
20121228,1649205.400000000139698,1632364.760000000242144,1644272.250000000000000,1734693.000000000000000,1683750.700000000186265,1620580.500000000000000,9964870.609999999403954
20121231,1672777.209999999962747,1646931.040000000037253,1663441.300000000046566,1755101.100000000093132,1708752.700000000186265,1634557.250000000232831,10081564.600000001490116
20130102,1709735.479999999981374,1664316.600000000325963,1698017.250000000000000,1763264.340000000083819,1750214.350000000093132,1672332.250000000232831,10257884.269999999552965
20130103,1717010.729999999981374,1661967.199999999953434,1696046.600000000093132,1781631.630000000121072,1756673.200000000186265,1664399.500000000000000,10277732.859999999403954
20130104,1734762.339999999850988,1680997.340000000083819,1708587.100000000093132,1798638.380000000121072,1770632.650000000139698,1673465.500000000000000,10367087.309999998658895
20130107,1742037.589999999850988,1677473.240000000223517,1710736.899999999906868,1801359.459999999962747,1762090.300000000046566,1688197.750000000000000,10381899.240000000223517
20130108,1751931.930000000167638,1677708.179999999934807,1710916.050000000046566,1782311.899999999906868,1740838.600000000093132,1628135.500000000000000,10291846.160000000149012
20130109,1753677.989999999990687,1685226.260000000242144,1727218.699999999953434,1784352.709999999962747,1761673.600000000093132,1624358.000000000000000,10336511.259999999776483
20130110,1769101.520000000018626,1696033.500000000000000,1735817.900000000139698,1787754.060000000055879,1770424.300000000046566,1646645.250000000232831,10405780.530000001192093
20130111,1782196.969999999972060,1699792.540000000037253,1724889.750000000000000,1806121.350000000093132,1774799.650000000139698,1635690.500000000000000,10423494.759999999776483
20130114,1781323.939999999944121,1704726.280000000260770,1739221.750000000000000,1809522.700000000186265,1787717.350000000093132,1608870.250000000232831,10431386.270000001415610
20130115,1768228.489999999990687,1700262.420000000158325,1742983.900000000139698,1824488.640000000130385,1791050.949999999953434,1585449.750000000000000,10412468.150000000372529
20130116,1764154.349999999860302,1705196.160000000149012,1748537.550000000046566,1827889.989999999990687,1782925.300000000046566,1568073.250000000000000,10396780.599999999627471
20130117,1767646.469999999972060,1712714.240000000223517,1757136.750000000000000,1819046.479999999981374,1800218.350000000325963,1591493.750000000000000,10448260.039999999105930
20130118,1739709.510000000009313,1720467.260000000242144,1768960.649999999906868,1812924.049999999813735,1811677.600000000093132,1606981.500000000000000,10460724.570000000298023
20130122,1728651.129999999888241,1707780.500000000000000,1779530.500000000000000,1819046.479999999981374,1822511.800000000046566,1622091.500000000000000,10479615.910000000149012
20130123,1714973.659999999916181,1711539.540000000037253,1782396.899999999906868,1806121.350000000093132,1835012.800000000046566,1616425.250000000000000,10466473.500000000000000
20130124,1725741.029999999795109,1717413.040000000037253,1785621.600000000093132,1831971.609999999869615,1852722.550000000046566,1608870.250000000232831,10522344.080000000074506
20130125,1731561.229999999981374,1736678.120000000111759,1802103.400000000139698,1889794.560000000055879,1870849.000000000232831,1611892.250000000000000,10642882.560000000521541
20130128,1719047.800000000046566,1729629.920000000158325,1803178.300000000046566,1853740.250000000000000,1871057.350000000093132,1615669.750000000232831,10592327.370000001043081
20130129,1730106.180000000167638,1748190.179999999934807,1823959.700000000186265,1834012.420000000158325,1870223.950000000186265,1643245.500000000000000,10649741.929999999701977
20130130,1726614.059999999823049,1740672.100000000325963,1805865.550000000046566,1823808.369999999878928,1856472.849999999860302,1647400.750000000000000,10600837.679999999701977
20130131,1711481.540000000037253,1736678.120000000111759,1801386.800000000046566,1838774.310000000055879,1824595.300000000046566,1647400.750000000000000,10560320.820000000298023
20130201,1743492.639999999897555,1742786.560000000288710,1819480.950000000186265,1826529.450000000186265,1871890.750000000232831,1683287.000000000000000,10687471.350000001490116
20130204,1728942.139999999897555,1741141.980000000214204,1805328.099999999860302,1825168.909999999916181,1865640.250000000232831,1681776.000000000232831,10648001.380000000819564
20130205,1765318.389999999897555,1754063.679999999934807,1818226.899999999906868,1833332.149999999906868,1859806.450000000186265,1683287.000000000000000,10714038.570000000298023
20130206,1762408.290000000037253,1771214.300000000046566,1839724.899999999906868,1842175.659999999916181,1862098.300000000279397,1690464.250000000000000,10768089.700000001117587
20130207,1808387.870000000111759,1763461.280000000260770,1831304.850000000093132,1859862.679999999934807,1874182.600000000093132,1679509.500000000000000,10816712.779999999329448
20130208,1798493.529999999795109,1773328.760000000242144,1839187.449999999953434,1857141.600000000093132,1877099.500000000232831,1675354.250000000000000,10820609.089999999850988
20130211,1803731.709999999962747,1771684.179999999934807,1838470.850000000093132,1878229.969999999972060,1867098.700000000186265,1674221.000000000000000,10833440.410000000149012
20130212,1810133.930000000167638,1780846.840000000083819,1853519.449999999953434,1874148.350000000093132,1874807.650000000139698,1678754.000000000000000,10872214.220000000670552
20130213,1807223.830000000074506,1777557.679999999934807,1842770.449999999953434,1855781.060000000055879,1864806.850000000093132,1681776.000000000232831,10829919.869999999180436
20130214,1814208.070000000065193,1781081.780000000260770,1841337.250000000000000,1857821.869999999878928,1868765.500000000000000,1674598.750000000000000,10837817.220000000670552
20130215,1795292.419999999925494,1789304.679999999934807,1849399.000000000232831,1869386.459999999962747,1891475.650000000139698,1677243.000000000000000,10872105.209999999031425
20130219,1812462.010000000009313,1808099.879999999888241,1866418.250000000232831,1853059.979999999981374,1896476.050000000046566,1681020.500000000000000,10917540.669999999925494
20130220,1801694.639999999897555,1800816.740000000223517,1847965.800000000046566,1837413.770000000018626,1878557.949999999953434,1696886.000000000000000,10863338.899999998509884
20130221,1790927.270000000018626,1805985.420000000158325,1840262.350000000093132,1855100.790000000037253,1862931.699999999953434,1704441.000000000000000,10859652.530000001192093
20130222,1820901.300000000046566,1791419.140000000130385,1854952.650000000139698,1853059.979999999981374,1885433.500000000000000,1715018.000000000000000,10920788.570000000298023
20130225,1804895.750000000000000,1775443.219999999972060,1822884.800000000046566,1838094.040000000037253,1841263.300000000279397,1727106.000000000000000,10809691.109999999403954
20130226,1801985.650000000139698,1779672.140000000130385,1832917.200000000186265,1846257.280000000027940,1858556.350000000093132,1742216.000000000000000,10861608.620000001043081
20130227,1818864.229999999981374,1793063.719999999972060,1855490.099999999860302,1848298.090000000083819,1887100.300000000046566,1750904.250000000000000,10953724.689999999478459
20130228,1808678.879999999888241,1788129.980000000214204,1863193.550000000046566,1852379.709999999962747,1886683.600000000093132,1757703.750000000000000,10956773.470000000670552
20130301,1815081.099999999860302,1801991.440000000176951,1859073.099999999860302,1864624.570000000065193,1877932.899999999906868,1764881.000000000000000,10983588.109999999403954
20130304,1830213.620000000111759,1813738.440000000176951,1850294.750000000000000,1861903.489999999990687,1857097.899999999906868,1779613.250000000000000,10992865.450000001117587
20130305,1866007.850000000093132,1824545.679999999934807,1871255.300000000046566,1867345.649999999906868,1896476.050000000046566,1801522.750000000000000,11127157.280000001192093
20130306,1881431.380000000121072,1818202.300000000046566,1875017.449999999953434,1880951.049999999813735,1897517.800000000046566,1786035.000000000000000,11139158.980000000447035
20130307,1878812.290000000037253,1826660.140000000130385,1872867.650000000139698,1878229.969999999972060,1910852.199999999953434,1793589.999999999767169,11161016.250000000000000
20130308,1882886.430000000167638,1836997.500000000000000,1893828.199999999953434,1860542.950000000186265,1918352.800000000046566,1811722.000000000000000,11204333.880000000819564
20130311,1906167.229999999981374,1842871.000000000000000,1895619.700000000186265,1855100.790000000037253,1935854.199999999953434,1806055.750000000000000,11241672.669999999925494
20130312,1900056.020000000251457,1845690.280000000260770,1883437.500000000000000,1819726.750000000000000,1940646.250000000000000,1826832.000000000000000,11216392.800000000745058
20130313,1900347.029999999795109,1845455.340000000083819,1882720.900000000139698,1865985.109999999869615,1939396.150000000139698,1810966.500000000000000,11244875.030000001192093
20130314,1902675.109999999869615,1858377.040000000037253,1899381.849999999860302,1860542.950000000186265,1947105.100000000093132,1831364.999999999767169,11299451.050000000745058
20130315,1923336.820000000065193,1860491.500000000000000,1906189.550000000046566,1863264.030000000027940,1943563.150000000139698,1813988.500000000232831,11310837.550000000745058
20130318,1914315.510000000009313,1851563.780000000260770,1888453.699999999953434,1842175.659999999916181,1932937.300000000046566,1841564.250000000000000,11271014.200000001117587
20130319,1895399.859999999869615,1852738.480000000214204,1884333.250000000232831,1831291.340000000083819,1940021.200000000186265,1849119.250000000000000,11252907.379999998956919
20130320,1920717.729999999981374,1866599.940000000176951,1892932.449999999953434,1865304.840000000083819,1947105.100000000093132,1835898.000000000000000,11328562.060000000521541
20130321,1903548.139999999897555,1856262.580000000307336,1880033.649999999906868,1823128.100000000093132,1925853.400000000139698,1843453.000000000000000,11232282.870000001043081
20130322,1927119.949999999953434,1873413.199999999953434,1906547.850000000093132,2025168.290000000037253,1950022.000000000232831,1851763.500000000232831,11534038.790000000968575
