訓練日期,20110126 - 20110428
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11060408.370000001043081
真實報酬,1060408.370000001043081

夏普值報酬,0.097340837000000
夏普值風險,0.029517744850891
夏普值,3.297705752648679

預期報酬,15938.245470346448201
風險,98412.989364248118363
趨勢值,0.161952660652909
找到最佳解世代,3475
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,3
CVX[5](2),MCD[15](17),PFE[20](1),
Stock#,CVX[5](2),MCD[15](17),PFE[20](1),
張數,35430,44161,180472,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,78.600000000093132,60.719999999739230,15.160000000149012,
20110126,3353173.800000000279397,3319643.089999999850988,3313481.080000000074506,9986298.970000000670552
20110127,3357071.100000000093132,3283431.069999999366701,3335137.720000000204891,9975640.890000000596046
20110128,3308177.700000000186265,3236178.799999999813735,3275581.959999999962747,9819939.460000000894070
20110131,3363448.500000000465661,3253401.589999999850988,3288215.000000000000000,9905066.089999999850988
20110201,3409153.200000000186265,3244569.389999999664724,3468687.000000000000000,10122410.589999999850988
20110202,3418365.000000000465661,3252076.759999999776483,3421764.280000000260770,10092207.039999999105930
20110203,3447771.900000000372529,3260467.349999999627471,3459663.400000000372529,10167903.650000000372529
20110204,3440685.899999999906868,3270182.769999999552965,3483124.760000000242144,10193994.429999999701977
20110207,3460172.399999999906868,3243686.169999999925494,3436202.040000000037253,10140061.609999999403954
20110208,3463006.799999999813735,3328033.679999999701977,3457858.680000000167638,10248900.160000000149012
20110209,3409861.799999999813735,3353205.450000000186265,3438006.760000000242144,10201075.009999999776483
20110210,3426159.600000000093132,3345698.080000000074506,3434397.320000000298023,10206256.000000000000000
20110211,3417302.100000000093132,3362479.259999999776483,3398302.919999999925494,10178085.279999999329448
20110214,3435017.100000000093132,3366895.359999999403954,3438006.760000000242144,10239920.219999998807907
20110215,3413404.800000000279397,3362920.870000000111759,3438006.760000000242144,10214333.429999999701977
20110216,3424742.399999999906868,3357179.939999999478459,3479515.320000000298023,10261438.660000000149012
20110217,3442811.700000000186265,3355413.500000000000000,3495757.800000000279397,10293984.000000000000000
20110218,3497728.200000000186265,3362037.649999999441206,3463272.840000000316650,10323039.689999999478459
20110222,3554416.199999999720603,3343048.419999999925494,3409131.240000000223517,10306596.859999999403954
20110223,3623504.699999999720603,3320526.309999999590218,3385669.880000000353903,10329701.890000000596046
20110224,3615001.500000000000000,3321409.529999999329448,3410935.959999999962747,10347347.989999998360872
20110225,3617481.600000000093132,3287405.559999999590218,3403717.080000000074506,10308605.240000000223517
20110228,3675941.100000000093132,3342165.200000000186265,3472296.439999999944121,10490403.740000000223517
20110301,3645825.600000000093132,3307278.009999999776483,3454249.240000000223517,10407353.849999999627471
20110302,3666020.700000000186265,3298445.809999999590218,3463272.840000000316650,10427740.349999999627471
20110303,3691530.299999999813735,3366895.359999999403954,3567946.600000000093132,10626373.259999999776483
20110304,3675941.100000000093132,3357621.549999999813735,3548094.680000000167638,10581658.330000000074506
20110307,3649722.900000000372529,3369103.410000000149012,3539071.080000000074506,10557898.390000000596046
20110308,3676649.699999999720603,3335982.660000000149012,3551704.120000000111759,10564337.480000000447035
20110309,3618898.800000000279397,3346581.299999999813735,3548094.680000000167638,10513575.779999999329448
20110310,3510483.000000000000000,3386326.200000000186265,3493953.080000000074506,10390763.280000001192093
20110311,3540598.500000000465661,3388534.250000000000000,3513805.000000000000000,10442938.750000000000000
20110314,3571422.600000000093132,3341723.589999999850988,3575165.479999999981374,10488312.669999999925494
20110315,3586657.500000000465661,3317435.040000000037253,3566141.880000000353903,10470235.420000001788139
20110316,3525717.900000000372529,3240594.899999999441206,3483124.760000000242144,10249438.560000000521541
20110317,3622441.799999999813735,3241478.120000000111759,3587798.520000000018626,10451719.439999999478459
20110318,3642282.600000000093132,3223372.109999999403954,3641940.120000000111759,10507595.829999998211861
20110321,3726960.299999999813735,3257376.080000000074506,3605845.720000000204891,10590183.099999999627471
20110322,3728377.500000000465661,3262233.790000000037253,3598626.840000000316650,10589239.130000000819564
20110323,3737235.000000000465661,3291380.049999999813735,3595017.400000000372529,10623633.450000001117587
20110324,3733692.000000000000000,3309044.450000000186265,3663596.760000000242144,10706334.210000000894070
20110325,3783294.000000000000000,3323175.969999999739230,3672620.360000000335276,10779091.330000000074506
20110328,3757075.800000000279397,3312135.719999999739230,3658182.600000000093132,10727395.119999999180436
20110329,3804197.700000000186265,3328475.290000000037253,3678034.520000000018626,10810708.509999999776483
20110330,3826872.900000000372529,3347906.129999999888241,3670815.640000000130385,10845595.669999999925494
20110331,3808449.299999999813735,3360271.209999999962747,3665401.479999999981374,10834122.990000000223517
20110401,3837856.199999999720603,3355855.109999999403954,3678034.520000000018626,10871746.829999998211861
20110404,3834667.500000000465661,3373519.509999999776483,3706910.040000000037253,10915098.050000000745058
20110405,3873640.500000000000000,3382793.319999999366701,3690667.560000000055879,10947102.379999998956919
20110406,3849902.399999999906868,3388092.639999999664724,3661792.040000000037253,10899788.079999998211861
20110407,3859822.799999999813735,3356738.330000000074506,3669010.919999999925494,10885573.050000000745058
20110408,3885332.399999999906868,3358063.160000000149012,3692472.280000000260770,10935868.839999999850988
20110411,3818724.000000000000000,3367336.969999999739230,3730371.400000000372529,10916433.370000001043081
20110412,3691176.000000000465661,3385442.979999999515712,3692472.280000000260770,10769092.260000001639128
20110413,3678066.900000000372529,3395600.009999999776483,3692472.280000000260770,10766140.190000001341105
20110414,3715977.000000000000000,3403548.989999999292195,3697886.439999999944121,10817413.429999999701977
20110415,3764161.799999999813735,3417238.899999999441206,3705105.320000000298023,10886507.019999999552965
20110418,3702513.600000000093132,3400457.719999999739230,3681643.959999999962747,10784616.280000001192093
20110419,3734400.600000000093132,3382793.319999999366701,3705105.320000000298023,10822300.240000000223517
20110420,3819786.900000000372529,3462283.120000000111759,3679839.240000000223517,10961910.260000001639128
20110421,3831124.500000000000000,3396483.229999999515712,3571556.040000000037253,10799164.769999999552965
20110425,3805969.200000000186265,3406198.649999999441206,3634721.240000000223517,10846890.089999999850988
20110426,3853091.100000000093132,3397808.059999999590218,3643744.840000000316650,10894645.000000000000000
20110427,3860885.700000000186265,3438877.790000000037253,3723152.520000000018626,11022917.009999999776483
20110428,3855216.900000000372529,3445943.549999999813735,3759246.919999999925494,11060408.370000001043081
