訓練日期,20120719 - 20121018
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11541437.160000000149012
真實報酬,1541437.160000000149012

夏普值報酬,0.145443716000000
夏普值風險,0.039888997833976
夏普值,3.646211333896058

預期報酬,23965.451832488124637
風險,82413.346261306753149
趨勢值,0.290795762090538
找到最佳解世代,2412
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](3),HD[9](1),PFE[20](8),UNH[23](28),WBA[27](11),
Stock#,GS[8](3),HD[9](1),PFE[20](8),UNH[23](28),WBA[27](11),
張數,20723,39285,84495,35492,64578,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,23.269999999785796,0.650000000139698,3.349999999860302,25.800000000046566,19.340000000083819,
20120719,1968708.269999999785796,2001964.250000000232831,2010984.349999999860302,1951730.880000000121072,2235709.700000000186265,10169097.449999999254942
20120720,1951300.949999999720603,1991750.150000000139698,2002534.849999999860302,1966637.520000000018626,2234418.140000000596046,10146641.609999999403954
20120723,1930577.949999999720603,2001964.250000000232831,1994085.350000000093132,1934694.719999999972060,2190505.100000000558794,10051827.370000001043081
20120724,1957725.079999999841675,2010214.100000000093132,1975496.449999999720603,1948536.600000000093132,2202774.919999999925494,10094747.149999998509884
20120725,1988602.349999999627471,2006285.600000000093132,1971271.699999999720603,1862645.959999999962747,2237647.040000000037253,10066452.649999998509884
20120726,2032120.649999999906868,2078570.000000000000000,1984790.899999999674037,1845964.719999999972060,2258312.000000000000000,10199758.269999999552965
20120727,2106308.990000000223517,2109998.000000000000000,2013519.199999999720603,1893169.080000000074506,2306745.500000000000000,10429740.769999999552965
20120730,2090559.509999999776483,2091926.900000000139698,2003379.800000000046566,1890329.719999999972060,2342263.400000000372529,10418459.330000000074506
20120731,2090973.969999999972060,2049891.950000000186265,2031263.149999999674037,1813312.080000000074506,2348075.419999999925494,10333516.570000000298023
20120801,2074188.339999999850988,2030249.450000000186265,2022813.649999999906868,1817571.120000000111759,2342263.400000000372529,10287085.960000000894070
20120802,2026939.899999999906868,2018856.800000000046566,2021123.750000000000000,1813667.000000000000000,2308682.839999999850988,10189270.289999999105930
20120803,2092631.809999999823049,2054213.300000000046566,2051541.949999999953434,1831767.919999999925494,2311911.740000000223517,10342066.719999998807907
20120806,2114183.729999999515712,2042820.650000000139698,2049852.050000000046566,1810117.800000000046566,2311265.959999999962747,10328240.189999999478459
20120807,2139465.790000000037253,2058534.650000000139698,2005914.649999999674037,1864775.479999999981374,2326764.679999999701977,10395455.250000000000000
20120808,2124130.769999999552965,2073855.800000000046566,2013519.199999999720603,1871518.959999999962747,2340326.060000000521541,10423350.789999999105930
20120809,2146926.069999999366701,2087998.400000000139698,2016899.000000000000000,1846319.640000000130385,2330639.360000000335276,10428782.469999998807907
20120810,2134906.729999999515712,2084462.750000000232831,2022813.649999999906868,1842060.600000000093132,2335805.600000000558794,10420049.329999998211861
20120813,2147133.299999999813735,2075034.350000000093132,2004224.749999999767169,1842060.600000000093132,2322890.000000000000000,10391343.000000000000000
20120814,2139880.250000000000000,2149283.000000000000000,2026193.449999999953434,1844545.040000000037253,2306099.719999999739230,10466001.460000000894070
20120815,2137186.259999999776483,2160675.650000000372529,2031263.149999999674037,1874713.239999999990687,2296413.020000000484288,10500251.320000000298023
20120816,2144646.540000000037253,2212139.000000000000000,2029573.249999999767169,1894943.680000000167638,2293829.900000000372529,10575132.370000001043081
20120817,2146926.069999999366701,2228638.700000000186265,2010139.399999999674037,1885715.760000000242144,2314494.860000000335276,10585914.789999999105930
20120820,2181740.709999999962747,2222353.100000000558794,2020278.799999999813735,1888200.200000000186265,2326764.679999999701977,10639337.490000000223517
20120821,2182569.629999999888241,2212531.850000000558794,2001689.899999999906868,1896008.440000000176951,2302225.040000000037253,10595024.860000001266599
20120822,2169099.679999999701977,2225103.049999999813735,2002534.849999999860302,1915529.040000000037253,2295767.240000000223517,10608033.859999999403954
20120823,2156873.109999999403954,2221567.400000000372529,2005914.649999999674037,1913754.440000000176951,2302870.820000000298023,10600980.419999999925494
20120824,2175109.349999999627471,2237674.250000000000000,2028728.300000000046566,1922272.520000000018626,2302225.040000000037253,10666009.460000000894070
20120827,2178425.030000000260770,2226281.600000000558794,2018588.899999999906868,1938243.919999999925494,2298996.140000000596046,10660535.590000001713634
20120828,2176559.959999999962747,2220781.700000000186265,2015209.100000000093132,1928306.159999999916181,2286080.540000000037253,10626937.460000000894070
20120829,2186921.459999999962747,2232960.049999999813735,2024503.550000000046566,1939308.680000000167638,2279622.740000000223517,10663316.480000000447035
20120830,2170135.830000000074506,2224317.349999999627471,2014364.149999999906868,1941083.280000000027940,2273810.719999999739230,10623711.330000000074506
20120831,2190858.830000000074506,2229424.400000000372529,2016054.049999999813735,1927241.399999999906868,2309328.620000000111759,10672907.300000000745058
20120904,2205157.699999999254942,2230995.799999999813735,2009294.449999999953434,1936469.320000000065193,2305453.940000000409782,10687371.210000000894070
20120905,2278309.889999999664724,2221174.549999999813735,2021123.750000000000000,1926531.560000000055879,2317077.980000000447035,10764217.730000000447035
20120906,2352912.689999999478459,2264780.900000000372529,2056611.649999999906868,1948181.680000000167638,2273164.940000000409782,10895651.859999999403954
20120907,2410729.859999999403954,2249459.750000000000000,2048162.149999999674037,1947826.760000000242144,2256374.660000000149012,10912553.179999999701977
20120910,2376536.910000000149012,2251031.150000000372529,2036332.850000000093132,1907365.880000000121072,2269290.259999999776483,10840557.050000000745058
20120911,2418190.139999999664724,2228245.850000000558794,2042247.500000000000000,1874003.399999999906868,2267352.919999999925494,10830039.810000000521541
20120912,2450310.790000000037253,2241209.900000000372529,2033798.000000000000000,1874713.239999999990687,2283497.419999999925494,10883529.349999999627471
20120913,2500667.679999999701977,2290316.150000000372529,2049007.099999999860302,1912689.680000000167638,2326118.900000000372529,11078799.509999999776483
20120914,2514966.549999999813735,2335886.750000000000000,2010984.349999999860302,1925466.800000000046566,2326118.900000000372529,11113423.349999999627471
20120917,2484710.969999999739230,2314280.000000000000000,2029573.249999999767169,1933629.959999999962747,2305453.940000000409782,11067648.120000001043081
20120918,2484296.509999999776483,2312315.750000000000000,2028728.300000000046566,1956699.760000000242144,2302870.820000000298023,11084911.140000000596046
20120919,2466474.729999999515712,2336279.600000000558794,2041402.549999999813735,1950311.200000000186265,2312557.520000000484288,11107025.600000001490116
20120920,2437669.759999999776483,2328815.450000000186265,2062526.299999999813735,1949956.280000000027940,2295767.240000000223517,11074735.029999999329448
20120921,2418811.830000000074506,2334315.350000000558794,2071820.749999999767169,1993966.360000000102445,2267352.919999999925494,11086267.210000000894070
20120924,2416325.069999999366701,2333136.799999999813735,2091254.599999999860302,1986867.959999999962747,2303516.600000000558794,11131101.030000001192093
20120925,2352083.769999999552965,2346100.850000000558794,2098859.149999999441206,1994676.200000000186265,2329347.799999999813735,11121067.769999999552965
20120926,2343380.109999999403954,2324494.100000000558794,2098014.199999999254942,1979769.560000000055879,2313203.299999999813735,11058861.269999999552965
20120927,2387934.559999999590218,2352386.450000000186265,2108998.549999999813735,1996095.880000000121072,2363574.140000000596046,11208989.580000000074506
20120928,2355813.910000000149012,2371636.099999999627471,2099704.099999999627471,1966637.520000000018626,2353241.660000000149012,11147033.289999999105930
20121001,2421713.049999999813735,2379493.100000000558794,2115758.149999999441206,2003904.120000000111759,2386176.440000000409782,11307044.859999999403954
20121002,2429795.019999999552965,2370064.700000000186265,2122517.750000000000000,2015971.399999999906868,2383593.320000000298023,11321942.189999999478459
20121003,2443472.199999999254942,2426635.100000000558794,2139416.750000000000000,2018100.919999999925494,2348075.419999999925494,11375700.389999998733401
20121004,2484710.969999999739230,2425456.549999999813735,2141951.599999999627471,2057497.040000000037253,2348721.200000000186265,11458337.359999999403954
20121005,2472484.399999999441206,2482812.650000000372529,2156315.750000000000000,2027683.760000000242144,2333222.480000000447035,11472519.040000000968575
20121008,2475592.849999999627471,2430956.450000000186265,2146176.349999999627471,2044365.000000000000000,2319661.100000000558794,11416751.750000000000000
20121009,2479115.759999999776483,2394421.400000000372529,2138571.799999999813735,2039751.040000000037253,2298996.140000000596046,11350856.140000000596046
20121010,2488441.109999999403954,2346886.549999999813735,2125897.549999999813735,2026973.919999999925494,2300933.480000000447035,11289132.609999999403954
20121011,2528022.040000000037253,2318208.500000000000000,2122517.750000000000000,2046494.520000000018626,2331285.140000000596046,11346527.950000001117587
20121012,2490927.870000000111759,2339815.250000000000000,2122517.750000000000000,2025554.239999999990687,2320952.660000000149012,11299767.769999999552965
20121015,2580036.769999999552965,2382635.900000000372529,2160540.500000000000000,2040460.880000000121072,2335805.600000000558794,11499479.650000002235174
20121016,2553511.330000000074506,2390885.750000000000000,2179974.349999999627471,2018810.760000000242144,2348721.200000000186265,11491903.390000000596046
20121017,2588740.429999999701977,2411706.799999999813735,2183354.149999999441206,1987222.880000000121072,2313849.080000000074506,11484873.339999999850988
20121018,2593506.719999999739230,2427813.650000000372529,2200253.149999999441206,1987932.719999999972060,2331930.919999999925494,11541437.160000000149012
