訓練日期,20170420 - 20170721
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11158498.030000001192093
真實報酬,1158498.030000001192093

夏普值報酬,0.107149803000000
夏普值風險,0.029561727821286
夏普值,3.624612324684482

預期報酬,16580.100793679612252
風險,58440.012361299930490
趨勢值,0.283711452543416
找到最佳解世代,2453
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](4),JNJ[12](3),KO[14](12),MCD[15](5),NKE[19](24),
Stock#,BA[2](4),JNJ[12](3),KO[14](12),MCD[15](5),NKE[19](24),
張數,11210,16478,46264,15078,35803,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,136.000000000000000,65.139999999897555,7.280000000260770,54.080000000307336,44.419999999925494,
20170420,2010089.000000000232831,2008239.000000000000000,1993523.040000000502914,2009499.140000000363216,2019333.619999999878928,10040683.800000000745058
20170421,2022195.800000000046566,2006426.419999999925494,1992597.760000000242144,2011610.060000000288710,1999641.969999999972060,10032472.010000001639128
20170424,2041028.600000000093132,2025046.559999999823049,2002313.200000000419095,2023974.020000000251457,1986036.829999999841675,10078399.210000000894070
20170425,2057283.099999999860302,2033944.679999999934807,1994448.320000000298023,2136606.679999999701977,1985320.770000000018626,10207603.549999998882413
20170426,2037105.100000000093132,2035262.919999999925494,2000462.640000000363216,2123639.600000000558794,1974937.899999999906868,10171408.160000000149012
20170427,2054032.199999999953434,2039052.859999999869615,1989821.920000000158325,2124091.940000000409782,1986036.829999999841675,10193035.750000000000000
20170428,2072080.300000000046566,2034603.799999999813735,1996298.880000000121072,2109918.620000000111759,1983888.649999999906868,10196790.250000000000000
20170501,2044727.899999999906868,2032461.659999999916181,1999537.360000000102445,2128313.780000000260770,1968851.389999999897555,10173892.089999999850988
20170502,2056498.399999999906868,2038393.739999999990687,2007402.240000000223517,2129520.020000000484288,1971715.629999999888241,10203530.030000001192093
20170503,2055937.899999999906868,2032296.879999999888241,2004163.760000000242144,2150478.440000000409782,1952382.010000000009313,10195258.990000000223517
20170504,2052350.699999999953434,2042513.239999999990687,2019893.520000000018626,2162993.179999999701977,1950233.829999999841675,10227984.469999998807907
20170505,2074098.099999999860302,2035262.919999999925494,2021281.440000000176951,2170682.959999999962747,1931616.270000000018626,10232941.689999999478459
20170508,2085420.200000000186265,2030978.639999999897555,2030534.240000000223517,2174904.800000000745058,1944147.319999999832362,10265985.200000001117587
20170509,2095397.099999999860302,2030319.519999999785796,2012953.920000000158325,2176714.160000000149012,1965271.089999999850988,10280655.789999999105930
20170510,2053583.800000000046566,2023728.319999999832362,2015729.760000000242144,2179126.640000000596046,1953456.100000000093132,10225624.620000001043081
20170511,2062103.399999999906868,2030154.739999999990687,2020356.160000000381842,2174452.459999999962747,1941999.139999999897555,10229065.900000000372529
20170512,2054368.500000000000000,2037405.059999999823049,2016655.040000000502914,2191792.160000000149012,1940567.020000000018626,10240787.779999999329448
20170515,2044727.899999999906868,2092606.359999999869615,2023132.000000000000000,2205663.919999999925494,1925171.729999999981374,10291301.910000000149012
20170516,2048202.999999999767169,2105459.200000000186265,2028683.680000000400469,2220892.700000000186265,1889726.760000000009313,10292965.340000001713634
20170517,2004259.800000000046566,2087333.399999999906868,2032384.800000000279397,2207624.060000000521541,1854639.819999999832362,10186241.880000000819564
20170518,1988790.000000000000000,2092276.799999999813735,2026370.480000000214204,2216670.860000000335276,1850343.459999999962747,10174451.600000001490116
20170519,2026455.599999999860302,2092771.139999999897555,2030996.880000000121072,2233859.780000000260770,1853565.729999999981374,10237649.130000000819564
20170522,2059076.699999999953434,2097055.419999999925494,2043950.800000000279397,2234462.900000000372529,1846405.129999999888241,10280950.949999999254942
20170523,2057058.900000000139698,2101339.700000000186265,2053666.240000000223517,2228884.040000000037253,1868961.020000000018626,10309909.900000000372529
20170524,2076788.500000000000000,2101174.919999999925494,2083275.200000000419095,2254215.080000000074506,1862158.449999999953434,10377612.149999998509884
20170525,2097190.700000000186265,2101504.479999999515712,2100855.520000000018626,2258436.919999999925494,1874331.469999999972060,10432319.089999999850988
20170526,2091809.900000000139698,2091452.899999999906868,2099930.240000000223517,2259643.160000000149012,1882924.189999999944121,10425760.389999998733401
20170530,2095060.800000000046566,2094583.719999999972060,2101780.800000000279397,2260698.620000000111759,1894739.179999999934807,10446863.120000001043081
20170531,2103468.299999999813735,2113368.639999999664724,2103631.360000000335276,2275173.500000000000000,1897245.389999999897555,10492887.190000001341105
20170601,2099993.199999999720603,2122101.979999999515712,2118435.840000000316650,2297790.500000000000000,1872541.319999999832362,10510862.839999999850988
20170602,2132614.299999999813735,2143523.379999999888241,2123062.240000000223517,2318145.800000000745058,1896887.359999999869615,10614233.080000000074506
20170605,2118265.500000000000000,2148137.219999999739230,2127688.640000000130385,2303821.700000000186265,1897961.449999999953434,10595874.509999997913837
20170606,2093603.500000000000000,2155881.879999999888241,2127226.000000000000000,2280300.020000000484288,1878985.859999999869615,10535997.259999999776483
20170607,2108737.000000000000000,2154563.639999999664724,2105481.920000000391155,2291005.400000000372529,1905838.109999999869615,10565626.070000000298023
20170608,2129251.300000000279397,2151268.040000000037253,2087901.600000000325963,2283315.620000000111759,1904764.020000000018626,10556500.580000000074506
20170609,2130372.299999999813735,2167416.479999999515712,2096691.760000000242144,2284069.520000000484288,1914072.800000000046566,10592622.859999999403954
20170612,2130036.000000000000000,2172195.099999999627471,2097154.400000000372529,2238684.740000000223517,1934480.510000000009313,10572550.750000000000000
20170613,2142254.899999999906868,2175490.700000000186265,2083275.200000000419095,2259040.040000000037253,1944505.350000000093132,10604566.189999999478459
20170614,2156715.799999999813735,2187849.200000000186265,2095766.480000000214204,2272007.120000000111759,1957036.399999999906868,10669375.000000001862645
20170615,2191130.500000000000000,2192298.259999999776483,2093453.280000000260770,2279395.339999999850988,1894023.119999999878928,10650300.499999998137355
