訓練日期,20130814 - 20131113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11664045.120000001043081
真實報酬,1664045.120000001043081

夏普值報酬,0.157704512000000
夏普值風險,0.054837977575122
夏普值,2.875826552574116

預期報酬,22387.783105428930867
風險,214834.221355690766359
趨勢值,0.104209575942571
找到最佳解世代,2301
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](8),MSFT[18](7),NKE[19](2),
Stock#,BA[2](1),DD[7](8),MSFT[18](7),NKE[19](2),
張數,23533,46347,77567,75964,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,89.409999999683350,42.820000000298023,15.590000000316650,24.760000000242144,
20130814,2451286.689999999478459,2491657.540000000037253,2509308.040000000502914,2443786.640000000596046,9896038.910000000149012
20130815,2417634.500000000000000,2452262.590000000316650,2465870.520000000018626,2411881.760000000242144,9747649.369999999180436
20130816,2435048.919999999459833,2434650.730000000447035,2466646.190000000409782,2417958.879999999888241,9754304.720000000670552
20130819,2464465.169999999459833,2417502.340000000316650,2434843.720000000204891,2457460.160000000149012,9774271.390000000596046
20130820,2462347.199999999720603,2438821.959999999962747,2452684.130000000353903,2455181.240000000223517,9809034.530000001192093
20130821,2445403.439999999478459,2451335.650000000372529,2451908.460000000428408,2436190.240000000223517,9784837.790000000968575
20130822,2474349.029999999795109,2454579.940000000409782,2512410.720000000204891,2463537.280000000260770,9904876.970000002533197
20130823,2482350.250000000000000,2557006.810000000521541,2695468.840000000316650,2438469.160000000149012,10173295.060000000521541
20130826,2483526.899999999906868,2550981.700000000186265,2648928.640000000130385,2427834.200000000186265,10111271.440000001341105
20130827,2428930.339999999385327,2479143.850000000558794,2579894.010000000242144,2386054.000000000465661,9874022.199999999254942
20130828,2430342.319999999366701,2471728.330000000074506,2561277.930000000633299,2407323.920000000391155,9870672.500000000000000
20130829,2469407.099999999627471,2476363.030000000260770,2602388.439999999944121,2411122.120000000111759,9959280.690000001341105
20130830,2445638.769999999552965,2468484.040000000037253,2590753.390000000130385,2386054.000000000465661,9890930.199999999254942
20130903,2471289.739999999757856,2471264.860000000335276,2472851.550000000279397,2442267.360000000335276,9857673.510000001639128
20130904,2503294.619999999646097,2493511.420000000391155,2420105.990000000223517,2474172.240000000223517,9891084.269999999552965
20130905,2509883.859999999869615,2535223.720000000204891,2423208.670000000391155,2483287.919999999925494,9951604.169999999925494
20130906,2496234.719999999739230,2544956.590000000316650,2416227.640000000130385,2468095.120000000577420,9925514.070000002160668
20130909,2522591.679999999701977,2561641.510000000242144,2455786.810000000521541,2484047.560000000521541,10024067.560000000521541
20130910,2545654.019999999552965,2639041.000000000000000,2512410.720000000204891,2537982.000000000000000,10235087.740000000223517
20130911,2570599.000000000000000,2630235.070000000298023,2539559.170000000391155,2567607.959999999962747,10308001.199999999254942
20130912,2584012.809999999590218,2564885.800000000279397,2535680.820000000298023,2585839.320000000298023,10270418.750000000000000
20130913,2620018.299999999813735,2631625.480000000447035,2562053.600000000558794,2579762.200000000186265,10393459.580000001937151
20130916,2722151.519999999552965,2626990.780000000260770,2544213.189999999944121,2590397.160000000149012,10483752.650000000372529
20130917,2756039.039999999571592,2620965.670000000391155,2554296.900000000372529,2594955.000000000000000,10526256.609999999403954
20130918,2786396.609999999869615,2696974.750000000000000,2584548.030000000260770,2639014.120000000577420,10706933.509999999776483
20130919,2801457.729999999981374,2680289.830000000074506,2609369.470000000204891,2639773.760000000242144,10730890.790000000968575
20130920,2744743.199999999720603,2620502.200000000186265,2543437.520000000018626,2635215.919999999925494,10543898.839999999850988
20130923,2765452.239999999757856,2589913.180000000633299,2539559.170000000391155,2620023.120000000577420,10514947.710000000894070
20130924,2800516.409999999683350,2581570.720000000204891,2517840.410000000614673,2637494.840000000316650,10537422.380000000819564
20130925,2788985.239999999757856,2630698.540000000037253,2521718.760000000242144,2617744.200000000186265,10559146.739999998360872
20130926,2809458.949999999720603,2639504.470000000204891,2541886.180000000633299,2671678.640000000596046,10662528.240000002086163
20130927,2794397.829999999608845,2575545.610000000335276,2580669.680000000633299,2797019.240000000223517,10747632.359999999403954
20130930,2765216.909999999683350,2534760.250000000000000,2581445.350000000558794,2759037.240000000223517,10640459.750000000000000
20131001,2771100.159999999683350,2528735.140000000596046,2604715.450000000186265,2750681.200000000186265,10655231.950000001117587
20131002,2773218.129999999888241,2554225.990000000223517,2631088.230000000447035,2730930.560000000521541,10689462.910000000149012
20131003,2712032.329999999608845,2558860.690000000409782,2626434.210000000428408,2721055.240000000223517,10618382.470000000670552
