訓練日期,20180410 - 20180711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11176983.419999999925494
真實報酬,1176983.419999999925494

夏普值報酬,0.108998342000000
夏普值風險,0.030854540227209
夏普值,3.532651635621546

預期報酬,17325.054806811505841
風險,97175.285602537565865
趨勢值,0.178286636353957
找到最佳解世代,1852
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](1),NKE[19](5),PG[21](27),UNH[23](2),V[25](3),VZ[26](11),
Stock#,HD[9](1),NKE[19](5),PG[21](27),UNH[23](2),V[25](3),VZ[26](11),
張數,9661,24808,21323,7482,14030,35521,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,46.890000000130385,64.559999999823049,60.320000000065193,200.140000000130385,42.299999999813735,20.679999999934807,
20180410,1676133.780000000260770,1662200.559999999823049,1671143.830000000074506,1697042.920000000158325,1693743.899999999906868,1714619.350000000093132,10114888.339999999850988
20180411,1670047.350000000325963,1657983.199999999720603,1669011.530000000027940,1660455.940000000176951,1680555.699999999720603,1690109.859999999869615,10028167.580000000074506
20180412,1674877.850000000325963,1681302.719999999739230,1658776.490000000223517,1677963.820000000298023,1698654.399999999674037,1695793.219999999972060,10087372.500000001862645
20180413,1669467.690000000176951,1668402.559999999823049,1671143.830000000074506,1678263.100000000093132,1694164.799999999813735,1692951.539999999804422,10074397.519999999552965
20180416,1685215.120000000111759,1663689.039999999804422,1676261.350000000093132,1723454.380000000121072,1710018.699999999720603,1718881.869999999878928,10177524.459999999031425
20180417,1689852.400000000139698,1674852.639999999897555,1672423.210000000195578,1785031.240000000223517,1736956.299999999813735,1735221.530000000027940,10294341.319999998435378
20180418,1737577.739999999990687,1642354.159999999916181,1667518.920000000158325,1768944.940000000176951,1736956.299999999813735,1727051.699999999953434,10280407.759999999776483
20180419,1710816.770000000251457,1630694.399999999906868,1598219.170000000158325,1764156.459999999962747,1739201.099999999627471,1720302.709999999962747,10163394.609999999403954
20180420,1710140.500000000000000,1639625.279999999795109,1573697.719999999972060,1758919.060000000055879,1742568.299999999813735,1701476.579999999841675,10126431.439999999478459
20180423,1716420.150000000139698,1659223.599999999627471,1556639.320000000065193,1753532.020000000251457,1746216.099999999627471,1728472.539999999804422,10160507.730000000447035
20180424,1702894.750000000000000,1661456.319999999832362,1545977.820000000065193,1752634.180000000167638,1701460.399999999674037,1764348.750000000000000,10128776.219999998807907
20180425,1713811.679999999934807,1654013.919999999925494,1541713.219999999972060,1752634.180000000167638,1700618.599999999627471,1779622.780000000027940,10142418.379999998956919
20180426,1794287.810000000055879,1688248.959999999729916,1551308.570000000065193,1773658.600000000093132,1782974.699999999720603,1767545.639999999897555,10358028.279999999329448
20180427,1801436.950000000186265,1725709.039999999804422,1552587.950000000186265,1797226.900000000139698,1767962.599999999860302,1831838.649999999906868,10476766.090000001713634
20180430,1785399.690000000176951,1696683.679999999934807,1542566.140000000130385,1768944.940000000176951,1780168.699999999720603,1752982.030000000027940,10326749.179999999701977
20180501,1783757.320000000065193,1689489.359999999636784,1534463.399999999906868,1772311.840000000083819,1789007.599999999860302,1734155.899999999906868,10303189.419999999925494
20180502,1796123.400000000139698,1693458.639999999897555,1512713.939999999944121,1746947.860000000102445,1773153.699999999720603,1696148.429999999934807,10218549.970000000670552
20180503,1769845.480000000214204,1659719.760000000009313,1521669.600000000093132,1752110.440000000176951,1784377.699999999953434,1699345.320000000065193,10187072.300000000745058
20180504,1787621.720000000204891,1689489.359999999636784,1544485.210000000195578,1765203.940000000176951,1798127.099999999860302,1711777.669999999925494,10296709.000000000000000
20180507,1773420.050000000046566,1720251.279999999795109,1534889.860000000102445,1749342.100000000093132,1813560.099999999627471,1695438.009999999776483,10286905.400000000372529
20180508,1787718.330000000074506,1698420.239999999757856,1523375.439999999944121,1736248.600000000093132,1822539.299999999813735,1670218.100000000093132,10238524.009999999776483
20180509,1800470.850000000325963,1685768.159999999916181,1543205.830000000074506,1715149.360000000102445,1835727.499999999767169,1647484.659999999916181,10227810.359999999403954
