訓練日期,20180406 - 20180709
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11005070.750000000000000
真實報酬,1005070.750000000000000

夏普值報酬,0.091807075000000
夏普值風險,0.030608151839939
夏普值,2.999432160428805

預期報酬,15304.603459243049656
風險,110227.593439505610149
趨勢值,0.138845483074457
找到最佳解世代,1740
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](6),MRK[17](4),NKE[19](10),V[25](1),VZ[26](17),XOM[29](5),
Stock#,HD[9](6),MRK[17](4),NKE[19](10),V[25](1),VZ[26](17),XOM[29](5),
張數,9304,30564,23949,13752,34549,21924,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,40.479999999981374,11.080000000074506,55.089999999850988,61.120000000111759,22.239999999990687,3.520000000018626,
20180406,1623123.279999999795109,1630906.120000000111759,1617810.039999999804422,1618671.520000000251457,1640408.759999999776483,1641453.400000000139698,9772377.119999999180436
20180409,1605073.519999999785796,1716485.320000000065193,1608948.909999999916181,1633661.200000000186265,1621061.320000000065193,1641453.400000000139698,9826687.669999999925494
20180410,1614191.440000000176951,1726571.440000000176951,1604638.089999999850988,1660202.560000000055879,1667702.470000000204891,1689686.199999999953434,9962996.200000001117587
20180411,1608329.920000000158325,1717707.880000000121072,1600566.759999999776483,1647275.680000000167638,1643863.659999999916181,1697578.840000000083819,9915326.740000000223517
20180412,1612981.920000000158325,1734212.440000000176951,1623078.819999999832362,1665015.760000000009313,1649391.500000000000000,1692974.800000000046566,9977659.240000000223517
20180413,1607771.680000000167638,1747354.960000000195578,1610625.339999999850988,1660615.120000000111759,1646627.579999999841675,1706567.680000000167638,9979566.360000001266599
20180416,1622937.199999999953434,1792589.679999999934807,1606075.029999999795109,1676154.880000000121072,1671848.350000000093132,1721914.480000000214204,10091523.620000001043081
20180417,1627403.119999999878928,1811539.360000000102445,1616852.080000000074506,1702558.719999999972060,1687740.890000000130385,1717310.439999999944121,10163408.609999999403954
20180418,1673364.879999999888241,1800841.960000000195578,1585478.889999999897555,1702558.719999999972060,1679794.619999999878928,1736822.800000000046566,10178865.869999999180436
20180419,1647592.800000000046566,1792284.040000000037253,1574222.859999999869615,1704759.040000000037253,1673230.310000000055879,1741207.600000000093132,10133300.649999998509884
20180420,1646941.519999999785796,1798091.199999999953434,1582844.500000000000000,1708059.520000000251457,1654919.339999999850988,1731999.520000000018626,10122859.599999999627471
20180423,1652989.119999999878928,1841492.080000000074506,1601764.209999999729916,1711635.040000000037253,1681176.579999999841675,1744496.199999999953434,10233557.229999998584390
20180424,1639963.519999999785796,1836601.840000000083819,1603919.619999999878928,1667766.160000000149012,1716071.070000000065193,1717748.919999999925494,10182075.129999998956919
20180425,1650477.039999999804422,1822542.400000000139698,1596734.919999999925494,1666941.040000000037253,1730927.140000000130385,1742961.520000000018626,10210588.059999998658895
20180426,1727979.359999999869615,1815818.320000000065193,1629784.539999999804422,1747665.280000000027940,1719180.479999999981374,1772778.159999999916181,10413210.140000000596046
20180427,1734864.320000000065193,1817652.160000000149012,1665947.529999999795109,1732950.640000000130385,1781714.169999999925494,1705471.480000000214204,10438604.300000000745058
20180430,1719419.680000000167638,1799313.760000000009313,1637927.199999999953434,1744914.880000000121072,1705015.390000000130385,1704594.520000000018626,10311189.429999999701977
20180501,1717838.000000000000000,1772111.800000000046566,1630981.989999999757856,1753578.640000000130385,1686704.419999999925494,1687055.320000000065193,10248274.169999999925494
20180502,1729747.119999999878928,1751328.280000000027940,1634813.830000000074506,1738038.880000000121072,1649736.989999999990687,1683766.719999999972060,10187435.820000000298023
20180503,1704440.239999999990687,1758358.000000000000000,1602243.189999999944121,1749040.480000000214204,1652846.400000000139698,1678066.480000000214204,10144998.790000000968575
20180504,1721559.600000000093132,1765082.080000000074506,1630981.989999999757856,1762517.440000000176951,1664938.549999999813735,1685959.120000000111759,10231042.780000001192093
20180507,1707882.719999999972060,1753773.400000000139698,1660678.750000000000000,1777644.639999999897555,1649046.009999999776483,1704375.279999999795109,10253404.799999998882413
20180508,1721652.639999999897555,1734823.719999999972060,1639603.629999999655411,1786445.920000000158325,1624516.220000000204891,1712048.680000000167638,10219094.809999998658895
