訓練日期,20180629 - 20181001
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11554989.650000002235174
真實報酬,1554989.650000002235174

夏普值報酬,0.146798965000000
夏普值風險,0.042448878499171
夏普值,3.458253084421703

預期報酬,24283.830781081516761
風險,55566.860788101490471
趨勢值,0.437020023025692
找到最佳解世代,1972
找到最佳解實驗#,6
找到最佳解次數,10

stock[index](rank)
投資組合檔數,5
CSCO[4](19),HD[9](22),MRK[17](1),MSFT[18](7),PFE[20](2),
Stock#,CSCO[4](19),HD[9](22),MRK[17](1),MSFT[18](7),PFE[20](2),
張數,46576,10245,33167,20277,55005,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,26.560000000055879,73.549999999813735,29.900000000139698,79.489999999990687,18.199999999953434,
20180629,2004191.840000000083819,1998873.049999999813735,2013266.800000000279397,1999594.459999999962747,1995599.600000000093132,10011525.750000000000000
20180702,1993945.120000000111759,1987808.449999999953434,2005306.720000000204891,2027982.260000000009313,1998349.849999999860302,10013392.400000000372529
20180703,1987424.480000000214204,1983710.449999999953434,2013598.470000000204891,2008516.339999999850988,1999449.949999999953434,9992699.689999999478459
20180705,1982301.120000000111759,1991803.999999999767169,2044443.780000000260770,2022913.010000000009313,2028052.549999999813735,10069514.460000000894070
20180706,1989287.520000000018626,1992521.149999999674037,2063017.300000000279397,2051300.809999999823049,2041253.750000000000000,10137380.530000001192093
20180709,1987424.480000000214204,2008913.149999999906868,2057047.240000000223517,2065291.939999999944121,2044003.999999999767169,10162680.810000000521541
20180710,1996273.919999999925494,2024588.000000000000000,2066334.000000000000000,2070766.729999999981374,2058855.349999999860302,10216818.000000000000000
20180711,1982766.880000000121072,2017826.299999999580905,2053067.200000000186265,2067927.950000000186265,2046754.250000000000000,10168342.580000000074506
20180712,2029808.639999999897555,2028071.299999999580905,2078274.120000000111759,2112740.120000000111759,2063805.800000000046566,10312699.980000000447035
20180713,1945971.840000000083819,2035652.599999999860302,2085902.530000000260770,2137883.600000000558794,2064355.850000000093132,10269766.420000001788139
20180716,1979506.560000000055879,2037599.149999999674037,2075952.430000000167638,2127339.559999999590218,2056105.100000000093132,10276502.800000000745058
20180717,1972054.400000000139698,2060343.049999999813735,2073962.410000000149012,2148427.639999999664724,2070956.449999999953434,10325743.949999999254942
20180718,1965999.520000000018626,2059011.199999999720603,2087560.880000000121072,2131597.730000000447035,2071506.499999999767169,10315675.830000000074506
20180719,1974848.959999999962747,2076017.899999999674037,2073299.070000000065193,2116998.290000000037253,2055005.000000000000000,10296169.219999998807907
20180720,1956684.320000000065193,2074173.799999999580905,2073630.740000000223517,2154916.280000000260770,2053354.849999999860302,10312759.990000000223517
20180723,1959013.120000000111759,2071919.899999999674037,2079269.130000000121072,2189387.179999999701977,2046754.250000000000000,10346343.579999998211861
20180724,1974383.200000000186265,2069461.099999999860302,2103481.040000000037253,2183101.309999999590218,2073706.700000000186265,10404133.349999999627471
20180725,2010246.719999999972060,2059318.549999999813735,2138969.729999999515712,2247379.400000000372529,2089658.150000000139698,10545572.549999998882413
20180726,2027479.840000000083819,2042926.549999999813735,2123049.570000000298023,2222844.230000000447035,2099009.000000000000000,10515309.190000001341105
