訓練日期,20140814 - 20141113
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11640015.799999998882413
真實報酬,1640015.799999998882413

夏普值報酬,0.155301580000000
夏普值風險,0.037706189017090
夏普值,4.118729154240737

預期報酬,23550.700101852326043
風險,143687.503591050364776
趨勢值,0.163902214968395
找到最佳解世代,2657
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](9),NKE[19](1),UNH[23](3),
Stock#,KO[14](9),NKE[19](1),UNH[23](3),
張數,83458,86288,40894,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.479999999981374,27.559999999590218,63.059999999590218,
20140814,3353362.919999999925494,3335058.759999999310821,3346010.139999999199063,10034432.819999998435378
20140815,3411783.520000000018626,3328155.719999999739230,3331697.239999999757856,10071637.480000000447035
20140818,3451008.780000000260770,3389420.199999999720603,3367275.019999999552965,10207705.000000000000000
20140819,3443497.559999999590218,3387694.439999999478459,3413485.239999999757856,10244678.239999998360872
20140820,3442662.979999999981374,3404952.039999999571592,3411849.479999999981374,10259465.500000000000000
20140821,3456016.259999999776483,3405814.919999999459833,3425753.439999999478459,10287585.619999999180436
20140822,3431813.439999999944121,3421346.759999999310821,3426162.379999999422580,10279323.579999998211861
20140825,3456016.259999999776483,3452410.439999999478459,3444973.619999999180436,10353401.319999998435378
20140826,3471873.280000000260770,3429112.679999999701977,3480960.339999999850988,10381947.300000000745058
20140827,3471873.280000000260770,3439467.239999999757856,3532486.779999999329448,10443828.299999998882413
20140828,3474377.020000000018626,3400637.639999999199063,3530851.019999999552965,10405866.679999999701977
20140829,3481888.239999999757856,3389420.199999999720603,3544754.979999999981374,10416064.419999999925494
20140902,3475211.600000000093132,3420483.879999999422580,3532895.719999999739230,10428592.199999999254942
20140903,3486895.720000000204891,3400637.639999999199063,3549253.319999999832362,10436787.679999999701977
20140904,3494406.939999999944121,3448096.039999999571592,3560294.699999999720603,10502798.679999999701977
20140905,3491903.200000000186265,3539561.319999999832362,3588511.559999999590218,10619977.079999998211861
20140908,3486895.720000000204891,3555093.159999999683350,3595054.599999999627471,10637044.480000000447035
20140909,3500249.000000000000000,3530932.519999999552965,3621635.699999999720603,10652818.219999998807907
20140910,3519444.340000000316650,3558544.679999999701977,3568064.559999999590218,10646054.579999998211861
20140911,3501083.580000000074506,3530069.639999999199063,3561112.579999999608845,10592266.799999998882413
20140912,3460189.160000000149012,3530932.519999999552965,3524307.979999999981374,10515430.660000000149012
20140915,3463527.479999999981374,3521440.839999999850988,3518173.879999999422580,10503143.199999999254942
20140916,3475211.600000000093132,3503320.359999999869615,3564384.099999999627471,10542917.059999998658895
20140917,3472707.859999999869615,3517126.439999999478459,3557432.119999999180436,10547267.419999998062849
20140918,3487730.299999999813735,3536972.679999999701977,3583604.279999999329448,10608308.259999997913837
20140919,3509429.379999999888241,3530069.639999999199063,3590556.259999999310821,10630056.279999999329448
20140922,3523617.239999999757856,3481748.359999999869615,3589329.439999999478459,10594696.039999999105930
20140923,3496076.100000000093132,3456724.839999999850988,3541074.519999999552965,10493876.459999999031425
20140924,3527790.140000000130385,3487788.519999999552965,3607322.799999999348074,10622902.459999999031425
20140925,3486895.720000000204891,3441193.000000000000000,3524307.979999999981374,10452397.700000001117587
20140926,3521948.080000000074506,3861415.559999999590218,3541483.459999999497086,10924848.099999999627471
20140929,3526120.979999999981374,3845020.839999999850988,3537803.000000000000000,10908945.820000000298023
20140930,3560338.759999999776483,3848472.359999999869615,3527170.559999999590218,10935982.679999999701977
20141001,3567015.400000000372529,3783756.359999999869615,3471145.779999999329448,10821918.539999999105930
20141002,3560338.759999999776483,3852786.759999999310821,3471963.659999999683350,10885090.179999999701977
20141003,3588714.479999999981374,3895930.759999999310821,3517764.939999999478459,11002411.179999999701977
20141006,3638789.280000000260770,3849335.239999999757856,3479733.519999999552965,10967859.039999999105930
20141007,3665495.840000000316650,3800151.079999999608845,3442928.919999999459833,10908576.839999999850988
20141008,3718074.379999999888241,3832940.519999999552965,3542301.339999999850988,11093317.239999998360872
20141009,3661322.939999999944121,3763910.119999999180436,3473599.419999999459833,10898833.479999998584390
20141010,3711397.739999999757856,3762184.359999999869615,3492001.719999999739230,10965584.820000000298023
20141013,3678014.540000000037253,3684525.159999999683350,3433114.359999999869615,10795655.059999998658895
20141014,3642127.600000000093132,3671581.959999999497086,3386904.139999999199063,10700614.699999999254942
20141015,3607909.819999999832362,3675033.479999999981374,3359914.099999999627471,10642858.399999998509884
20141016,3551992.959999999962747,3755281.319999999832362,3492001.719999999739230,10799277.000000000000000
20141017,3578699.520000000018626,3761321.479999999981374,3606095.979999999981374,10946117.980000000447035
20141020,3612917.299999999813735,3835529.159999999683350,3620817.819999999832362,11069265.279999999329448
20141021,3395091.919999999925494,3910599.719999999739230,3719372.359999999869615,11025065.000000000000000
20141022,3390084.439999999944121,3876947.399999999441206,3671117.439999999478459,10938150.279999999329448
20141023,3410114.359999999869615,3899382.279999999329448,3707513.099999999627471,11017010.739999998360872
20141024,3424302.220000000204891,3921817.159999999683350,3747589.219999999739230,11093709.599999999627471
20141027,3401768.559999999590218,3953743.719999999739230,3767627.279999999329448,11123140.559999998658895
20141028,3385076.959999999962747,3989121.799999999348074,3788483.219999999739230,11162682.980000000447035
