訓練日期,20111010 - 20120111
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12136169.169999999925494
真實報酬,2136169.169999999925494

夏普值報酬,0.204916917000000
夏普值風險,0.053169544939359
夏普值,3.854028038677237

預期報酬,33433.654507446750358
風險,170577.106618769321358
趨勢值,0.196003175163295
找到最佳解世代,2142
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),MCD[15](2),
Stock#,HD[9](1),MCD[15](2),
張數,147405,57339,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,22.399999999441206,39.200000000186265,
20111010,5109079.699999999254942,5075114.090000000782311,10184193.789999999105930
20111011,5116449.949999999254942,5122705.459999999962747,10239155.410000000149012
20111012,5117923.999999999068677,5066513.240000000223517,10184437.239999998360872
20111013,5072228.449999999254942,5120985.290000000037253,10193213.739999998360872
20111014,5166567.649999999441206,5157108.860000000335276,10323676.509999999776483
20111017,5107605.649999999441206,5083714.940000000409782,10191320.589999999850988
20111018,5299232.149999999441206,5139907.160000000149012,10439139.309999998658895
20111019,5218159.399999999441206,5138760.380000000819564,10356919.780000001192093
20111020,5266803.049999998882413,5103783.590000000782311,10370586.640000000596046
20111021,5433370.699999999254942,5293575.679999999701977,10726946.379999998956919
20111024,5409785.899999999441206,5275800.590000000782311,10685586.490000000223517
20111025,5312498.599999999627471,5262039.229999999515712,10574537.829999998211861
20111026,5387675.149999999441206,5262612.620000000111759,10650287.769999999552965
20111027,5508547.249999999068677,5361809.090000000782311,10870356.339999999850988
20111028,5324290.999999999068677,5349194.510000000707805,10673485.509999999776483
20111031,5277121.399999999441206,5323965.349999999627471,10601086.750000000000000
20111101,5238796.099999999627471,5270066.690000000409782,10508862.789999999105930
20111102,5305128.349999999627471,5305616.870000000111759,10610745.219999998807907
20111103,5372934.649999999441206,5332566.200000000186265,10705500.849999999627471
20111104,5364090.349999999627471,5379010.790000000037253,10743101.140000000596046
20111107,5504125.099999999627471,5425455.380000000819564,10929580.480000000447035
20111108,5592568.099999998696148,5424308.599999999627471,11016876.699999999254942
20111109,5477592.199999999254942,5312497.550000000745058,10790089.750000000000000
20111110,5483488.399999999441206,5347474.340000000782311,10830962.740000000223517
20111111,5610256.700000000186265,5433482.840000000782311,11043739.540000000968575
20111114,5638263.649999999441206,5393345.540000000037253,11031609.189999999478459
20111115,5611730.749999999068677,5416854.530000000260770,11028585.279999999329448
20111116,5577827.599999999627471,5341167.050000000745058,10918994.650000000372529
20111117,5545398.499999999068677,5291855.510000000707805,10837254.009999999776483
20111118,5583723.799999999813735,5317658.059999999590218,10901381.859999999403954
20111121,5462851.700000000186265,5291282.120000000111759,10754133.820000000298023
20111122,5468747.899999999441206,5312497.550000000745058,10781245.449999999254942
20111123,5383253.000000000000000,5267773.130000000819564,10651026.130000000819564
20111125,5375882.749999999068677,5280961.099999999627471,10656843.849999997764826
20111128,5498228.899999999441206,5376143.840000000782311,10874372.740000000223517
20111129,5742921.199999999254942,5358942.139999999664724,11101863.339999999850988
20111130,5781246.499999999068677,5477060.479999999515712,11258306.979999998584390
20111201,5798935.099999999627471,5475913.700000000186265,11274848.800000000745058
20111202,5887378.099999998696148,5487381.500000000000000,11374759.599999997764826
20111205,5930125.549999998882413,5467312.849999999627471,11397438.399999998509884
20111206,5943391.999999999068677,5505156.590000000782311,11448548.589999999850988
20111207,6003828.049999998882413,5530385.750000000000000,11534213.799999998882413
20111208,5882955.949999999254942,5557335.080000000074506,11440291.029999999329448
20111209,5930125.549999998882413,5620981.370000000111759,11551106.919999998062849
20111212,5903592.649999999441206,5646783.920000000856817,11550376.570000000298023
20111213,5823993.949999999254942,5619261.200000000186265,11443255.149999998509884
20111214,5769454.099999999627471,5596898.990000000223517,11366353.089999999850988
20111215,5810727.500000000000000,5627288.660000000149012,11438016.160000000149012
20111216,5958132.500000000000000,5590018.309999999590218,11548150.809999998658895
20111219,5925703.399999999441206,5575683.559999999590218,11501386.959999999031425
20111220,6183662.149999999441206,5666279.179999999701977,11849941.329999998211861
20111221,6191032.399999999441206,5688068.000000000000000,11879100.399999998509884
20111222,6179240.000000000000000,5653664.599999999627471,11832904.599999999627471
20111223,6204298.849999999627471,5742540.050000000745058,11946838.900000000372529
20111227,6223461.499999999068677,5765475.650000000372529,11988937.149999998509884
20111228,6121752.049999999813735,5709856.820000000298023,11831608.870000001043081
20111229,6192506.449999999254942,5780383.790000000037253,11972890.239999998360872
20111230,6196928.599999999627471,5752861.070000000298023,11949789.669999999925494
20120103,6211669.099999999627471,5667425.959999999962747,11879095.059999998658895
20120104,6300112.099999999627471,5698962.410000000149012,11999074.509999999776483
20120105,6351703.849999999627471,5724191.570000000298023,12075895.419999999925494
20120106,6367918.399999999441206,5768342.599999999627471,12136261.000000000000000
20120109,6372340.549999998882413,5713297.160000000149012,12085637.709999999031425
20120110,6416562.049999999813735,5716737.500000000000000,12133299.550000000745058
20120111,6406243.699999999254942,5729925.470000000670552,12136169.169999999925494
