訓練日期,20150724 - 20151023
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11538600.160000000149012
真實報酬,1538600.160000000149012

夏普值報酬,0.145160016000000
夏普值風險,0.043529390051155
夏普值,3.334758787784758

預期報酬,11700.628785458826314
風險,339323.213485375628807
趨勢值,0.034482252673713
找到最佳解世代,2496
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),INTC[11](2),
Stock#,HD[9](1),INTC[11](2),
張數,43633,174825,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,94.530000000260770,5.000000000000000,
20150724,4956367.000000000000000,4905594.500000000000000,9861961.500000000000000
20150727,4933677.839999999850988,4956293.750000000000000,9889971.589999999850988
20150728,5010908.250000000000000,5062937.000000000000000,10073845.250000000000000
20150729,5077666.740000000223517,5071678.250000000000000,10149344.990000000223517
20150730,5081593.709999999962747,5054195.750000000000000,10135789.460000000894070
20150731,5106464.520000000484288,5061188.750000000000000,10167653.269999999552965
20150803,5100355.900000000372529,5078671.250000000000000,10179027.150000000372529
20150804,5128281.020000000484288,5092657.250000000000000,10220938.269999999552965
20150805,5148788.530000000260770,5090909.000000000000000,10239697.530000001192093
20150806,5085957.010000000707805,5071678.250000000000000,10157635.260000001639128
20150807,5102101.220000000670552,5048951.000000000000000,10151052.220000000670552
20150810,5131335.330000000074506,5181818.000000000000000,10313153.330000000074506
20150811,5135262.299999999813735,5064685.250000000000000,10199947.550000000745058
20150812,5135262.299999999813735,5150349.500000000000000,10285611.800000000745058
20150813,5193294.190000000409782,5047202.750000000000000,10240496.940000001341105
20150814,5225146.280000000260770,5073426.500000000000000,10298572.780000001192093
20150817,5222964.630000000819564,5083916.000000000000000,10306880.630000000819564
20150818,5358226.929999999701977,5054195.750000000000000,10412422.679999999701977
20150819,5356481.610000000335276,4958042.000000000000000,10314523.609999999403954
20150820,5259616.350000000558794,4812937.250000000000000,10072553.600000001490116
20150821,5068503.810000000521541,4643357.000000000000000,9711860.810000000521541
20150824,4910552.350000000558794,4589161.250000000000000,9499713.600000001490116
20150825,4842048.540000000037253,4522727.750000000000000,9364776.289999999105930
20150826,5058468.220000000670552,4772727.500000000000000,9831195.720000000670552
20150827,5133953.310000000521541,4846154.000000000000000,9980107.310000000521541
20150828,5127844.690000000409782,4968531.500000000000000,10096376.190000001341105
20150831,5081593.709999999962747,4989510.500000000000000,10071104.210000000894070
20150901,4933677.839999999850988,4863636.500000000000000,9797314.339999999850988
20150902,5082466.370000000111759,5000000.000000000000000,10082466.370000001043081
20150903,5087702.330000000074506,5083916.000000000000000,10171618.330000000074506
20150904,4992582.390000000596046,4986014.000000000000000,9978596.390000000596046
20150908,5080284.720000000670552,5157342.500000000000000,10237627.220000000670552
20150909,4972947.540000000037253,5111888.000000000000000,10084835.539999999105930
20150910,4995636.700000000186265,5117132.750000000000000,10112769.449999999254942
20150911,5037088.049999999813735,5152097.750000000000000,10189185.800000000745058
20150914,5006108.620000000111759,5138111.750000000000000,10144220.370000001043081
20150915,5069376.470000000670552,5197552.250000000000000,10266928.720000000670552
20150916,5140934.589999999850988,5204545.250000000000000,10345479.839999999850988
20150917,5144861.560000000521541,5194055.750000000000000,10338917.310000000521541
20150918,5023125.490000000223517,5073426.500000000000000,10096551.990000000223517
20150921,5086829.669999999925494,5097902.000000000000000,10184731.669999999925494
20150922,5052795.929999999701977,5012237.750000000000000,10065033.679999999701977
20150923,5068940.140000000596046,5024475.500000000000000,10093415.640000000596046
20150924,5076357.750000000000000,4979021.000000000000000,10055378.750000000000000
20150925,5093810.950000000186265,5036713.250000000000000,10130524.199999999254942
20150928,4978619.830000000074506,5027972.000000000000000,10006591.830000000074506
20150929,4926696.560000000521541,5111888.000000000000000,10038584.560000000521541
20150930,5039269.700000000186265,5269230.500000000000000,10308500.199999999254942
20151001,5106464.520000000484288,5244755.000000000000000,10351219.519999999552965
20151002,5140498.260000000707805,5333915.750000000000000,10474414.010000001639128
20151005,5201148.130000000819564,5456293.250000000000000,10657441.380000000819564
20151006,5178458.970000000670552,5548950.500000000000000,10727409.470000000670552
20151007,5220782.980000000447035,5650349.000000000000000,10871131.980000000447035
20151008,5282305.510000000707805,5685314.000000000931323,10967619.510000001639128
20151009,5294086.419999999925494,5618880.500000000000000,10912966.919999999925494
20151012,5318957.230000000447035,5631118.250000000000000,10950075.480000000447035
20151013,5306303.660000000149012,5601398.000000000000000,10907701.660000000149012
20151014,5247835.440000000409782,5734264.999999999068677,10982100.439999999478459
20151015,5315030.260000000707805,5725523.750000000000000,11040554.010000001639128
20151016,5355608.950000000186265,5776223.000000000000000,11131831.949999999254942
20151019,5371316.830000000074506,5872376.750000000931323,11243693.580000001937151
20151020,5360408.580000000074506,5846153.000000000000000,11206561.580000000074506
20151021,5380043.429999999701977,5833915.250000000000000,11213958.679999999701977
20151022,5426294.410000000149012,6013985.000000000000000,11440279.410000000149012
20151023,5437202.660000000149012,6101397.500000000000000,11538600.160000000149012
