訓練日期,20160614 - 20160914
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10941147.679999999701977
真實報酬,941147.679999999701977

夏普值報酬,0.085414768000000
夏普值風險,0.038490128579665
夏普值,2.219134389827043

預期報酬,20813.659374686398223
風險,157185.628988784505054
趨勢值,0.132414518481022
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](4),MRK[17](3),MSFT[18](2),PG[21](1),
Stock#,INTC[11](4),MRK[17](3),MSFT[18](2),PG[21](1),
張數,77712,44555,49860,30277,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,4.959999999962747,18.950000000186265,19.600000000093132,28.110000000335276,
20160614,2497668.640000000130385,2506237.700000000186265,2484543.399999999906868,2523616.060000000055879,10012065.800000000745058
20160615,2456481.279999999795109,2499108.900000000372529,2477563.000000000000000,2511505.260000000242144,9944658.439999999478459
20160616,2462698.240000000223517,2561931.450000000186265,2512465.000000000000000,2525432.680000000167638,10062527.370000001043081
20160617,2468138.080000000074506,2490197.900000000372529,2499501.400000000372529,2516955.120000000111759,9974792.500000000000000
20160620,2500000.000000000000000,2501336.650000000372529,2496509.800000000279397,2514230.190000000409782,10012076.640000000596046
20160621,2511656.799999999813735,2506237.700000000186265,2552353.000000000000000,2525432.680000000167638,10095680.179999999701977
20160622,2509325.439999999944121,2541436.150000000372529,2542381.000000000000000,2530277.000000000000000,10123419.589999999850988
20160623,2563723.840000000316650,2569951.350000000093132,2588252.199999999720603,2549654.280000000260770,10271581.670000001788139
20160624,2451818.560000000055879,2489752.350000000093132,2484543.399999999906868,2490614.130000000353903,9916728.440000001341105
20160627,2387317.600000000093132,2464356.000000000465661,2414739.399999999906868,2459428.820000000298023,9725841.820000000298023
20160628,2423842.240000000223517,2476385.850000000093132,2465098.000000000000000,2496669.530000000260770,9861995.620000001043081
20160629,2481349.120000000111759,2541881.700000000186265,2519944.000000000000000,2540571.180000000167638,10083746.000000000000000
20160630,2548958.559999999590218,2566832.500000000000000,2551355.800000000279397,2563581.700000000186265,10230728.559999998658895
20160701,2545072.959999999962747,2581535.649999999906868,2550857.199999999720603,2566912.170000000391155,10244377.979999998584390
20160705,2539633.120000000111759,2584208.950000000186265,2551355.800000000279397,2586894.990000000223517,10262092.860000001266599
20160706,2562169.600000000093132,2635892.750000000000000,2561826.400000000372529,2574481.420000000391155,10334370.169999999925494
20160707,2580043.360000000335276,2618961.850000000093132,2561826.400000000372529,2568426.020000000484288,10329257.630000002682209
20160708,2642212.959999999962747,2644358.200000000186265,2607697.600000000093132,2596886.400000000372529,10491155.160000000149012
20160711,2671743.520000000018626,2643912.650000000372529,2622157.000000000465661,2596280.860000000335276,10534094.030000001192093
20160712,2715262.239999999757856,2655496.950000000186265,2653070.200000000186265,2596280.860000000335276,10620110.250000000000000
20160713,2720702.079999999608845,2653269.200000000186265,2668028.200000000186265,2600519.640000000130385,10642519.119999999180436
20160714,2735467.360000000335276,2657724.700000000186265,2679496.000000000000000,2599914.100000000558794,10672602.160000000149012
20160715,2725364.799999999813735,2656833.600000000093132,2677501.600000000093132,2604152.880000000353903,10663852.880000000819564
20160718,2723810.559999999590218,2629655.050000000279397,2690465.200000000186265,2601730.720000000670552,10645661.530000001192093
20160719,2731581.759999999776483,2613615.250000000000000,2647087.000000000465661,2608997.200000000186265,10601281.210000000894070
20160720,2773546.239999999757856,2619407.400000000372529,2787692.199999999720603,2583261.750000000000000,10763907.589999999850988
20160721,2663195.200000000186265,2619407.400000000372529,2782207.600000000093132,2581445.130000000353903,10646255.330000001937151
20160722,2693502.879999999888241,2620744.050000000279397,2820599.800000000279397,2595372.550000000279397,10730219.280000001192093
20160725,2695834.239999999757856,2609159.750000000465661,2828577.399999999906868,2597794.710000000428408,10731366.100000001490116
