訓練日期,20140128 - 20140430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11191710.689999999478459
真實報酬,1191710.689999999478459

夏普值報酬,0.110471069000000
夏普值風險,0.031041566723083
夏普值,3.558810996413095

預期報酬,17679.245229061027203
風險,74656.934273354883771
趨勢值,0.236806472180184
找到最佳解世代,1946
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](8),INTC[11](14),JNJ[12](3),MCD[15](5),
Stock#,CAT[3](1),DD[7](8),INTC[11](14),JNJ[12](3),MCD[15](5),
張數,21908,32583,80906,22237,21260,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,18.679999999934807,55.459999999962747,3.680000000167638,4.219999999972060,71.800000000046566,
20140128,2025851.439999999944121,1998045.020000000018626,2014563.080000000074506,2003557.919999999925494,2002338.600000000093132,10044356.060000000521541
20140129,1985321.640000000130385,2075592.560000000055879,1996763.760000000242144,1976873.520000000018626,1980440.800000000279397,10014992.280000001192093
20140130,2041844.280000000027940,2102636.450000000186265,2001618.120000000111759,1990215.719999999972060,1994259.800000000046566,10130574.370000001043081
20140131,2057398.959999999962747,2111759.689999999944121,1985436.920000000158325,1967311.609999999869615,2002126.000000000000000,10124033.179999999701977
20140203,2024756.040000000037253,2073637.580000000074506,1937702.380000000121072,1929731.080000000074506,1977677.000000000000000,9943504.080000000074506
20140204,2026508.679999999934807,2086344.949999999953434,1927184.600000000093132,1926173.160000000149012,1979165.200000000186265,9945376.589999999850988
20140205,2014678.359999999869615,2081131.669999999925494,1902912.800000000046566,1940849.580000000074506,1989582.600000000093132,9929155.009999999776483
20140206,2055646.319999999832362,2115343.819999999832362,1940938.620000000111759,1973537.969999999972060,2018496.199999999953434,10103962.929999999701977
20140207,2078430.640000000130385,2115995.479999999981374,1958737.940000000176951,2002223.700000000186265,2039331.000000000000000,10194718.760000001639128
20140210,2070324.679999999934807,2127073.700000000186265,1965210.420000000158325,2025127.809999999823049,2016795.400000000139698,10204532.009999999776483
20140211,2080402.359999999869615,2173341.560000000055879,1979773.500000000000000,2067378.109999999869615,2027000.200000000186265,10327895.730000000447035
20140212,2106911.040000000037253,2151836.780000000260770,1986245.980000000214204,2055147.760000000009313,2017433.199999999953434,10317574.759999999776483
20140213,2105596.559999999590218,2148578.479999999981374,1998381.880000000121072,2058260.939999999944121,2029551.399999999906868,10340369.259999999776483
20140214,2115236.080000000074506,2167476.619999999646097,2003236.240000000223517,2062708.340000000083819,2036354.600000000093132,10385011.879999998956919
20140218,2115455.160000000149012,2170734.919999999925494,2003236.240000000223517,2049588.510000000009313,2041457.000000000000000,10380471.830000000074506
20140219,2107787.359999999403954,2154769.250000000000000,1982200.680000000167638,2037802.899999999906868,2031464.800000000046566,10314024.990000000223517
20140220,2123342.040000000037253,2187352.250000000000000,2001618.120000000111759,2054258.279999999795109,2035716.800000000046566,10402287.490000000223517
20140221,2136048.679999999701977,2179206.500000000000000,1975728.200000000419095,2035134.459999999962747,2050598.800000000046566,10376716.640000000596046
20140224,2132105.240000000223517,2178554.839999999850988,1992718.460000000195578,2026017.290000000037253,2051661.800000000046566,10381057.630000000819564
20140225,2112168.959999999962747,2191262.209999999962747,1991909.400000000139698,2026017.290000000037253,2054213.000000000232831,10375570.860000001266599
20140226,2129476.280000000260770,2219283.589999999850988,2006472.480000000214204,2026017.290000000037253,2038693.199999999953434,10419942.839999999850988
20140227,2118522.280000000260770,2250889.100000000093132,2003236.240000000223517,2031576.540000000037253,2021472.600000000093132,10425696.759999999776483
20140228,2124437.439999999478459,2260338.169999999925494,2003236.240000000223517,2048476.660000000149012,2022960.800000000279397,10459449.310000000521541
20140303,2109978.160000000149012,2247630.800000000279397,1982200.680000000167638,2036023.939999999944121,2005315.000000000000000,10381148.580000000074506
20140304,2125532.839999999850988,2295201.979999999981374,1991100.340000000083819,2075605.800000000046566,2019346.600000000093132,10506787.560000000521541
20140305,2111292.639999999664724,2316055.100000000093132,1982200.680000000167638,2058928.050000000046566,2020197.000000000000000,10488673.470000000670552
20140306,2138239.479999999515712,2309864.330000000074506,1992718.460000000195578,2065599.149999999906868,2032102.600000000093132,10538524.019999999552965
20140307,2126190.080000000074506,2297482.790000000037253,1993527.520000000251457,2075161.059999999823049,2030401.800000000046566,10522763.250000001862645
20140310,2119617.679999999701977,2312145.139999999664724,2009708.720000000204891,2078051.870000000111759,2024023.800000000046566,10543547.210000000894070
20140311,2121589.400000000372529,2285752.910000000149012,2000809.060000000288710,2078941.349999999860302,2100134.599999999627471,10587227.320000000298023
20140312,2121151.240000000223517,2275000.519999999552965,2003236.240000000223517,2081387.419999999925494,2098646.400000000372529,10579421.820000000298023
20140313,2094642.559999999823049,2261641.489999999757856,1987864.100000000093132,2068045.219999999972060,2070158.000000000232831,10482351.370000001043081
20140314,2089822.800000000046566,2257405.700000000186265,1982200.680000000167638,2063820.189999999944121,2074622.600000000093132,10467871.969999998807907
20140317,2095957.040000000037253,2273697.200000000186265,1998381.880000000121072,2088725.630000000121072,2075047.799999999813735,10531809.550000000745058
20140318,2112168.959999999962747,2304651.050000000279397,2008090.600000000093132,2088948.000000000000000,2068882.400000000139698,10582741.009999999776483
20140319,2104063.000000000000000,2302044.410000000149012,2024271.800000000046566,2081165.050000000046566,2043157.799999999813735,10554702.059999998658895
20140320,2107787.359999999403954,2331369.109999999869615,2057443.260000000242144,2092950.660000000149012,2053787.799999999813735,10643338.189999997615814
20140321,2133638.799999999813735,2329739.959999999962747,2036407.700000000419095,2133199.629999999888241,2029764.000000000000000,10662750.089999999850988
20140324,2121808.479999999515712,2327459.150000000372529,2032362.400000000139698,2116966.620000000111759,2044858.600000000093132,10643455.250000000000000
20140325,2159928.400000000372529,2349941.419999999925494,2059870.440000000176951,2165443.280000000260770,2039118.399999999906868,10774301.940000001341105
