訓練日期,20100917 - 20101217
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11670423.849999999627471
真實報酬,1670423.849999999627471

夏普值報酬,0.158342385000000
夏普值風險,0.044139957130844
夏普值,3.587279990567843

預期報酬,26182.943228633965191
風險,87368.773802798546967
趨勢值,0.299683079995284
找到最佳解世代,1525
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](7),DIS[6](12),INTC[11](5),KO[14](1),NKE[19](4),XOM[29](2),
Stock#,CAT[3](7),DIS[6](12),INTC[11](5),KO[14](1),NKE[19](4),XOM[29](2),
張數,23148,48775,87857,57950,86986,27335,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,10.000000000000000,24.250000000000000,18.710000000195578,24.000000000000000,14.239999999990687,51.050000000046566,
20100917,1693980.640000000130385,1685688.250000000000000,1652608.880000000121072,1667825.000000000000000,1680583.760000000009313,1661472.350000000093132,10042162.880000000819564
20100920,1730323.000000000000000,1702271.750000000000000,1663151.720000000204891,1679994.500000000000000,1704069.979999999981374,1682520.300000000046566,10162335.250000001862645
20100921,1768285.719999999972060,1682761.750000000000000,1681601.690000000176951,1684051.000000000000000,1689282.360000000102445,1682246.949999999953434,10188233.469999998807907
20100922,1763424.640000000130385,1657886.500000000000000,1670180.280000000260770,1687528.000000000000000,1681453.619999999878928,1679786.800000000046566,10140263.839999999850988
20100923,1765276.480000000214204,1615452.249999999767169,1667544.570000000298023,1677097.000000000000000,1689282.360000000102445,1671586.300000000046566,10086242.960000000894070
20100924,1845600.040000000037253,1637888.750000000000000,1706201.650000000372529,1698538.500000000000000,1730165.780000000027940,1687987.300000000046566,10306386.020000001415610
20100927,1841201.920000000158325,1623744.000000000000000,1690387.390000000130385,1697959.000000000000000,1720597.320000000065193,1686893.900000000139698,10260787.530000001192093
20100928,1844211.160000000149012,1620329.750000000000000,1714108.780000000260770,1712446.500000000000000,1753652.000000000000000,1696461.150000000139698,10341213.340000001713634
20100929,1851618.519999999785796,1610087.000000000000000,1690387.390000000130385,1702595.000000000000000,1737994.520000000018626,1683613.700000000186265,10276300.129999998956919
20100930,1821294.640000000130385,1614476.750000000000000,1686873.110000000102445,1695641.000000000000000,1743213.679999999934807,1689080.699999999953434,10250583.879999998956919
20101001,1810646.560000000055879,1626182.750000000232831,1697415.950000000186265,1713026.000000000000000,1744953.399999999906868,1709581.949999999953434,10301810.609999999403954
20101004,1788655.959999999962747,1616427.750000000000000,1657880.300000000279397,1706072.000000000000000,1737124.659999999916181,1700014.699999999953434,10206179.369999999180436
20101005,1837961.200000000186265,1650082.500000000000000,1682480.260000000009313,1728672.500000000000000,1768439.619999999878928,1729263.149999999906868,10396903.230000000447035
